bean curd	豆腐 = tofu
beat	(連続して)…を『たたく』,打つ(pound) / (…に)…を『たたきつける』,打ちつける《+『名』+『against』+『名』》 / (…に)…をたたいて作る《+『名』+『into』+『名』》;〈金属〉を打ち延ばす / …を勢いよくかき混ぜる / 〈リズム・拍子〉を手をたたいて(手を振って,足を踏んで)とる / 〈道〉を踏み固めて作る / 《話》〈人〉を困らせる,まいらせる / 〈風・雨・波などが〉(…に)『打ちつける』,〈人が〉(…を)ドンドン打つ《+『at』(『against』,『in』,『on』)+『名』》 / 〈心臓・脈が〉鼓動する,脈打つ / ドンドン鳴る / 〈船が〉風に逆らってジグザグに進む / 『続けて打つこと』,連打 / (心臓などの)鼓動 / (警官などの)巡回(担当)区域,持ち場 / 拍子;手拍子,足拍子 / =beatnik / 《補語にのみ用いて》《俗》疲れはてた,へとへとになった / 《名詞の前にのみ用いて》《話》ビート族の
beat-up	使い古しの,がたがきた
beaten	beatの過去分詞 / 打たれた / 打ち負かされた / (金属など)打ち延ばされた;踏み固められた / よく混ぜられた
beater	打つ人 / (狩りで獲物を狩り出す)勢子(せこ) / かき混ぜる器具
beatific	祝福を与える,幸福に輝いている
beatifically	幸福に輝いて,喜ばしそうに
beatification	授福(至福を与えること) / 受福(至福を与えられること) / (ローマカトリック教会で)列福(祝福される者(the blessed)の列に死者を加えること)
beatify	…をこの上なく幸福にする / (ローマカトリック教会で)〈人〉を列福する(死者を祝福される者の列に加わったと教皇が宣言すること)
beating	〈C〉打つこと;(罰としての)むち打ち / 〈C〉打ち負かすこと;敗北 / 〈U〉(心臓の)鼓動
beatitude	至福,至上の幸福 / 《the Beatitudes》八福[の教え](キリストが山上の垂訓中に説いた幸福の教え)
beatnik	ビート族[の一人]
beau	男友達,ボーイフレンド / しゃれ男;色男(複beaus,beaux)
beau ideal,beau idéal	理想(美)の極地 最高の理想(複beaus ideal,beaux ideal)
beaugeste	(しばしばうわべだけの)優雅なしぐさ
beaut	すばらしいもの(こと) / すてきな,申しぶんのない
beauteous	(人が)まことにうるわしき(beautiful)
beautician	美容師
beautification	美化,装飾,盛装(粧)
beautiful	『美しい』,『きれいな』 / 《話》『みごとな』,すばらしい / 《名詞的に;the~》《単数扱い》美(beauty) / 《名詞的に;the~》《複数扱い》美しい人たち(beautiful people);美しいもの
beautiful people	国際的な超一流の社交界の人々
beautifully	美しく / みごとに
beautify	…を美しくする,美化する
beauty	〈U〉『美しさ』,美 / 『美点』,美観,よさ / 〈C〉『美人』;美しいもの,みごとなもの
beauty contest	美人コンクール
beauty parlor(shop, salon)	美容院
beauty sleep	(健康と美容によい)夜半前の睡眠
beauty spot	つけぼくろ,ほくろ / わずかな汚点 / 《話》景勝地
beaux	beauの複数形
beaux-arts	(絵画・彫刻などの)美術
beaver	〈C〉ビーバー,海狸(水中に巣を作るげっ歯類の動物) / 〈U〉ビーバーの毛皮 / 〈C〉ビーバーの毛皮製の帽子,(特に)シルクハット / (かぶとの)あご当て
beaverboard	ビーバーボード(間仕切りや天井板に用いる軽い代用板)
bebop	バップ(モダンジャズの一形式)
becalm	(風がないで)〈帆船〉を止める
became	becomeの過去形
because	(なぜならば)『…だから』,『…ゆえに』 / 《否定文の主節とともに用い》…『であるからといって』 / 《おもに話》《名詞節を導いて》…ということ
beck	うなずき;手招き / (谷間の)小川,谷川
beckon	…に手招きする;(手・指・頭などで)…に合図する / 〈物事が〉…を誘い寄せる / 手招きする,合図する
becloud	《文》〈事実・意味など〉を不明りょうにする,あいまいにする
become	《『become』+『名』(『形』,『過分』)〈補〉」(…と)『なる』 / 〈衣類などが〉〈人〉に『似合う』;〈身分など〉に『ふさわしい』
becoming	(服装などが)似合った / 《補語にのみ用いて》(行為などが)(…に)ふさわして,適当な《+『to』(『for, in』)+『名』》
bed	〈C〉〈U〉『ベッド』,『寝台』 / 〈U〉睡眠,宿泊 / 〈C〉『花壇』,『苗床』,養殖場 / 〈C〉(海・川などの)『床』,水底 / 〈C〉地層;(一般に)土台 / …に寝床を与える / 〈子供など〉を寝かしつける / 《古》寝る,床につく
bed linen	リネン・木綿製のシーツおよびまくらカバー
bed-sitter	寝室兼居間
bedaub	(泥などで)…を塗りたてる《+『名』+『with』+『名』》
bedazzle	〈光線・美しさなどが〉〈人〉の目をくらませる
bedbug	ナンキンムシ(また《おもに英》bug)
bedchamber	《古》=bedroom
bedclothes	寝具,夜具(マットまたは敷きぶとん以外のシーツ,毛布,掛けぶとんなど)
bedding	(1)=bedclothes(2)マットまたは敷きぶとんを含めた寝具類 / (牛・馬の)寝わら / 成層(層状に堆積した岩石)
bedeck	《文》(…で)…を飾りたてる《+『名』+『with』+『名』》
bedevil	〈心配事・災難などが〉〈人〉を悩ませる,いじめぬく / 〈人〉に悪魔をとりつかせる;〈人〉を魅惑する
bedew	(露・水滴・涙などで)…をぬらす《+『名』+『with』+『名』》
bedfast	床につきっきりの,寝たきりの
bedfellow	寝床を共にする人 / 仲間,(一時的な)協力者
bedim	(…で)〈目・心など〉を曇らせる,かすませる《+『with』(『by』)+『名』》
bedizen	(…で)…をごてごて飾りたてる《+『名』+『with』+『名』》
bedlam	〈C〉《話》(騒々しい)大混乱,大騒ぎ / 《Bedlam》ベドラム(昔ロンドン南東部にあったBethlehem精神病院の俗称)
bedpan	(病人用)便器,おまる
bedpost	(ベッドの四すみにある)寝台の柱
bedraggled	泥まみれになった;ぬれて汚れた
bedridden	(病気で)寝たきりの,床につきっきりの
bedrock	〈U〉(土壌・小岩片の下の)基盤[岩],床岩,岩盤 / 〈C〉(一般に)しっかりした基礎,根底
bedroll	(戸外用の)携帯用寝具,寝袋
bedroom	『寝室』;(列車内の)寝室
bedside	寝床の側…(病人の)まくら元 / 寝床のそばの
bedside manner	患者に接する医者などの態度
bedsore	(病人の)床ずれ
bedspread	(装飾用の)ベッドの上掛け,ベッドカバー
bedspring	寝台のマットレスを支えている床座のスプリング
bedstead	寝台の骨組み
bedtime	(習慣としてほぼ一定した個人の)就寝時刻,寝る時間
bedtime story	就寝時に子供に聞かせるおとぎ話 / おもしろいが納得できない話
bee	『はち』,(特に)みつばち(honeybee) / 《米話》(趣味・仕事上の)集会,集い / (親善のための)競技会 / 働き者
beebread	はちパン(みつばちが作る幼虫のための花粉と蜜の混合)
beech	ブナの木;〈U〉ブナ材
beech mast	ブナの実
beechnut	ブナの実(食用油・調味料などをとる)
beef	〈U〉『牛肉』;(一般に)肉 / 〈C〉《おもに米》肉牛,食肉牛;(屠殺(とさつ)して処理した)牛 / 〈U〉《話》筋肉,力;体重,肉づき / 〈C〉《俗》不平,苦情 / (人に…について)不平をこぼす,ぶつぶつ言う《+『at』+『名』〈人〉+『about』+『名』》 / …を強化する,補強する
beef bouillon	ビーフブイヨン(病後用滋養食の牛肉スープ;《英》 beef tea)
beef burger	=hamburger
