booklet	小冊子,パンフレット
border	『ヘリ』,縁(ふち)端(はし);端に沿った部分 / (衣服・絵画などの)縁飾り,縁取り / 『国境』,境界;国境地方,辺境;《the B-》《米》米国とメキシコとの国境地方;《英》イングランドとスコットとの国境地方 / (…で)〈布・道など〉に縁(へり)をつける《+『名』+『with』+『名』》 / 〈土地など〉に接する / (…に)〈土地などが〉『隣接する』《+『on』(『upon』)+『名』》 / ほとんど(…に)近い《+『on』(『upon』)+『名』》
borderer	国境近くに住む人 / 《英》イングランドの境界地方に住む人
borderland	〈U〉国境地方,境界地 / 《単数形で》《the~》どっちつかずの境
borderline	(…の)国境線,境界線《+『of』(『between』)+『名』[+『and』+『名』]》 / 国境線上の,境界線上の / どっちつかずの,不明確な
bore	bear(実をつける)の過去形 / (…に)(きり・ドリルなどで)…に『穴をあける』;〈トンネルなど〉を掘る《+『名』+『in』(『into, through』)+名》 / (…に)穴をあける《+in(into, through)+名》 / 穴があく / (穴をあけるように)押し分ける / きりであけた穴 / (穴・円筒・銃身の)内側 / (穴・円筒の)直径,(銃の)口径 / (…で)〈人〉を『うんざりさせる』,退屈させる《+『名』+『with』(『by』)+『名』(do-『ing』)》 / 《軽べつして》退屈な人(事) / 高潮,潮津波
boreal	北風の / 北の,北方の
boredom	退屈;〈C〉退屈なこと
borer	穴をあける道具 / 穴をあける虫,穿孔(せんこう)虫
boric acid	硼酸(ほうさん)
boring	退屈な,うんざりする / 穴をあけること,穿孔(せんこう);(鉱山の)ボーリング
born	《名詞の前にのみ用いて》生まれながらの,先天的な / 生まれた; 生じた
borne	bearの過去分詞
boron	硼素(ほうそ)(非金属元素;化学記号は『B』)
borough	《米》自治町村(ある州で『city』より小さい自治体);(New York市の)行政区 / 《英》(勅許状により特権を有する)自治都市
borrow	(…を担保として…から)…を『借りる』《+『名』+『from』+『名』+『on』+『名』》 / 〈言葉・思想・方法など〉を借りてまねる,模倣(もほう)する / 借りる,借金する
borrowing	〈U〉借りること,借用 / 〈C〉借りたもの
borscht	ボルシチ(ロシア式スープ)
borstal	感化院,少年院
bort	(工業用の低質の)ダイヤモンドくず
borzoi	ボルゾイ種(ロシア産の猟犬)
bosh	《おもに英俗》ばかげたこと,たわごと / ばかな,くだらない
bosky	木の茂った;木陰の多い
bosom	《遠回しに》(特に女性の)『胸』(breast);(衣類の)胸部,ふところ 《one's~》『胸中』,胸のうち・情 / 《the~》《文》奥,内部;(大海・湖などの)広い表面(surface) / 親しい
bosomy	《話》(女性が)豊かな胸をした,乳房が大きい
boss	『ボス』,親方;社長,所長 / 《米》《軽べつして》政党の首領 / …を支配する,牛耳(ぎゅうじ)る《+『around』(『about』)『名』・+『名』+『around』(about)》 / 装飾的な突起,盛り上げ装飾
boss-eyed	《英話》やぶにらみの
bossa nova	ボサノバ(ジャズの影響を受けたブラジル起源の音楽)
bossiness	親分風を吹かすこと,横柄
bossism	《米》親分制度,ボス的支配;(政党の)幹部専制
bossy	《話》親分風を吹かせる,おうへいな
bosun	=boatswain
bot.	botanical / botanist / botany / bottle
botanic, botanical	植物[学]の
botanical garden, botanic garden	植物園
botanically	植物学士,植物学的に
botanist	植物学者
botanize,botanise	(研究のため)〈植物〉を採集する / …を植物学に研究する / 植物採集をする
botany	〈U〉植物学 / 〈U〉植物学書
botch	《話》…をぶかっこうに繕う;…をやりそこなう,台無しにする《+『up』+『名』,+『名』+『up』》 / へたな繕い(仕事)
botfly	〈C〉ウマバエ(ヒツジバエ・ウシバエを含む)
both	『両方の』,双方の / 『両方』,両者 / 《『both』…『and』…の形で》『両方とも』,…のいずれも
bother	〈人など〉を『悩ます』,迷惑をかける / (…について)『悩む』,心配する《『about』+『名』》 / 《『bother to』do》わざわざ…する / 〈C〉〈U〉『やっかい』,めんどう / 《a~》(…にとって)やっかいなこと(人)《+『to』+『名』》
botheration	うるさい(bother)
bothersome	やっかいな,めんどうな(troublesome)
bottle	『びん』;1びんの量 / 〈U〉《the~》酒;飲酒 / 〈U〉《the~》哺乳(ほにゅう)びん;牛乳 / …をびんに詰める
bottle green	暗緑色
bottle-feed	〈赤ちゃん〉を人工乳で育てる / 〈赤ちゃんが〉人工乳で育つ
