bicycle	(2輪の)『自転車』 / 自転車に乗る,自転車で行く
bight	入り江,小湾 / (海岸線・川岸の)屈曲 / (両端を固定したときの)綱のたるんだ部分;(結んだときにできる)綱の輪
bigmouth	おしゃべり屋
bigot	(信仰・主義などに凝り固まった)がんこな迷信家,(人種的)偏見の持ち主
bigoted	偏屈な,がん迷な
bigotry	がんこな信仰,(人種的)偏屈,がん迷
bigwig	《軽べつして》実力者,お偉方
bijou	宝石 / 小さくかわいらしい物(場所)
bike	=bicycle
bikeway	自転車専用道路,サイクリングコース
bikini	ビキニ(婦人用セパレート型の水着)
bilabial	両唇(しん)音([b],[m],[p]など両唇で発音されるもの) / 両唇で発音される
bilateral	両側のある,左右同形の / 双方の,二派の / (おもに法律で)相互に義務を負う,双務的な
bilberry	コケモモ(ヨーロッパ下部山岳地の低木) / その実
bile	胆汁(たんじゅう) / かんしゃく;不きげん
bilge	〈U〉(船底の)湾曲部 / 〈U〉(船底の)汚水,あか(bilge water) / 〈C〉(たるの)胴 / 〈U〉《話》くだらない話
bilingual	2つの言語を話す,母国語と同じように外国語を話す / (書籍など)2か国語で表された(書かれた) / 2か国語を話せる人
bilious	胆汁(たんじゅう)の,胆汁質の / 気むずかしい,かんしゃく持ちの
bilk	〈勘定・借金など〉を踏み倒す / …をぺてんにかける,欺く
bilker	(借金などを)踏み倒す人,ごまかす人,詐欺師
bill	『勘定書』,請求書,つけ / 証書;手形 / 《米》『紙弊』,札(さつ)(《英》note) / (議会を)『法案』,議案 / 張り札,ビラ(poster);番組,(芝居の)番付 / 目録,表(list) / =billhook / …に(…の)勘定書(請求書)を送る《+『名』+『for』+『名』》 / …ポスター(ビラ)で宣伝する / 『くちばし』(特にハト・水鳥などの細長くて平たいもの) / (鳥が)くちばしを触れ合う
bill of exchange	為替(かわせ)手形
bill of fare	献立表,メニュー(menu)
bill of health	(船員・船客の)健康証明書
bill of lading	《米》(鉄道・運輸会社などの)貨物引き換え券;《英》船荷証券(《略》『b.l.,B.L.,b/l,B/L』)
bill of rights	〈C〉(人民の)基本的人権の宣言 / 《B-of R-》《米》権利章典(合衆国憲法に付加された最初の修正10箇条);《英》権利の宣言(1689年制定の法律)
bill of sale	売り渡し証書
billboard	《米》掲示板,広告板(《英》hoarding) / (ラジオ・テレビの)番組紹介
billet	(兵舎でなく民有または公共建造物内にある)軍人(兵士)宿舎;民宿割当書 / 《話》《まれ》仕事;地位 / (特に兵舎以外のところに)〈兵士〉を宿泊させる
billet-doux	《おどけて》恋文
billfold	《米》(二つ折りの)札(さつ)入れ,紙幣入れ
billhead	(頭書付き)勘定書,請求書 / (勘定書などの)頭書
billhook	(木の枝をおろす)なたがま
billiard	玉突き[用]の
billiards	玉突き,撞球,ビリヤード
billingsgate	ビリングズゲート(ロンドンの旧魚市場の地名) / (俗語)悪口,汚い言葉,ののしり言葉
billion	『10億』(thousand million) / 《英》『兆』(《米》trillion)
billionaire	億万長者
billionth	10億番目の,10億分の1の / 《英で,もと》1兆番目の,1兆分の1の / 10億分の1 / 《英で,もと》1兆分の1
billow	大波(煙・炎などの)うねり / 波のように揺れ動くもの / 大きく波うつ / …をふくれ上がらせる
billowy	うねりの高い;大波のようにうねる
billposter	(広告用の)ビラ張り人
billposting	ビラ張り
billsticker	=billposter
billy	(巡査の)警棒
billy goat	雄ヤギ
billyo	like billy-oh 猛烈に(降る・闘う)
bimah	ビーマー(ユダヤ教の会堂内にある朗唱壇)
bimetallic	2種の金属から成る / (金・銀)複本位制の
bimetallism	(金・銀両方を本位貨幣とする)複本位制
bimonthly	2か月に1回の,隔月の(に) / 《非標準的》毎月2回の(に) / 隔月の刊行物
bin	(穀物・石炭などを入れる)ふたつきの大箱 / (れんがなどで仕切った)貯蔵所
binary	二つから成る,二つを含む;二元の,複の(dual) / 二進法による
binary digit	(コンピューターで通例0または1の)二進数字
binary star	二つ星,連星(共通の重心の回りを公転している恒星)
binary system	二進法
binaural	両耳用の / 立体放送の,ステレオの
bind	(ひもで)…を『しばる』,を束ねる《+『up』+『名』,+『名』+『up』》 / (…で)…を『巻く』《+『名』+『with』+『名』》;〈包帯など〉を巻きつける《+『up』+『名』,+『名』+『up』》 / 《しばしば受動態で》〈人〉を『束縛する』,に義務を負わせる / (氷・セメントなどで)…を固める,凝結させる《+『名』+『with』+『名』》 / 〈人〉を年季奉公に出す,徒弟(とてい)に出す / 〈本〉をとじる,製本する,装丁する / 〈衣服が〉…を窮屈にする,締めつける / 〈織物など〉にへりをつける,縁飾りをつける / 〈土・砂などが〉固まる,締まる / 拘束する,拘束力がある / 〈衣服が〉窮屈である / 厄介な事態
