bank account	銀行勘定,当座預金
barley sugar	大麦糖(あめ菓子の一種)
barley water	(病人用の)大麦のおもゆ
barley wine	大麦酒(アルコール度の強いビール)
barleycorn	大麦の粒
barmaid	酒場(バー)の女給
barman	=bartender
barmy	愚かな,少し気が変な(《米》balmy)
barn	(農家の)『納家』(なや),物置 / 《米》家畜小屋(家畜・飼料を収容する大きな建物で,映画館ほどの大きさのものもある) / 《米》電車(バス)車庫 / ばかでかくてがらんとした建物
barn dance	(いなかの)踊りの集まり[もと農家の納屋(なや)で行ったことから] / 《英》そこで踊るダンス
barn door	納屋の大とびら / (はずれようのない)大きな標的
