belle	美女,美人;(会合などで)一番の美人[もとフランス語]
benefit	〈C〉〈U〉ためになること(もの),利益,恩恵 / 〈C〉(国家などにより支払われる)給付金,手当 / 〈U〉慈善興行,募金興行 / …のためになる,に利益を与える / (…で)利益を得る《from(by)+名》
benevolence	〈U〉善意,慈悲心,親切心 / 〈C〉《単数形で》親切な行為
benevolent	慈悲深い,情け深い;善意のこもった,親切な
benighted	(旅人が)目的地に着かないように日が暮れた / 未開の;無知な
benign	(心・表情などが)親切な,優しい / (事情・環境・気候などが)好適な,好都合な / 悪性でない
benignant	(特に目下の人に)優しい,親切な / ためになる,有益な
benignity	仁慈,優しさ,親切な行為,恩恵,慈悲,温暖,親切温情
benison	《古》祝福
bent	bendの過去・過去分詞 / 曲がった / 《補語にのみ用いて》(…の)決心をした,(…に)熱中した《+on+名(doing)》 / 《英俗》不正直な / (…に対する)性癖,性向,好み《+for+名》
benthos	《集合的に》水底に群生する生物(植物)
bentwood	曲げ木製の
benumb	…の感覚を失わせる,を麻痺させる
benumbed	(寒さなどで)感覚のなくなった
benzene	ベンゼン(コールタールから採る無色の液体)
benzene ring	ベンゼン環(核)
benzine	ベンジン(石油から採る揮発油)
benzoate	安息香酸の塩またはエステル
benzoic	ベンゾイン樹脂の,安息香[酸]に関する
benzoic acid	安息香酸(防腐剤・殺菌剤として用いられる)
benzoin	安息香(香水・化粧品に用いられる)
benzol	ベンゾール(benzene)
bequeath	〈財産など〉を遺言で譲る;〈人〉に…を遺贈する《+『名』〈人〉+『名,』+『名』+『to』+『名』〈人〉》 / (後の人に)〈作品など〉を伝える,残す《+『名』+『to』+『名』》
bequest	〈U〉遺言で譲ること,遺贈 / 〈C〉(遺言で譲られる)遺産
berate	〈人〉をひどく叱りつける;に小言を言う
bereave	(物・希望などを)〈人〉から奪う,失わせる《+『名』〈人〉+『of』+『名』》 / 〈病気・事故などが〉(肉親などを)〈人〉から奪い去る《+『名』〈人〉+『of』+『名』》
bereaved	肉親(親しい人)を亡くした / 《名詞的に》《the~》《単数・複数扱い》肉親(親しい人)を亡くした人[たち]
bereavement	喜び(望みなど)を奪われること;肉親(親して人)に先立たれること
bereft	bereaveの過去・過去分詞
beret	ベレー帽
berg	氷山(icebergの短縮形)
beriberi	脚気(かっけ)
berk	(特に男の)まぬけ,とんま
berkelium	バーケリウム(超ウラン元素;化学記号はBk)
berry	〈C〉『ベリー』,イチゴ(小粒で果汁の多い食用果実;strawberry, raspberry, gooseberryなどのイチゴ類) / 〈C〉液果(果肉が柔らかく多くの種をもつ果実;tomato, grapeなど) / 〈U〉(魚・エビなどの)卵
berserk	怒り狂う / (北欧伝説で)戦場で無類に強い戦士
berth	(船・列車などの)寝台,寝だな / (船舶の)停泊位置,投錨(びょう)地;操船余地 / 《船》職,地位 / 〈船〉を停泊させる / 〈人〉に寝台(寝る所)を与える / 停泊する / 寝る所を手に書れる
beryl	緑桂石(エメラルドなど)
beryllium	ベリリウム(金属元素;化学記号は『Be』)
beseech	〈人〉に懇願する,嘆願する
beseeching	嘆願するような
beseem	《文》〈人〉に似合う,ふさわしい
beset	(…で)…を取り巻く《+『with』+『名』》 / 《しばしば受動態で》(絶え間ない攻撃などで)…を悩ます《+『名』+『by』(『with』)+『名』》
