besetting	(誘惑などが)絶えずつきまとう(襲いかかる)
betake	(…に)〈自分〉を行かせる《+one『self to』+『名』》
betel	キンマ(東インド産コショウ科の植物)
betel nut	ビンロウジ,ビンロウの果実(東インドなどでこれを betel の葉に包んでかむ)
bethel	(聖書で)聖域,聖所 / 《英》非国教徒の礼拝堂 / 《米》《しばしば『B-』》船員の礼拝堂
bethink	(…について)〈自分〉に考えさせる,思い出させる《+one『self』 『of』+『名』(『wh-節』)》
bethought	bethink の過去・過去分詞形
betide	〈不幸・災難が〉〈人〉に起こる,の身にふりかかる / (…に)起こる《+『to』+『名』》
betimes	おそくならないうちに,折よく / 《古》ただちに
betoken	…を示す,…の前兆となる
betook	betake の過去形
betray	(敵に)〈国・味方など〉を『裏切る』・売る《+『名』+『to』+『名』》 / 〈人,人の信頼・期待など〉にそむく,を裏切る / (…に)〈秘密など〉を漏らす《+『名』+『to』+『名』》 / (隠そうとしてはいるがうっかり)…を示す,表す
betrayal	(国・味方などを)敵に売ること,裏切り,密告 / 裏切り行為
betroth	(…と)…を婚約させる《+『名』+『to』+『名』》
betrothal	《文》婚約
betrothed	《単数扱い》婚約者 / 《the~》《複数扱い》婚約者どうし
better	(『good』 の比較級;最上級は 『best』)『いっそうよい』,もっとすぐれた / (『well』の比較級;最上級は『best』)《補語にのみ用いて》(健康が)『いっそうよい』,(病気が)前よりよい,快方に向かって / (量・距離・時間などが)『もっと多い』 / (…より)『いっそうよく』 / (程度・時間・距離などが)『もっと多く』;(…より)いっそう多く《+『than』…》 / いっそうよい人(物,事) / 《複数形で》一段とすぐれた人々;目上の人,先輩 / …を改善(改良)する,向上させる / …をしのぐ,負かす
better half	よき伴侶(はんりょ),妻
better, bettor	かけをする人,賭博(とばく)者
betterment	〈U〉改良,改善 / 《複数形で》(不動産の)改良,改修
between	《場所・空間》…『の間に』 / 《時間・期間》…『の間に』 / 《数量・程度・内容など》…の間に,の中間に / 《分配》…『の間で』 / 《区別・選択》…『の間で』,のいずれかを / 《関係》…『の間に』 / 《協力・共有》…と協力して,の間で / 《理由》…やら…やらで / 《場所・位置》『間に』,中間に / 《時》間に
betwixt	《古・詩》=between
bevel	斜角 / (厚板ガラスなどの端に切った)斜面 / 角度定規 / 傾斜した,斜めの / …に斜角をつける,を斜めに切る
bevel gear	かさ歯車(かさ形の2枚の歯車を通例直角にかみ合わせて用いる)
beverage	《文》『飲み物』,飲料(drink)
bevy	(少女・婦人,小ジカ・小鳥などの)群れ,一団《+『of』+『名』》
bewail	…を深く悲しむ,嘆く
beware	《『beware』+『that節』(『wh-節・句』)》…に気をつける,注意する / (…に)『気をつける』,注意する《+『of』+『名』(『wh-節・句』)》
bewigged	かつらをつけた
bewilder	〈人〉を『当惑させる』,まごつかせる
bewildering	当惑させる,うろたえさせる
bewilderment	当惑,うろたえ
bewitch	…に魔法をかける / …を魅する,うっとりさせる(fascinate)
bewitching	人を魅するような,魅力のある(charming)
bey	ベイ(中東の高官の称号) / ベイ(Mr.に当たるトルコ語)
beyond	《場所》…『を越えて』,『の向こうに』(『へ』) / 《数詞つきの句とともに》…から[いくつ目] / 《時間》…『を過ぎて』,よりも遅く / 《程度・範囲》…『の限度を越えて』;…『以上に』(above) / 《通例否定文・疑問文で》…よりほかには,以外に / 向こうに,かなたに / 《the~》かなた,果て / 《the [great]~》あの世
bezique	ベジーク(2人以上で64枚のカードを用いて行うカードゲーム)
bhang	インド大麻 / (インド大麻から作る)麻薬,麻酔剤
biannual	年2回の,半年ごとの
bias	〈C〉(布地の裁断や縫い目の)斜線,バイアス / 〈C〉〈U〉(…に対する)心理的傾向,性癖;先入観;偏見《+『toward』(『against』,『for』)+『名』》 / 斜めの;斜めに裁った / (…に対して)〈人〉に偏見を抱かせる,〈人の意見・心〉を一方に片寄らせる / 《+『名』+『against』(『towards, in favor of』)+『名』》
bias binding	バイヤステープ(布地の角などのミシンがけに用いる斜め裁ちの細長い布)
biathlon	バイアスロン(射撃とスキーを組み合わせた競技)
bib	よだれ掛け;(前掛けなどの)胸の部分
bibelot	(装飾用)小形のこっとう品(美術品)
bibl	biblical / bibliographical
bibliog.	bibliographer / bibliography
bibliographer	書誌学者
bibliographical, bibliographic	書誌学の;図書目録の
bibliography	書誌学(書物の歴史・分類などを研究する)
bibliophile	愛書家
bibulous	《おどけて》酒好きの,大酒飲みの
bicameral	(議会が)二院制の
bicameral legislature	二院制(上下両院から成る立法府)
bicarb	(吐き気を静める)重炭酸ソーダ,重曹(じゅうそう)
bicarbonate	重炭酸塩
bicarbonate of soda	=sodium bicarbonate
bicentenary	=bicentennial
bicentennial	200年に1度の,200年目ごとの / 200年祭
biceps	(手足の)二頭筋
bichloride	二塩化物
bicker	(特に,ささいなことについて人と)けんかする,口論する《+『about』(『over』)+『名』+『with』+『名』〈人〉》
biconcave	(レンズなどが)両凹(おう)の
biconvex	(レンズなどが)両凸(とつ)の
bicorporal	双体の,2つの体を持った
biculturalism	(同一国内に)二文化の共存
bicuspid	(歯などが)2つの尖(せん)部(突起)を持つ / 小臼歯(きゅうし)
