bluenose	堅物,道徳を振りかざす人 / (カナダ)ノバスコシア州の人(愛称)
boarding pass	(飛行機の)塔乗券
boarding school	寄宿学校(宿友と食事を提供している学校)
boardinghouse, boardinghouse	(まかない付きの)下宿屋,寄宿舎
boardroom	重役会議室
boardwalk	海岸沿いの板敷き歩道(遊歩道)
boast	(…を)『自慢する』,鼻にかける《+『about』(『of』)+『名』(do『ing』)》 / …を『自慢する』,鼻にかける / …を『誇りとして持っている』,が自慢の種である / 誇り / 『自慢』,自慢話
boaster	自慢屋,ほら吹き
boastful	高慢な;(…を)自慢する《+『of』+『名』》
boat	『小型の船』,小舟,ボート / 《話》(大小に関係なく一般に)船,汽船 / 舟形の容器 / 舟に乗る / …を舟で運ぶ
boat race	ボートレース,ボート競漕会《the B- r-》《英》Oxford対Cambridgeの大学対抗ボートレース
boat train	客船と連絡している列車
boatel	ボーテル(自家用船で旅行する人のための波止場にあるホテル)
boater	船遊びをする人,ボートに乗る人 / かんかん帽
boathook	ボートを引き寄せるかぎざお
boathouse	艇庫;ボート小屋
boatman	貸しボート屋 / ボートのこぎ手 / 船頭
boatswain	(商船の)甲板長,水夫長;(軍艦の)掌帆長
bob	(はかりの)おもり;(振り子の)玉;(釣りの)浮き / (婦人・子供の)断髪;(犬・馬の)切り尾 / …を断髪にする;〈犬・馬の尾〉をちょん切る / (…を)ひょいと動かすこと《+『of』+『名』》 / ぴょこんとするおじぎ,軽いおじぎ / 〈頭・体〉をひょいと動かす / 頭(体)をひょいと動かす;(…に)ひょいと頭を下げる《+『at』+『名』》 / 急に上下に(ひょいひょい)動く《+『up』(『down』)》 / シリング(shilling)
bobbin	糸巻き,ボビン
bobble	(野球,アメリカンフットボールなどで野球を受けるときの)ちょっとしたもたつき,ファンブル / 《米話》〈打球・投球〉をファンブルする
bobby	巡査
bobby pin	ヘアピン
bobby socks	《話》(特に10代の女子がはく)くるぶしまでのソックス
bobbysoxer	十代の娘
bobcat	北米産のヤマネコの類
bobolink	(北米産の)コメクイドリ
bobsled	ボブスレー(2台のそり(sled)を縦に連絡したもの) / ボブスレーに乗る
bobsleigh	=bobsled
bobtail	切り尾;切り尾の馬(犬) / 切り尾の,尾を切った
bobtailed	しっぽの短い
bobwhite	コリンウズラ(北米産のウズラの一種)
bocce, bocci	ボッチ(芝生で行うイタリアのボウリングの一種)
bock beer	ボックビール(ドイツ産の強い黒ビール)
bod	《英話》人;(特に)男
bode	…の前兆となる,を予言する / bideの過去形
bodice	婦人服の胴部 / 前をひも締めにしてブラウスの上に着る婦人用胴着
bodiless	体のない;無形の,実体のない
bodily	『身体上の』,肉体上の / みずから,自身で(in person) / 体ごとそっくり
bodkin	ひも通し[針],千枚通し / (先に飾りのついた)ヘアピン
body	〈C〉『身体』,肉体 / 〈C〉(人・動物の)『胴体』 / 〈C〉(物の)『主要部』,本体《+『of』+『名』》 / 〈C〉(…の)『団体』,群れ:(…のたくさんの)集まり《+『of』+『名』》 / 〈C〉物体,…体 / 〈U〉実質;(酒・味などの)こく / 〈C〉《話》人
body blow	ボディブロー(胸骨とへその間に加えるボクシングの打撃) / 痛撃,大敗
body language	ボディーランゲジ(相手に意志・感情を伝えようとしてする身振りや表情など)
body politic	統治体,国家
body shirt	体にぴったりしたシャツ
body snatcher	死体泥棒(昔,死体を掘り起こして解剖学者に売った)
body stocking	ボディストッキング(両足・胴をおおうぴったりした女性用下着)
bodyguard	ボディーガード,護衛者,護衛兵
bodyline bowling	(野球で)打者の体をねらって投げる投球
bodywork	(車の)車体
boffin	科学者
bog	沼地,沼沢地 / …を沼にはまらせる / 沼にはまる
bogey	=bogy / (ゴルフで)ボギー(基準打数(par)より一つ多い打数)
bogeyman	小取り鬼(いたずらな小供をさらっていく小鬼)
boggle	(…に)驚いてたじろぐ,ひるむ《+『at』+『名』》 / …を驚かせる,ひるませる
boggy	沼地の,沼地の多い;じめじめした
bogie	=bogy / (また『bogie car』)《英》ボギー車(旋回台でカーブが自然にできるようになっている鉄道車両)
bogus	にせの,いんちきの
bogy	おばけ,幽霊 / 人の悩ますもの,人につきまとうもの
boil	沸く / 煮える / 〈人,人の気持が〉(怒り・興奮で)煮えくりかえる,激する《+『with』+『名』》 / (沸騰する湯のように)わき立つ / …を『沸かす』 / …を『煮る』,ゆでる / 煮沸,沸騰;《the ~》沸騰点 / はれもの,おでき
boilable	保釈を許される
boiler	ボイラー汽罐(きかん) / 煮沸器(なべ,かまなど) / 煮沸作業員
boiler suit	ボイラー服(overall)
boilermaker	〈C〉ボイラー製造(修理)人 / 〈U〉〈C〉ボイラーメーカー(ビール割りウイスキー)
boiling	沸騰,煮込み / 沸騰する,煮え立っている,ひどく怒った,ひどく暑い
boiling hot	《話》(天候が)焼けつくように暑い
boiling point	沸騰点,沸点
boisterous	ばか騒ぎをする,騒々しい / (風・海・天候などが)荒れ狂う
bola	2個以上の鉄玉付きの投げなわ;(おもに南米南部で,獣の脚に投げつけ,からませて捕える道具)
bolas	=bola
bold	『大胆な,恐れを知らない』(fearless) / ずぶとい,ずうずうしい / 太くて目立つ;(文字が)肉太の / けわしい
