bulbous	球根の;球根のある / 球根状の
bundle	(…の)『束』,『包み』,巻いたもの(旅行者の荷物など)《+『of』+『名』》 / …を包みにする,束にする / (…に)…をごっちゃに投げ込む《+『名』+『into』+『名』》 / 荷物をまとめてさっさと出て行く《+『off』(『out』,『away』)》
bundler	包み(束)を作る人,荷物をまとめる人
bung	(たるの)せん / =bunghole
bungalow	バンガロー(平屋建ての小さな住宅)
bunghole	たるの口,つぎ口
bungle	…をへたにやる,しくじる / へまをする / 不手際,しくじり,へま
bungler	へまをする人,不器用な人
bunion	腱膜瘤(足の親指の内側にできるはれ物)
bunk	(船・列車などの)二段式寝台 / 《話》寝場所 / 寝台(寝だな)に寝る《+『down』》 / 不まじめな話;たわごと(nonsense) / 寝棚に寝る / ごろ寝する / (狭い)作り付け寝台, 寝棚 / だぼら・ごまかし・でたらめを言う,だます
bunk bed	=bunk
bunk-up	登る人のしり押し
bunker	船の石炭庫 / 《おもに英》バンカー(障害として作られたゴルフコースの砂地のくぼみ)(《米》sand trap) / 掩蔽壕(えんぺいごう)
bunkhouse	(鉱夫・労務者などの)小屋,飯場
bunko	いかさま,ぺてん,かたり
bunkum, buncombe	人気取り演説,場当りの話,たわごと
bunny	《小児語》ウサちゃん(rabbit) / =bunny girl
bunny girl	バニーカール(ナイトクラブで兎のような衣裳を着た給仕)
bunt	(野球で)〈ボール〉をバントする / 〈ヤギ・小牛が〉…を角(頭)で突く / バントする / 角(頭)で突く / バント[をすること] / 角(頭)で突くこと
bunting	旗布 / 《集合的に》装飾旗,旗(flags) / (幼児用の)おくるみ / ホオジロ(スズメ科の鳥)
buoy	浮標,ブイ(時に灯・鐘などがついている) / =life buoy / …を浮かせておく / …にブイをつける
buoyancy	浮力・浮揚力 / 楽天的な性質,陽気
buoyant	浮揚性のある,浮力のある / 気楽な,楽天的な
bur, burr	(クリ・ゴボウの実などの)いが;いがのついた実ができる植物
bur.	bureau
burble	ブクブク(ゴボゴボ)音をたてる / 小声でぺちゃくちゃしゃべる,早口でぶつぶつ言う《+『on』(『away』)》
burden	〈C〉『荷物』,『積荷』 / 〈U〉荷物の運搬 / 〈C〉(…にとっての)(心を)『重荷』,苦しみ,悩み《+『to』(『on』)+『名』》 / (荷を)…に『負わせる』,積む《+『名』~『with』+『名』〈荷〉》 / 〈C〉(歌の)折り返し / 《the ~》くり返し説かれる要旨(主旨)
burden of proof	(法律上の)立証責任
burdensome	重荷となる,わずらわしい;(…にとって)重荷となる《+『to』+『名』》
burdock	ゴボウ
bureau	《米》(通例上部に鏡のついた)『たんす』(chest of drawers) / 《おもに英》(引き出しのついた)大机 / 《米》(官庁の)『局』(《英》department) / (一般に)『事務所』,事務局
bureaucracy	〈U〉〈C〉官僚政治,官僚制度 / 《the ~》《集合的に》官吏,官僚 / 〈U〉お役所式の繁雑な手続
bureaucrat	官僚・官吏 / 官僚的な人
bureaucratic	《軽べつして》官僚の;官僚的な;官僚制の
bureaucratically	官僚的に
bureaucratize, bureaucratise	…を官僚的にする / 官僚的になる,官僚化する
bureaux	bureauの複数形
burette, buret	ビュレット(精密な目盛のついた分析用ガラス管)
burg	《話》静かな小都市(町)
burgeon	新芽を出す / 急に大きくなる
burger	=hamburger3
burgess	《英》(自治都市の)市民 / 《米》(独立前のVirginiaまたはMaryland州の)州議員
burgh	《スコットランド》自治都市
burgher	市民,(特に,中世自治都市の)市民
