bitumen	瀝青(れきせい)(天然の炭化水素化合物の総称)
blackguardly	《軽べつして》ならずものの,ならずもの風の(に)
blackhead	上部が黒いにきび(吹出物)
blacking	黒くするもの,(特に)靴墨
blackish	やや黒い,黒みがかった
blackjack	〈C〉ブラックジャック(黒い革をかぶせた短いこん棒) / 〈U〉(カードゲームの)ブラックジャック(=twenty-one) / …をブラックジャックでなぐる
blacklead	〈炉の金具など〉に黒鉛を塗る;…を黒鉛でみがく
blackleg	スト破りをする
blacklist	ブラックリスト,要注意人物や常習犯人の表 / 〈人名〉をブラックリストに載せる
blackmail	ゆすり,恐かつ / ゆすり取った金(品) / 〈人〉をゆする;〈人〉をゆすって(…)させる《+『名』+『into』+『名』(do『ing』)》
blackmailer	ゆすりを働く者
blackmarketeer	闇屋(やみや)
blackout	(空襲に備えた)灯火管制 / (特定地域の一時的)停電 / 一時的失神 / (特に場面転換時の舞台の)暗転 / (報道機関の)麻痺,(報道の)停止,報道管制
blacksmith	『かじ屋』
blackthorn	リンボク(欧州・アジア産でバラ科の木;ステッキの材料) / 《米》サンザシ属(hawthorn)
blacktop	〈U〉(道路舗装用)アスファルト / 〈C〉アスファルト舗装道路 / 〈道路〉をアスファルト舗装する
bladder	(人間・動物の)襄(のう),ぼうこう,(魚の)浮き袋;気胞 / 襄に似た物
blade	(刀・ナイフ・のこぎり・かみそりなどの)『刃』,刀身 / 刀,剣 / (特にイネ科植物の)葉,葉身 / (一様に)薄く平べったい部分 / (アイススケート靴の)金属のすべり
blaeberry	《スコットランド》=bilberry
blain	膿疱(のうほう),水疱,はれもの
blame	〈事〉を『非難する』,とがめる;(…のことで)〈人〉を非難する《+『名』+『for』+『名』(do『ing』)》 / (…に)〈罪など〉をなすりつける《+『名』+『on』+『名』》 / (罪・過失などに対する)『責任』(responsibility);責め,非難(censure)《+『for』+{名}(doing)
blameless	非難すべきところのない,罪(過失)のない
blamer	非難する人,責める人,責任をとがめる人
blameworthiness	非難に値すること,不都合,責め
blameworthy	非難すべき,とがめるべき
blanch	…を白くする,漂白する(bleach) / (熱湯に短時間つけて)〈アーモンド・トマトなど〉を皮をむく,〈野菜・肉〉の下ごしらえをする / (恐怖・病気のために)青ざめる
blancmange	ブラマンジエ(牛乳とコーンスターチで作った甘いプディング)
bland	(態度などが)物柔らかな,人当たりがいい / (気候など)温和な;(食事など)刺激性のない / 興味のわかない,活気のない
blandish	(甘い言葉で)…をまるめこむ,にこびへつらう
blandishment	ごきげん取り;甘言
blank	(紙が)『白紙の』;(欄が)空白の,書き入れていない / がらんとした,からの(empty);なんの装飾もない / 『ぼんやりした』,うつろな,無関心な / 全くの / 『空白』,空所 / 書き込み用紙(form) / 空虚;空(くう)の部分 / (語句・文学を伏せる場所に用いる)ダッシュ“‐":Mr-某氏 / (またblank cartridge)(銃火器の)空包 / …を消す,削除する《+『名』+『out,』+『out』+『名』》 / 《米》〈相手〉に試合で得点させない
blank check, blank cheque	署名のみで金額が記入してない小切手 / 《話》(行動・決定など)無制限,白紙委任
blank verse	無韻詩(Shakespeareの作品に多い弱強格5脚の詩)
blanket	『毛布』 / (毛布にように)一面に広がっておおう物 / …を毛布でおおう,(毛布でおおうように)…を一面におおう / 包括的な,総括的な
blankly	ぼんやりして,ぽかんとして / 全く,あらゆる点で
blare	〈ラッパなど〉を鳴り響かせる;…を大声で告げ知らせる《+『out』+『名』+『名』+『out』》 / 大きくやかましく鳴り響く / (らっぱ・角笛などの)耳ざわりな響き
blarney	おせじ,おべっか / 〈人〉を甘言でくどく / おせじ(おべっか)を言う
blase,blasé	(楽しいことの見過ぎ・し過ぎで)飽きた,退屈した
blaspheme	〈神・神聖なもの〉に不敬なことばを口にする / 不敬なことばを口にする
blasphemer	(神や神聖なものに対して)不敬なことを言う人,冒瀆する人
blasphemous	(神・神聖なものに対して)不敬な,冒瀆的な
blasphemy	(神・神聖なものに対する)不敬,冒瀆
