boldface	肉太活字
bone meal	骨粉(肥料・飼料用)
bone-dry	からからにかわいた,ひからびた / 《米》全くアルコールなしの
bone-idle	(人・行動が)ひどく怠けた,ものぐさの
boneblack	骨炭(黒色顔料・脱色剤などに用いる)
boned	(魚など)骨を取り除いた / (衣服が)(コルセットなどで)骨で張りをつけた[ような]
bonefish	ソトイワシ(温帯・熱帯産の小骨の多い魚)
bonehead	まぬけ《形容詞的に》『bonehead play』{名}〈C〉まずいプレー,ボーンヘッド
boneless	骨のない
boner	へま,大失策
bonesetter	(無資格の)接骨医,骨つぎ屋
boneshaker	おんぼろ自転車
bonfire	(祝いの)大がかり火,(野天の)たき火
bong	(つり鐘などの)ゴーン[という音] / 〈つり鐘などが〉ゴーンを鳴る
bongo drums	ボンゴ(小太鼓の一種)
bonhomie	親しみやすさ,きさくさ
bonito	カツオ
bonjour	こんにちは(good morning, good afternoon)
bonkers	《英俗》気の狂った
bonnet	『ボンネット』(婦人・子供用のひもをあご下で結ぶ大きな帽子) / 《英》ボンネット(自動車の前方機関部のおおい;《米》hood)
bonnie, bonny	見て気持ちがいい,かわいい / (人が)健康で美しい
bonsoir	こんばんは(good evening)
bonus	ボーナス,特別手当;特別配当金 / 景品,おまけ / 《話》思いがけない喜び[を与えるもの]
bony	骨の,骨のような / 骨の多い
bonzer	非常に大きい / すばらしい,みごとな
boo	ブー(軽べつ・非難の声),バァー(驚かせるときの声) / ブー(バァー)という声 / (軽べつ・非難して)…にブーと言う,(驚かせるため)…にバァーと言う / ブー(バァー)と言う
boob	まぬけ,ばか / ばかな間違いをする
booboo	《俗》ばかげたあやまち,どじ,へま
boobs	(女性の)乳房,おっぱい
booby	まぬけ,ばか / かつおどり(熱帯・亜熱帯産の鳥)
booby hatch	艙口蓋(そうこうがい)(甲板から乗員室へのえぼし型ハッチ) / 〈米俗〉精神病院
booby prize	びり賞,最下位賞
booby-trap	偽装爆弾,地雷 / まぬけ落とし(戸をあけたとたん頭上に物が落ちてきたり,うっかり踏むと穴に落ちたりする仕掛け) / …に偽装爆弾(地雷)を仕掛ける / …にわなを仕掛ける
boodle	賄賂(わいろ),買収金 / 腐敗看守,腐敗警官 / 盗品,ぶんどり品
boogie-woogie	ブギウギ(ブルースの一種)
boohoo	泣きわめく / 泣きわめく声 / ワーワー
book	『本』,書物 / (書物の)『巻』,編 / 『帳簿』;《複数形で》会計簿,名簿 / (小切手・切符などの)とじ込み帳,(電話帳などの)帳 / (劇・オペラなどの)台本 / 《the B-》聖書 / 〈名前など〉を記入する,〈注文など〉を記帳する《+『in』+『名,』+『名』+『in』》 / 《特に英》〈座席・部屋など〉を(金をはらって)『予約する』(《特に米》reserve) / (…に)〈予約者〉の名を記入する,に切符を発行する《+『名』+『for』+『名』》 / …の出演の契約をする / 〈容疑者〉を警察の記録に記入する / (名前などの)登録をする《+『in』》 / (座席・切符・部屋などの)予約をする《+『for』+『名』》
book club	ブッククラブ(会員に割引で本を売る組織)
book learning	(実務的経験に対して)書物上だけの学問,机上の学問
book match	ブックマッチ(二つ折のはぎ取り式マッチ)
book token	図書購入券
bookable	(座席や切符などが)予約できる
bookbinder	製本屋
bookbindery	〈U〉製本術 / 〈C〉製本所
bookbinding	製本[術],製本業
bookcase	『本箱』・書だな
bookend	(一対になっている)本立て
bookie	=bookmaker
booking	(座席や切符などの)予約;(芸能人の)出演契約
booking clerk	(駅の)出札係,切符発売係
booking office	(駅の)出札所,切符売場
bookish	本好きの,勉強好きの / 《軽べつした》机上の,実際的でない / 堅苦しい,学者ぶった
bookkeeping	簿記
