balance beam	はかりざお / (体操の)平均台
ballot	〈C〉投票用紙 / 〈U〉〈C〉無記命投票,(一般に)投票 / 〈C〉投票総数 / 《the ballot》投票権 / 投票する,投票で決める
ballpark	野球場
ballplayer	野球選手;(一般に)球技をする人
ballpoint	ボールペン
ballroom	(ホテルなどの)舞踏室,ダンス場
ballute	ロケットの降下間の減速用に気球と落下さんを組み合せた装置
bally	《遠回しに》《英》ひどい,とんでもない / ひどく,べらぼうに[bloodyがなまった語]
ballyhoo	誇大広告 / 大騒ぎ / …を騒々しく(誇大に)宣伝する
balm	香油・芳香 / 〈U〉〈C〉鎮痛剤;(心の)慰め
balmy	おだやかな,さわやかな / 芳香のある,かぐわしい / 心の慰めとなる / 《米俗》少し気が変な(《英》barmy)
baloney,boloney	〈C〉=bologna / 〈U〉〈C〉《俗》たわごと,おろかさ
balsa	〈U〉バルサ材(軽く強いので,救命用具・いかだ・模型飛行機などに用いる) / 〈C〉バルサの木(熱帯アメリカ産)
balsam	〈U〉バルサム,香膏(こう)(液状樹脂;薬用・工業用) / 〈C〉ホウセンカの類
balsam fir	バルサムモミ(クリスマスツリーなどに用いる北米産のモミの木)
baluster	手すり子(手すり・らんかんの小柱;通例屋外で石造のもの) / 《複数形》で=balustrade
balustrade	(屋外の階段・バルコニー,橋などの石造の)手すり,らんかん
bambino	赤ん坊,幼い子 / 幼いキリストの像(画)
bamboo	『竹』;竹材;〈C〉(1本の)竹
bamboo curtain	竹のカーテン(中国の他国との交渉を断った対外政策をさす)
bamboozle	…をだます,あざむく,煙に巻く;…をだまして(…)させる(させない)《+『名』+『into』(『out of』)+『名』(do『ing』)》
ban	(法による)(…に対する)『禁止』,禁制(prohibition)《+『on』+『名』》 / (世論などの)反対,非難 / (教会の)破門 / (法律や社会的圧力によって)…を『禁ずる』,禁止する
banal	平凡な,陳腐な
banality	平凡,陳腐
banana	『バナナ』;バナナの木 / 《米俗》ドル
banana republic	バナナリパブリック、バナナ共和国(軽蔑して :国の経済をバナナ輸出に頼る小国・バナナなどの果物の輸出への依存度が高い南米の国々を指す)・米国の登山衣料などの専門店
bananas	〈C〉バナナ(果物)の複数形 / 《米俗》頭がおかしい,正気でない,夢中な
band	『帯』,『バンド』,ひも,(おけの)たが / (色の)すじ,しま / 周波数 / …にバンドを付ける / (人の)『一隊』,『一団』,一群《+『of』+『名』》 / 『楽隊』,バンド / …を一隊(一団)にする / 団結する《+『together』》,(…と)一団になる《+『with』+『名』》
band saw	帯のこぎり = belt saw
bandage	包帯 / …に包帯をする《+名+up,+up+名》
bandanna, bandana	(ネッカチーフなどに用いる)色染めハンカチ
bandbox	(帽子・カラーなどを入れる)ボール箱,薄板箱
bandeau	ヘアバンド(婦人の頭に巻き,造花などを付ける細いリボン)
banderole, banderol	(マストややりの先などにつける)小旗・吹流し
bandicoot	フクロアナグマ(長いつめを持つオーストラリアおよびニューギニア産の有袋動物)
bandit	追いはぎ,盗賊
banditry	追いはぎ(強盗)すること
bandmaster	(楽隊の)楽長,指揮者
bandoleer,banbdolier	(肩からかける)弾薬帯
bandsman	(楽団の)楽手,バンドマン
bandstand	(戸外演奏用の)音楽堂,(ナイトクラブなどの)演奏台
bandwagon	(騎馬行列の先頭の)楽隊車・人気のあるグループ、選挙の圧勝・地滑り的大勝利、勢いに乗った動き・勝ち組 ・「get on the bandwagon」で「時流に乗る・優勢の側につく; 時流に乗る, 便乗する、勝ち組に一枚のっかる」
bandy	〈ボールなど〉を投げ合う,打ち合う / 〈言葉・殴打など〉を交わす / =bandy-legged
bandy-legged	ひざが外側に曲がった,がにまたの
bane	害毒;破滅のもと
baneful	有害な,有毒な
bang	バン(ドカン,ズドン,バタン)という音 / バン(ドン)という一撃(強打) / 《話》活力,気力 / …を『バン(ドン)と打つ』;(…に)…をバン(ドン)と打ちつける《+『名』+『on』(『against』『,at』)+『名』》;〈戸など〉をバタンとしめる / 『バン(ドン)と音を立てる』;(…を)ドン(バン)と打つ《+『on』(『against』,『at』)+『名』》 / 性交する(相手は女) / まさに,全く,ちょうど / おかっぱにした前髪,切り下げ前髪(また《英》fringe) / 〈前髪〉を切り下げにする
bang on	すごい;その通り
bang-up	極上の
banger	ソーセージ / ボンと破裂する花火 / おんぼろ自動車
bangle	(腕・くるぶしなどの)輪飾り
banian	=banyan
banish	(…から)〈人〉を『追放する』,流刑にする《『名』+『from』+『名』》 / (心から)〈恐怖心・心配など〉を払いのける追い払う《+『名』+『from』+『名』》
banishment	追放,放逐,流刑
banister	(階段の)手すり,欄干(らんかん),=bannister / (手すりを支える)支柱、子柱(baluster)
banjo	バンジョー(4弦または5弦の楽器)
bank	『土手』,堤 / 川岸;《複数形で》(川の)両岸 / (土手のように)長く盛り上がったもの / 州(す),浅瀬 / (丘などの,通例けわしい)傾斜面,坂 / (飛行機が施回するときの)傾斜 / …を土手で囲う(守る) / …に土手を築く / …を土手のように積み上げる《+『up』+『名,』+『名』+『up』》 / (長くもたせるために)〈火〉に灰をかぶせる《+『up』+『名,』+『名』+『up』》 / 〈機体・車体〉を横に傾ける / 積み重なる,層を成す《+『up』》 / 〈車・飛行機が〉横に傾く / 『銀行』 / 貯金箱 / 貯蔵,蓄え / 《複合語に用いて》「…の貯蔵所」の意を表す / 〈金〉を銀行に預金する / 銀行業を営む / (…に)預金している《+『with(at)』+『名』》 / (…の)列,段《+『of』+『名』》 / (ピアノ・タイプライターなどの)キーの列 / (ボートの)オールの列 / …を列に並べる
