Berlin	ベルリン(もとドイツの首都で,現在は東西ドイツ領に分かれる)
British Columbia	ブリティッシュコロンビア(カナダ西部,太平洋岸の州;州都Victoria)
British Commonwealth [of Nations]	英連邦(英本国・属領および旧British Empireからの独立国によって構成される;1949年から正式にはthe Commonwealth [of Nations]という)
British Empire	大英帝国(英国およびその植民地と自治領の旧称)
British English	イギリス英語(大ブリテン島,特にイングランド南部で用いられる英語)
British Isles	英国諸島(Great Britain, Irelandおよびその付近の島々)
British thermal unit	英国熱量単位(1ポンド(453.59g)の水を華氏1度上げるのに必要な熱量;《略》『Btu』,『BTU』)
Britisher	英国人,英国の住人
Briton	(古代の)ブリトン人(英国南部に住んでいたケルト人) / 英国人
Brittany	ブルターニュ(フランス北西部,イギリス海峡とBiscay湾との間にある半島地方)
Broad-Church	広教会派(英国国教の自由主義的な一派)
Broadway	ブロードウェイ(New York市の大通り;商業演劇の中心地)
Bronx	ブロンクス(New York市5区中の北部の区)
Bronx cheer	(両くちびるの間で舌を震わせて出す)野卑なあざけり,やじ
Bronze Age	青銅器時代 / 《b- a-》(ギリシア神話の)青銅時代
Brooklyn	ブルックリン(New York市の1区で,Long Islandの西部にある)
Browning	ブラウニング(Robert Browning;1812‐89;英国の詩人) / ブローニング(一種の自動または半自動銃;アメリカ人J.M.Browningが発明)
