impedimenta	手荷物;(軍隊の)隊に所属する荷物,行李(こうり) / じゃまになる物
implacably	なだめがたく,執念ぶかく,容赦せずに
implant	(心・人に)〈思想・感情など〉を刻み込む,植え付ける《+『名』+『in』(『into』)+『名』》;(思想 / ・感情などを)〈心・人〉に刻み込む,植え付ける《+『名』+『with』+『名』》 / (体に)〈組織・器具など〉をはめ込む,移植する《+『名』+『in』(『into』)+『名』》
implausible	(話・アリバイが)信じがたい,ありそうもない
implement	(通例簡単な)『道具』,器具 / …を履行する,果たす(execute)
implicate	〈証言・容疑者などが〉(犯罪などに)〈他の人〉を巻き込む,関係させる《+『名』+『in』+『名』》
implication	〈U〉(犯罪などの)巻き添え,連座 / 〈U〉〈C〉含蓄,含意,裏の意味,ほのめかし
implicit	(同意・反対などが)暗に示された,暗黙の / 無条件の,絶対の
implode	内側に破裂する;〈破裂子音が〉内破する
implore	〈許しなど〉を『懇願する』;〈人〉に懇願する
imploring	嘆願の,哀願する
implosion	内部への破裂;(破裂子音の)内破
imply	…を『ほのめかす』,暗に示す / …を意味を含む,…[の存在]を当然の前提とする
impolite	無作法な,無礼な
impolitic	不得策な,賢明でない
imponderable	計れない,評価できない / (熱・光などの)不可量物
import	(…から)…を『輸入する』《+『名』+『from』+『名』》 / 《文》…を意味する,の意味を導入する / 〈U〉(…の)『輸入』《+『of』+『名』》 / 〈C〉《しばしば複数形で》『輸入品』 / 〈U〉《文》重大,重要性 / 〈U〉意味,意義
importance	『重要性』,重大さ / 重要な地位,高い身分 / 尊大さ
important	『重要な』,重大な / 『有力な』,地位(権威,影響力)のある,偉い / もったいぶった,尊大な
importantly	重要性をもって;もったいぶって
importation	〈U〉輸入 / 〈C〉輸入品,舶来品
importer	輸入者,輸入業者
importunate	(人・要求などが)うんざりするほどしつこい,わずらわしい
importune	〈人〉にうるさくねだる
importunity	しつこさ;《複数形で》しつこい要求(嘆願)
impose	(人・物に)〈重荷・税金など〉を『課する』,負わせる《+『名』+『on』(『upon』)+『名』〈人・物〉》 / (人に)〈考えなど〉を『押しつける』,強いる《+『名』+『on』(『upon』)+『名』〈人〉》
imposer	押しつける人,(課題・重荷などを)課する人
imposing	人を威圧するような,堂々たる
imposition	〈U〉(税・義務などを)課すること,負わせること《+『of』+『名』》 / 〈C〉税;重荷 / 〈C〉(好意などに)つけ込むこと《+『on』(『upon』)+『名』》
impossibility	〈U〉不可能;(…が)不可能であること《+『of』+『名』(do『ing』)》 / 〈C〉不可能なこと
impossible	『不可能な』,できない / (人・物事が)我慢ならない,耐えがたい / ほんとうとは思えない,信じがたい
impossibly	不可能なように,起こりえず / がまんのならぬほど
impost	税;関税,輸入税 / せりもと(建物のアーチが壁・柱の上から伸びて行く起点)
impostor	詐欺師,ぺてん師;名前をかたる人,詐称者
imposture	(特に他人の名前・職業などをかたる)詐欺,かたり
impotence	無力,無気力,虚弱 / 陰萎(いんい),インポテンツ
impotent	無気力な,虚弱な / 陰萎(いんい)の
impound	〈証拠書類など〉を押収する / 〈迷い出た家畜など〉をおり(ある区域)に入れる,閉じ込める
impoverish	…を貧しくする / 〈土地など〉をやせさせる;〈人・健康など〉を衰えさせる
impoverishment	貧困化 / 不毛化,衰弱
impracticable	実行不可能な / (人・機械などが)扱いにくい
impractical	実用的でない,実際的でない,良識(分別)のない
impracticality	〈U〉実行不可能,非実用性 / 〈C〉実行不可能なこと,実用的でないこと
imprecate	(人に)〈不幸など〉があるように祈る《+『名』+『on』(『upon』)+『名』》
imprecation	呪(のろ)い(curse);〈U〉呪うこと
impregnability	堅固,難攻不落
impregnable	難攻不落の,堅固な / (誘惑などに)負けない
impregnate	…を妊娠させる,…を受精させる / (…を)…にしみ込ませる,溶かし込む《+『名』+『with』+『名』》 / (思想などを)…に吹き込む《+『名』+『with』+『名』》
impregnation	妊娠,受精 / 浸透
impresario	(オペラ・バレー・音楽会などの)興行主,監督
impress	(…で)…を『感銘させる』,に印象づける《+『名』+『with』+『名』》 / (人,人の心・記憶に)…を『銘記させる』 / (…に)〈印〉をつける,刻み込む《+『名』+『on』+『名』》(印などを)…につける《+『名』+『with』+『名』》 / 押印,刻印 / 影響,こん跡 / 〈水兵など〉を強制徴募する
impressible	=impressionable
impression	〈C〉〈U〉(…に与える)『印象,感銘』《+『on』(『upon』)+『名』》 / 〈C〉〈U〉(人・物についての)『感じ』《+『of』+『名』》 / 〈U〉(漠然とした)感じ,考え / 〈C〉(圧力などでできた)(…の)跡,刻印,印(mark)《+『of』+『名』》 / 〈C〉(…の)まね《+『of』+『名』》 / 〈C〉印刷,刷り;(原版の)…刷
impressionable	影響を受けやすい,心の動きやすい
impressionism	(絵画・音楽における)印象主義
impressionist	印象主義者,印象派の画家(作家) / 印象主義の,印象派の
