incandescent	白熱の,白熱光を出す / 光り輝く,輝かしい
incommensurate	(…と)釣り合いのとれない,不相応な《+『to』+『名』》 / (…とは)比較にならない,同一規準で計れない《+『to』+『名』》
incommode	〈人〉を困らせる,に迷惑をかける;…のじゃまをする
incommodious	せま苦しい / 不便な
incommunicable	伝達できない,話せない
incommunicado	(特に囚人が)他との連絡を断たれた
incommunicative	口の重い,無口の
incomparable	比類のない,無比の
incompatibility	両立しないこと;〈C〉性格の不一致
incompatible	両立しがたい,不調和な,矛盾した
incompatibly	両立しがたく,矛盾して
incompetence	無能,無力;不適当,無答格
incompetent	(人が)無能な,無力な;(物・仕事などが)役に立たない / 無能力者 / (法律上)無資格者
incomplete	不完全な;未完成の
incomprehensible	理解できない,不可解な
incomprehensibly	不可解にも
incomprehension	理解していないこと,無理解
incompressible	圧縮できない,圧搾できない
inconceivable	想像もつかない,考えられない,信じられない
inconclusive	結論に到達しない,決定的でない
incongruity	〈U〉不一致,不調和;不釣り合い / 〈C〉不調和なもの,不釣り合いなこと
incongruous	一致しない,調和しない;不釣り合いな
inconsequent	論理的でない,矛盾した
inconsequential	{形}重要でない, 取るに足りない
inconsiderable	重要でない,取るに足りない,ささいな
inconsiderate	思いやりのない;思慮のない,無分別な
inconsistency	〈U〉不一致,矛盾した事(物)
inconsistent	食い違っている,矛盾する
inconsolable	慰められない;あきらめがつかない
inconspicuous	目立たない,注意を引かない
inconstancy	変わりやすさ;移り気,浮気
inconstant	変わりやすい,気まぐれな / 移り気の
incontestability	(事実などが)議論の余地がないこと,明白なこと
incontestable	議論の余地がない;明らかな
incontestably	疑いなく,明白に
