insatiable	飽くことのない,満足することを知らない
insignia	(官職・階級などを示す)記章,バッジ,勲章
insignificance	無意味;重要でないこと,ささいなこと
insignificant	『無意味な』 / 『重要でない』,ささいな / (大きさ・量が)小さい
insincere	誠意のない,不まじめな,偽善的な(hypocritical)
insincerity	〈U〉不誠実,不まじめ / 〈C〉不誠実な言動
insinuate	…をほのめかす,遠回しに言う / 《『insinuate』+『名』+『into』+『名』》(人の心などに)…を徐々に(巧みに)はいり込ませる(しみ込ませる)
insinuating	うまく取り入る,こびるような
insinuation	〈C〉遠回しな非難 / 皮肉 / 〈U〉(考え・意見などを)巧みに植え付けること / 〈C〉ほのめかし / 含みのある言葉
insipid	(飲食物が)味のない,まずい / (人・話などが)味気ない,無味乾燥な
insipidity	(飲食物の)風味のなさ / (人・話などの)味気なさ
insist	…と『強く要求する』 / …と『主張する』 / 強く要求する《+『on』(『upon』)+『名』(a person['s]do『ing』)》 / (…を)『主張する』《+『on』(『upon』)+『名』》
insistence	(…についての)主張,固執,強要,無理じい《+『on』(『upon』)+『名』(do『ing』)》
insistency	=insistence
insistent	主張する,言い張る,しつこい / (音などが)目立つ,際立つ
insol.	insoluble
insolation	日光にさらすこと,日光浴 / 日射病
insole	靴の敷き皮
insolence	〈U〉横柄,ごう慢 / 〈C〉横柄な言動
insolent	横柄な,ごう慢,無礼な;(…に対して)横柄な《+『to』+『名』》
insoluble	溶解しない / (問題などが)解決のできない,説明のできない
insolvable	解決できない,不可解な
insolvency	支払い不能,破産
insolvent	支払い不能の,破産した
insomnia	不眠[症]
insomniac	不眠症患者・不眠症の
insomuch	…の程度まで, …ほどに (as, that)・ …の故に (as)
insouciance	のんき,むとんじゃく
insouciant	のんきな,むとんじゃくな
insp.	inspected / inspector
inspect	…を『検査する』,念入りに調べる / (公式に)…を視察する
inspection	検査,点検;視察
inspector	視察官,調査官,監査人(役) / 警部
inspectorate	《集合的に》視察検閲官,検査官(inspector) / 視察官(検査官)の職(管轄区域,任期)
inspectorship	=inspectorate2
inspiration	〈U〉『霊感』,インスピレーション / 〈C〉インスピレーション(霊感,激励)を与える人(物,事) / (霊感によって得た)すばらしい考え(行動),天来の妙案 / 〈U〉息を吸いこむこと(inhalation)
inspirational	霊感を与える;霊感を受けた
inspire	〈人〉を『鼓舞する』 / 〈作品など〉を霊感を与えて生み出させる / (人に)〈考え・感情〉を『呼び起こす』《+『名』+『in』+『名』〈人〉》 / (考え・表情を)〈人〉に『呼び起こす』《+『名』+『with』+『名』》 / 空気を吸う(吸い込む)
inspired	霊感を受けた
inspiring	人を鼓舞する
inspirit	…を元気づける,鼓舞する
inst.	instant / institute / institution
instability	不安定,不確定;(心の)不安定,変わりやすさ
install	〈装置など〉を『取り付ける』,設備する / 〈人〉を『就任させる』,の就任式を行う / 《場所を表す副詞[句]を伴って》…を落ち着かせる,席につける
installation	〈U〉(装置などの)取り付け,据え付け / 〈U〉(人の)任命,就任 / 〈C〉(取り付けた)装置,設備 / 〈C〉軍事施設
installment plan	分割払い購入法(《英》hire purchase)
installment,instalment	(月賦などの1回分の)『分割払い込み金』 / (続き物などの)1回分,1部
instalment	=installment
instance	『例』,実例 / 場合 / …を例に引く
instant	『一瞬の間』,瞬間(moment) / 《the,this,thatなどを伴って》(…の)ちょうどその瞬間,まさに(…の)時 / 『即時の』,すぐの,即刻の / 《名詞の前にのみ用いて》『急の』,緊急の(urgent) / 『即席の』,インスタント[料理]の / 《古》今月の
instant replay	(テレビのスポーツ実況中継などで)直前の場面のビデオ再生
instantaneous	即時の,瞬間の
instantaneously	即座に,瞬時に,即刻
instanter	すぐに,ただちに(instantly)
instantly	『ただちに』 / …するやいなや(as soon as, directly)
instate	(地位などに)〈人〉をつける,任命する
instead	『その代りとして』,それよりも
instep	足の甲 / 靴(靴下)の甲
instigate	〈人〉を扇動する / 〈反乱など〉をそそのかして(扇動して)起こさせる
instigation	扇動,そそのかし
instigator	扇動者
instill,instil	(人・心に)〈思想・感情など〉をしみ込ませる,教え込む《+『名』+『into』(『in』)+『名』》 / 〈液体〉を1滴ずつたらす
instinct	『本能』 / 〈C〉(…に対する)(生まれつきの)才能,素質,天分《+『for』+『名』(do『ing』)》 / (…に)満ちた《+『with』+『名』》
