infinitesimal calculus	微積分学
influential	『有力な』,影響を及ばす;勢力のある
influenza	インフルエンザ,流行性感冒
influx	〈U〉〈C〉=inflow / 〈C〉(人・物の)殺到,到来
info	=information
infold	=enfold
inform	〈人〉に『知らせる』 / 《inform+名+with+名》(思想・感情を)〈人・人の心〉に吹き込む / (…の)情報を提供する,(…を)密告する《+『on』(upon, against)+『名』》
informal	『正式でない』,略式の / 打ち解けた,儀式ばらない / 口語体の,会話調の
informality	〈U〉非公式 / 形式ばらない行為
informally	非公式に,略式に / くつろいで
informant	通報者,密告者 / インフォーマント(研究者に自分の母国語の資料を提供する人)
information	《単数形で冠詞をつけずに》(…についての)『情報』,『知識』《『about』(『on, as to』)+『名』(『wh-節・句』)》 / 〈U〉案内;〈C〉案内所,案内係
informative	知識(情報)を与える,有益な
informed	情報に通じた / 知識のある
informer	密告者(= snitch)・情報提供者
infra	(書物・論文で)以下に,下に,あとに
infra dig	威厳を損じる,体面を傷つける
infraction	(法律などの)違反;〈C〉違反行為
infrared	赤外線の
infrastructure	(組織の機能を助ける)下部構造,下部組織 / (NATOなどの)永久[軍事]基地
infrequency	まれなこと
infrequent	まれな,めったにない(rare)
infringe	〈権利〉を侵害する,〈法律〉に違反する / (…を)侵害する,(…に)違反する
infringement	(法律・規約・商標・版などに対する)侵害,違反
infuriate	〈人〉を激怒させる,憤激させる
infuse	(人に)…を少しずつ教え込む,吹き込む《+『名』+『into』+『名』〈人〉》 / (…を)〈人〉に吹き込む,(…で)〈人〉の心を満たす《+『名』〈人〉+『with』+『名』》 / 〈茶・薬草など〉をせんじる,振り出す
infusible	溶解しない,不溶解性の
infusion	〈U〉(…を…に)教え込むこと,(…の)鼓吹,注入《+『of』+『名』+『into』+『名』》 / 〈C〉水(湯)に浸してできたもの;振り出し汁
ingathering	取入れ,収穫 / 集会,会合
ingenious	(人が)器用な,創造性(想像力)がある / (機械などが)精巧に作られた;巧妙な
ingenue,ingénue	純情な少女;純情娘を演ずる女優
ingenuity	発明(くふう)の才能,創意くふう力 / 巧妙さ,精巧さ
ingenuous	すなおな,率直な(candid);(…に対して)率直な《+『with』+『名』》 / 無邪気な,純真な
ingest	〈食物〉を摂取する
ingestion	(食物の)摂取
inglenook	炉辺,炉端
inglorious	不名誉な,恥ずべき
ingoing	はいって来る
ingot	(金属の)鋳塊,鋳棒
ingraft	=engraft
ingrain	{動}〔習慣・信念などを〕深く根付かせる / 染み込ませる / {形}〔性格・習慣などが〕生まれつきの / 根深い / 〈C〉(織物の)先染めの糸で織った布
ingrained	深くしみ込んだ
ingrate	恩知らず[の人]
ingratiate	気に入られるようにする, 迎合する
ingratiate oneself with	…に取り入る, …の機嫌を取る
ingratiating	気に入られようとする,取り入るような
ingratitude	忘恩,恩知らず
ingredient	(混合物の)成分,原料 / 構成要素
ingress	〈U〉入ること,入場;入場の権利 / 〈C〉入り口
ingrowing	内に伸びる,(特に毛髪や足のつめが)肉に食い込む
ingrown	内に伸びた,(特に毛髪や足のつめが)肉に食い込んだ
inguinal	鼠蹊(そけい)部の(足のもものつけ根)
inhabit	…に『住む』,居る
inhabitable	住む(居る)ことができる,住むのに適した
inhabitant	『住人』,居住者,生息するもの
inhabited	人の住んでいる
inhalant	吸入剤
inhalation	吸入;〈C〉吸入剤
inhalator	(薬などの)吸入器
inhale	〈空気など〉を吸い込む / 息(たばこの煙)を吸い込む
inhaler	(薬などの)吸入器 / [人工]呼吸器 / 吸入する人
inharmonious	(音が)不調和の,不協和の / 感情(気持ち)が合わない,しっくりしない
inhere	〈性質などが〉(…に)固有のものとしてある《+『in』+『名』》
inherent	『本来の』,生まれつきの
inherit	(…から)〈財産・権利・称号など〉を『相続する』《+『名』+『from』+『名』》 / (…から)〈体質・性質など〉を『受け継ぐ』《+『名』+『from』+『名』》 / (前任者・前代から)…を受け継ぐ,継承する《+『名』+『from』+『名』》 / 財産を相続する
inheritance	〈U〉『相続』,継承 / 〈C〉『遺産』,相続財産 / 〈C〉(両親・前任者・前代などから)受け継いだもの
inhibit	〈感情・欲望・行動・作用など〉を抑制する / (…しないように)〈人〉を抑制する,妨げる《+『名』+『from』+『名』(do『ing』)》
inhibited	(関心・欲望などが)抑制された
inhibition	禁止; 抑制; (心理学で)抑制; (化学で)(反応の)阻害, 抑制
