index finger	=forefinger
indurate	〈岩・組織など〉を硬くする,硬化する / …を無感覚にする,がんこにする / …を慣れさせる / 硬くなる / 硬化した;無感覚な
industrial	『産業』(『工業』)『の』,産業(工業)による / 高度に発達した産業(工業)を持つ / 産業(工業)用の
industrial arts	工芸(実業学校の1科目)
industrial estate	工業団地(《米》industrial park)
industrial park	工業団地(《英》industrial estate)
industrialism	産業(工業)主義
industrialist	生産業者,実業家,産業資本家
industrialization,industrialisation	産業化,工業化
industrialize,industrialise	…を産業化する,工業化する
industrially	産業上,工業上
industrious	『勤勉な』,骨身を惜しまない
industry	〈U〉(一般に)『産業』 / 〈C〉(特定分野の)事業,実業,生事業 / 〈U〉勤勉
indwell	〈神・霊,力などが〉…に内在する,宿る / (…に)内在する,宿る《+『in』+『名』》
