instinctive	本能的な,天性の
integration	統合,集成,完成 / (学校や住居における)人種差別の撤廃
integrity	完全,無欠 / 高潔,清廉,誠実
integument	(動物の)外皮;(植物)珠皮(しゅひ)
intellect	〈U〉〈C〉『知性』,知力 / 《複数形・単数形で;集合的に》《文》知識人
intellectual	『知的な』,知力のいる / 知性的な,そう明な,理性的な / 知識人,インテリ
intellectualism	知性を働かすこと / 知笛追求への専念;知性主義
intellectualize,intellectualise	…を知的に考える / 知的に考える
intellectually	知的に,理知的に
intelligence	『知能』,知力,理解力;知恵,そう明 / (国家的に重要な)『情報』,知識 / 情報部,謀報機関
intelligence quotient	知能指数(《略》IQ,I.Q.)
intelligence test	知能検査
intelligent	『理解力のある』,そう明な,知能の高い
intelligently	理知的に,そう明に
intelligentsia	知識階級,インテリゲンチャ
intelligibility	よく理解できること,明りょうなこと
intelligible	よく理解できる,分かりやすい,明りょうな(clear);(…に)よく理解できる《+『to』+『名』》
intelligibly	分かりやすく・明りょうに
intemperance	不節制;暴飲[暴食]
intemperate	不節制な,度を過ごした;大酒を飲む / (気候が)厳しい(extreme)
intend	…を『意図する』,のつもりである / (特定の目標に)…を向ける,あてる《+『名』+『for』(『as』)+『名』》 / (…で)…を表そうとする《+『by』+『名』》
intended	意図した,目指した,故意の(intentional) / 未来の,いいなずけの / いいなずけ
intense	(感情・性質などが)『激しい』,強烈な,熱心な
intensely	激しく,熱心に
intensification	強化
intensifier	強意語(very, terriblyのように形容詞・副詞・名詞の意味を強める語)
intensify	…を強める,強烈にする / 強くなる,激しくなる
intension	(精神の)緊張,努力 / 強度,激しさ,猛烈さ
intensity	(感情・行動・熱・色などの)『強烈さ』,熱烈さ,強度
intensive	『集中的な』,徹底的な,強度の,激しい / (語が)強意の,強調の / =intensifier
intensive care	集中医療
intensively	強く,激しく;集中的に
intent	(特に法律用語で)『意図』,目的 / (目・心など)『一心に向けた』,熱心な
intention	『意図』,考え,目的 / 《複数形で》(自分の行動の)心づもり,動機;《話》(…と)結婚する意志《+toward+名》
intentional	故意の;意図的な
intently	熱心に,専心して
inter	〈死体〉を埋葬する
inter.	intermediate / interrogation / interrogative
interact	(…と)相互に作用する,影響し合う《+『with』+『名』》
interaction	(…との)相互作用《+『between』(『with』)+『名』》
interbreed	〈動物・植物〉を異種のものと交配させる
intercalary	間に入りこんだ,間に挿入された / (日・月・年が)うるう(閏)の
intercalate	…を間に入れる,挿入する / 〈うるうの日・月〉を暦に入れる
