intumescence	〈U〉はれあがること / 〈C〉はれもの
involuntary	不本意の,いやいやながら / 無意識の,本能的な / 不随意の
involute	うず巻状の,らせん状の / 入り組んだ,複雑な
involution	巻き(包み)込むこと,巻き込まれた状態 / 複雑なもの,込み入ったもの
involve	(必然的に)…を『伴う』,引き起こす,含む(受動態にできない) / (事件などに)〈人〉を『巻き込む』《+『名』+『in』+『名』》 / 《受動態で》(…に)〈人〉を夢中にさせる《+『in』(『with』)+『名』(do『ing』)》 / …を込み入らす,複雑にする
involved	(思想・議論などが)複雑な,(文章・事態などが)込み入った / 関係がある;(…と)かかわり合いがある,(性的に)関係している《+『with』+『名』》
involvement	(…への)関連,関与,かかわり合い《+『in』+『名』》
invulnerability	傷つけられないこと,不死身 / 破られないこと,論破されないこと
invulnerable	(人が)傷つけられない,不死身の;(物事が)攻撃などにびくともしない
invulnerably	不死身で;攻撃などにびくともせず
inward	『内側へ』,『内部へ』 / 心の中へ,内省的に / 『内側』(『内部』)『の』(にある);内側(内部)への / 心の中の
inwardly	内側(内部)に;内側(内部)へ / 心の中で;内心は
inwardness	霊性,精神性 / 真意
inwards	=inward / 《話》内臓
inwrought	《補語にのみ用いて》 / (模様が)織物に織り込まれた / (織物が)模様を織り込んだ
iodide	ヨウ化物
iodine	ヨード,ヨウ素(非金属元素;化学記号は『I』)
iodize,iodise	…をヨードで処理する,にヨードを加える
ion	イオン
ionic	イオンの;イオンを含む
ionization,ionisation	イオン化,電離
ionize,ionise	…をイオン化する,電離する / イオン化する,電離する
ionosphere	電離層(地上約80‐400kmのイオン圏;無線電波が反射され,遠方との交信を可能にする)
iota	イオタ(ギリシア語アルファベットの第9字Ι,ι;英語のI,iに相当) / 《an~》《否定文で》少し(の…)《+『of』+『名』》
ipecac	トコン(南米産のアカネ科の低木) / 吐根剤(トコンの乾燥根で吐剤,下剤に用いる)
ips,i.p.s.	inches per second
ipso facto	事実それ自体によって,事実上
irascibility	怒りっぽいこと,短気
irascible	怒りっぽい,短気な
irascibly	怒りっぽく
irate	怒った,怒りの
ire	怒り(anger)
ireful	怒った(angry)
irenic	平和的な,協調的な;平和主義の
iridescence	(シャボン玉などの)にじ色,玉虫色
iridescent	にじ色の,玉虫色の
iridium	イリジウム(金属元素;化学記号は『Ir』)
iris	(眼球の)虹彩(こうさい) / アイリス(アヤメ科の植物の総称) / にじ(ギリシア神話のにじの女神イリスから出た)
irk	…をいらいらさせる
irksome	あきあきする,たいくつな(tiresome)
iron	〈U〉『鉄』 / 〈U〉鉄のように堅い(強い,冷たい)こと / 〈C〉鉄製の器具 / 〈C〉[電気]『アイロン』 / 〈C〉アイアン(球を打つ部分が金属のゴルフクラブ) / 〈C〉《複数形で》手かせ,足かせ / 《名詞の前にのみ用いて》『鉄の』,鉄製の / 鉄のように堅い(強い,冷たい) / …にアイロンをかける / 〈人が〉アイロンをかける
