ideologist	観念論者;空想家
illuminate	…を『照らす』,照明する,明るくする / …を『照明で飾る』 / …を明らかにする,解明する / 〈ページ・写本など〉を色模様(飾り字)で飾る
illuminating	(問題点などを)明らかにする,解明する
illumination	〈U〉照明 / 〈U〉照度 / 〈C〉《複数形で》《おもに英》電飾,イルミネーション / 〈C〉《複数形で》(写本などの)彩飾 / 〈U〉解明,啓示
illus.	illustrated / illustration
illusion	『思い込み』,思い違い / 〈C〉(…の)『幻覚』,幻影,幻,錯覚《+『of』+『名』》
illusionism	迷妄(めいもう)説(物質世界は錯覚にすぎないとする哲学論) / (目を惑わすための)だまし絵技法
illusionist	幻想家 / 迷妄論者 / 奇術師,手品師
illusive	錯覚を起こさせる,迷わせる
illusory	=illusive
illust.	illustrated / illustration
illustrate	…を『説明する』,例証する / 〈本・雑誌など〉に図解(挿絵)を入れる
illustration	〈C〉(説明などのための)『例』,実例(example) / 〈U〉(実例・図版・表などによる)(…の)説明,例証《+『of』+『名』》 / 〈C〉『挿絵』,説明図,図版,イラスト
illustrative	実例となる,例証となる
illustrator	挿絵画家,イラストレイター
illustrious	有名な,著名な / (行為・業績などが)輝かしい
image	(鏡に映った)『像』,(レンズによる)映像 / (心に浮かぶ)『像』,心像,イメージ / (絵・彫刻などによる人・動物などの)『像』,肖像;偶像《+『of』+『名』》 / (…に)『そっくりの人』(『物』)《+『of』+『名』》 / (…の)典型;(…の)化身《+『of』+『名』》 / (直喩(ちょくゆ)・隠喩などの)比喩 / …の像を描く;…を思い描く
imagery	《集合的に》像,心像 / (文学における)比喩(ひゆ)的表現
imaginable	想像できる,考えられるかぎりの
imaginary	『想像』[『上』]『の』,架空の,実在しない
imaginary number	虚数
imagination	〈U〉〈C〉『想像』,空想 / 〈U〉《話》想像の産物,空想的な考え,気の迷い / 〈U〉創作力,創意
