impressionistic	印象主義の,印象派の
in-law	姻戚(いんせき)(結婚によってできる親戚)
in-service	勤務中の,現職中の
inability	無力,無能,不能
inaccessible	(場所・人が)近づきにくい,寄りつきにくい;(物が)手に入りにくい《+『to』+『名』》
inaccuracy	〈U〉不正確さ / 〈C〉誤り
inaccurate	不正確な / まちがった
inaction	不活動・怠惰・無活動・無為
inactivate	…を不活発にする / 〈血清など〉を不活性化する
inactive	活動しない,働いていない;活発でない
inadequacy	(…に)不十分,不適当 / (…に)不十分なところ,不適当なところ《+『to』(『for』)+『名』》
inadequate	(物事が)不十分な,不適当な;(人が)能力不足の
inadmissible	許せない,承認できない
inadvertence	不注意,うかつさ / (不注意による)まちがい,手落ち
inadvertent	不注意の,うっかりした
inadvisable	勧められない;賢明できない,当を得ない
inalienable	(権利が)譲渡できない
inamorata	(女の)愛人,恋人
inane	ばかばかしくて無意味な・空虚な; 愚かな; (言葉が)全く無意味な・( the ～) 虚空(こくう), 空間
inanimate	生命のない(lifeless) / 生気のない,退屈な(dull)
inanity	〈U〉ばかばかしさ,無意味 / 〈C〉ばからしい(無意味な)言動
inapplicable	適用(応用)できない,当てはまらない;(…に)当てはまらい《+『to』(『in』)+『名』》
inappreciable	小さすぎて注意を引かない;取るに足りない
inappropriate	不適当な,ふさわしくない
inapt	不適当な,適切でない;(…に)適さない《+『for』+『名』》 / 《補語にのみ用いて》(…が)へたな,不手際な《+『at』(『in』)+『名』》
inaptitude	不適当;へた,不器用,不適性
inarticulate	(発音・言葉が)不明りょうな / (人が)はっきり物を言えない / (意見・気持ちなど)はっきり言い表せない / (動物などが)口がきけない / (動物が)無関節の
inartistic	(人が)芸術を理解できない / (作品が)非芸術的な
inasmuch as	…であるから; 〔古〕 …の限りは
inattention	(…に対する)不注意,怠慢《+『to』+『名』》
inattentive	不注意な;(…に)注意しない《+『to』+『名』》
inaudible	聞き取れない,聞こえない
inaugural	就任の;開会の / (特に大統領の)就任演説
inaugurate	《受動態で》(就任式を行って)(…として)〈人〉を就任させる《+『名』+『as』+『名』》 / …を正式に開始する / (式を行って)〈公共施設〉を正式に開く
inauguration	〈U〉開始,起業 / 〈C〉就任式;開業(落成,発会,結党)式
inauspicious	不吉な;不運な
inboard	船体(機体)内にある / (飛行機・船の)中央寄りにある / 船体(機体)内に,(飛行機・船の)中央寄りに / 船内モーター / 船内モーターつきボート
inborn	生まれつきの,先天的な
inbound	帰りの;本国行きの / (交通機関が)都心などにはいってくる
inbred	生まれつきの(inborn) / 近親交配による
inbreed	〈動物〉を近親交配させる
inbreeding	同種(近親)交配
incalculable	(数・量が)計り知れない / 予想できない;当てにならない
incalculably	数えきれないほど,無数に
incandescence	白熱[光]
