grillroom	グリル(ホテル・クラブなどで肉・魚などをその場で焼いて出すレストラン)
grouch	すねる,ふくれっつらをする / 〈C〉不きげんな人 / 〈U〉不きげん,不満
grouchy	不きげんな,すねた
ground	〈U〉《the~》『地面』,地表 / 〈U〉『土』,土壌;『土地』 / 〈C〉《しばしば複数形で》(特定の目的のための)『場所』 / 《複数形で》(建物の回りの)『庭』,庭園;『構内』,屋敷 / 〈C〉《しばしば複数形で》『根拠』(basis),理由(reason) / 〈U〉(確保すべき)立場,意見;地歩 / 〈U〉(研究などの)分野,範囲;話題,問題 / 〈C〉(図案・塗りなどの)下地 / 〈U〉海底,水底 / 《複数形で》(コーヒーなどの)おり,かす / 〈U〉《米》(電気装置の)アース / …を地上に置く / (…に)〈主義・信念など〉を基づかせる,立脚させる《+名+on+名(doing)》 / 〈人〉に(…の)基礎(初歩)を教え込む《+名+in+名》 / 〈飛行機〉を離陸させない / 〈人〉を飛行勤務をやめさせる,地上勤務にする / 〈船〉を座礁させる / 《米》〈電線など〉を接地する,アースする(《英》earth) / 〈物が〉地面に落ちる(届く) / 〈船が〉座礁する / (野球で)ゴロを打つ / grindの過去・過去分詞 / 粉にした,ひいた / すった,磨いた
ground bait	(魚を寄せる)まき餌
ground bass	基本的低音,固執低音(変化してゆく上声部に対していつまでもくり返される低音)
ground cloth	(キャンプ用などの)防水敷布(《英》groundsheet)
ground crew	(飛行場の)地上整備員
ground floor	(建物の)一階
ground glass	すりガラス / ガラスの粉末
ground pine	ヒカゲノカズラ科のコケの総称(クリスマスの装飾に用いられる)
ground plan	(建築の)平面図 / 基礎的な計画;概要
ground rent	借地料
ground rule	試合場(グランド)に応じた規則 / 基本原則
ground staff	球場(競技場)管理員団・=ground crew・(競技場などの)管理人,整備員 《集合体と考える時には単数,構成要素を考える時には複数扱い》
ground wave	(電波の)地上波
ground wire	接地線,アース
ground-to-air	地対空の
groundball	(野球で)ゴロ[の打球]
groundbreaking	建設起工
groundcover	芝生がわりのツタ(アンニンカなど)
grounder	=ground ball
groundhog	=woodchuck
grounding	(…の)基礎教育,基礎学習,基礎訓練《+in+名》
groundless	根拠のない,理由のない
groundling	匍匐(ほふく)動物(植物)(地上をはう動植物) / 教養のない人・判断力のない人
groundnut	《米》地下の豆状の部分が食物になるマメ科植物の総称;特にpeanut / 《英》=peanut
grounds man	競技場(球場,庭園)管理員
groundsel	ノボロギク(小さな黄色の花をつける野生のキク)
groundsheet	=ground cloth
groundswell	(波の)大きなうねり;(暴風などの)余波
groundwater	地下水
groundwork	土台,基礎工事 / 根本,基本原理
group	(…の)『群れ』,集まり,小集団《+of+名》 / (主義・系統・種類などを同じくする人・物の)『派』,『団体』 / (ポピュラーソング歌手の)グループ / (動・植物分類上の)群;(化学の)基,原子団;(地質学上の)界;(数学の)群;(言語学上の)語派 / …を一群に集める,一団にする《+『名』+『together』》 / (系統的に)…を分類する,調和よく配合する《+『名』+『together』》 / 集まる,群(集団)をなす
group captain	(英国の)空軍大佐(海軍のcaptain,陸軍のcolonelと同等)
group practice	集団医療(各分野の医師たちが協力して行う医療)
group therapy	集団療法(精神患者をグループ討論させ治療効果をあげる方法)
grouper	ハタ科の食用魚
groupie	タレントを追いかけ回す女の子たち / 《英》=group captain
grouping	グループに分けること;分類法 / (集まった物の)配置,配合
grouse	(猟の対象となる)ライチョウ(雷鳥) / ぶつぶつ言う
grout	(石の接合に用いる)うすとろ,セメント糊(のり)
grove	『小さい森』(『林』),木立ち
grovel	ぺこぺこする,卑屈にふるまう / 平伏する,ひれ伏す
groveler,groveller	はう人(物) / 卑屈な人
grow	『成長する』,育つ,〈植物が〉生える,茂る / (類・量・程などにおいて)『増大する』,大きくなる / 『しだいになる』 / …を成長させる,大きくする,育てる / …から生じる(起こる)
grower	〈C〉栽培者,(家畜などの)飼育者,養殖者 / 《a+形容詞+growerで》…植物
growing pains	(子供の)成長期骨痛(神経痛) / 新計画(急激な発展)に伴う困難
growl	〈動物が〉『うなる』,ウーッという / (…に)〈人が〉怒ってうなるように言う《+『at』+『名』》 / ゴロゴロ(ガラガラ)と音を立てる / …をうなって言う《+『out』+『名,』+『名』+『out』》 / うなること,うなり声 / うなり声に似た音
