goatherd	ヤギ飼い
gold plate	《集合的に》金製食器類 / 金めっき
gold rush	ゴールドラッシュ(1849年Californiaに起こったように新しい金鉱を求めて多数の人が押し寄せること)
gold standard	金本位制
gold-digger	金鉱捜し / 男をたらしこんで金や物を巻き上げる女
gold-filled	金張りの
goldbeater	金ぱく師
goldbrick	(仮病をつかうなどして)仕事をサボる / (特に軍隊で)ずる休みをする人
golden	『金の』,金製の / 『金色の』,黄金色の / (金のように)貴重な,すばらしい
golden age	《the ~》(ギリシア神話の)黄金時代 / 〈C〉(文芸・国家などの)最盛期
golden ager	黄金時代の人,ご老体,隠居
golden calf	金の子牛の偶像(旧約聖書「出エジプト記」「列王紀上」) / (崇拝の対象としての)金,富
golden handshake	多額の退職金
golden jubilee	(特に国王・女王即位の)50年祭
golden mean	中庸,中道 / =golden section
golden oriole	コウライウグイス(黒・黄の羽毛を持つヨーロッパ産の鳥)
golden rule	黄金律(キリストの山上の垂訓中の次の言葉を指す.All things whatsoever ye would that men should do to you, do ye even so to them.(何事でも人々からしてほしいと望むことは、人々にもそのとおりにせよ。))
golden section	黄金分割(直線を2分するときの最も美的な比率,ほぼ1対1.681)
golden syrup	濃い糖みつ(パンにつけたり料理に用いる)
golden wedding [anniversary]	金婚式(結婚50周年記念日)
goldenrod	アキノキリンソウ(黄色の小花をつけるキク科を植物)
goldfield	金鉱地,採金地
goldfinch	ゴシキヒワ(欧州産の鳴き鳥)
goldfish	金魚
goldmine	金鉱,金山 / 宝庫
goldsmith	金細工人,金細工商人
golf	『ゴルフ』 / ゴルフをする
golf club	ゴルフの打球棒 / ゴルフクラブ(ゴルフ愛好家で組織する会)
golf course	ゴルフコース
golf links	=golf course
golfer	ゴルフをする人;ゴルフ選手
golly	おや,まあ,やっ
golosh	=galosh
gonad	性腺(せん),生殖腺
gondola	ゴンドラ(Veniceの運河特有の平底船) / (飛行船・気球・ロープウエーの)釣りかご / 《米》無がい貨車
gondolier	ゴンドラの船頭
gone	goの過去分詞 / 過ぎ去った,行ってしまった / 使い果たした(spent) / 死んだ(dead) / 絶望的な
goner	見込みのない人(もの);生けるしかばね,廃人
gonfalon	(横木につるす)流旗,吹き流し
gong	どら;(一般に)皿型の鐘,ゴング
gonna	going toの縮約形
gonococcus	淋(りん)菌
gonorrhea,gonorrhoea	淋(りん)病
goo	(にかわ・あめなどの)べとべとしたもの / べとついた感傷
good	(物事の内容・程度などが)『よい』,りっぱな,上等の,みごとな;十分な / (道徳的に)『善良な』,徳のある,正しい / (子供が)『行儀がよい』,おとなしい / (行動・目的などが)『適している』 / 『親切な』,優しい,好意的な(kind) / 『十分な』,相当な,たっぷりの / 『じょうずな』,熟練した,有能な,鮮やかな / 『楽しい』,愉快な / 真正な,ほんものの;有効の / 腐っていない,新鮮な,口に合う,おいしい / 《話》十分に / (商取引など)信用できる,信頼できる,確実な / 《呼び掛けに添え》りっぱな / (健康・気分が)よい,元気な / 『よいこと』,善,徳 / 『利益』,幸福 / よく(well)
good Samaritan	よきサマリア人(新約聖書「ルカによる福音書」) / (人に)情け深い人;よき隣人
good afternoon	『こんにちは』(午後のあいさつ) / 《古》(上昇調で)さようなら(午後別れるとき)
good day	『こんにちは』(昼間の改まったあいさつ) / 《古》さようなら
good evening	『こんばんは』 / 《古》《多く上昇調で》さようなら,おやすみなさい
good humor, good humour	上機嫌
good looker	器具のよい女性,美人
good looks	美貌(ぼう)(looks)
good luck	幸運 / ごきげんよう;ご成功(幸運)を祈る
good morning	『おはよう』,こんにちは / 《古》さようなら(午前中に別れるとき)
good offices	尽力
good sense	良識,分別
good-for-nothing	なんの役にも立たない,毒にも薬にもならない(useless) / のらくらもの,ろくでなし
good-humored,good-humoured	上機嫌の;あいそのよい
good-looking	(人が)器量のよい,美しい
good-natured	『気立てのよい』,親切な;お人よしの
good-sized	かなり大きい
good-tempered	気立てのよい,優しい
