grampus	ハナゴンドウ(暖かい海にいるイルカ科の動物)
grandstand	(競技場などの)観覧席 / 《集合的に》観覧席の観衆 / (…の)人気取りをする《+『for』+『名』》
grandstand play	人気取りをねらったプレー,スタンドプレー
granduncle	大おじ(親のおじ)
grange	〈C〉農園;《英》豪農の邸宅 / 《the G-》《米》農民共済組合(1867年創設);その地方支部
granite	花こう岩,みかげ石
grannie,granny	おばあちゃん / 老婆
granola	グラノラ(朝食・間食用の乾燥した果実・ナッツ・麦などの混ぜ物)
grant	〈人の願いなど〉を『かなえる』,聞き入れる / 《文》(特に正式に)〈許可など〉を『与える』,〈権利・年金など〉を授与する,授ける / 〈事柄など〉を『認める』 / 〈C〉(…への,…からの)補助金,奨学金《+『to』(『toward,from』)+『名』》 / 〈U〉(…の)授与,交付;(…の)許可,承認《+『of』+『名』》
grant-in-aid	(個人・機関に与えられる)教育補助金,研究助成金
grantee	(法律で,財産・権利の)被譲与者
grants man	補助金(助成金)獲得のうまい人
grantsmanship	補助金獲得術(方法)
granular	(砂糖などが)粒の,粒状の / (紙・革などが)表面がざらざらしている
granulate	〈砂糖など〉を粒[状]にする / 〈紙・革など〉の表面をざらざらにする / 粒[状]になる / 表面がざらざらになる
granulation	粒[状]にすること;粒状,ざらざらした状態; / (ざらざらした表面の)ぶつぶつ,粒点
granule	小粒,微粒
grape	『ぶどう』 / =grapevine
grape sugar	ぶどう糖
grapefruit	グレープフルーツ
grapeshot	ぶどう弾(昔用いた数個の小鉄球からなる大砲の弾丸)
grapevine	(またgrape vine)ぶどうの木(つる) / [秘密]情報網
graph	グラフ,図表
graph paper	方眼紙,グラフ用紙
graphic	(描写が)絵を見るような,生き生きとした(vivid) / グラフで表した,図表を用いた / 文字の;書画(彫刻)の
graphic arts	グラフィックアート(石版・木版・銅版などによる書画・印刷の美術)
graphical	=graphic
graphics	《単数扱い》製図法 / 《複数扱い》=graphic arts
graphite	黒鉛,石墨
graphologist	筆跡鑑定家
graphology	筆跡学,筆跡観相学
grapnel	(また grapple, grappling hook, grappling iron)(複数のかぎや締め具のついた)固定具,引っ掛けかぎ / 四つ爪(つめ)いかり(3本以上の爪のある小いかり)
grapple	(ひっかけカギ(grapnel)で)…を引っ掛ける,ぎゅっとつかむ / (…と)つかみ合う,格闘する《+『with』+『名』》 / (問題などと)取り組む《+『with』+『名』》 / つかみ合い / (難問などの)取り組み / =grapnel
grappling hook	=grapnel
grappling iron	=grapnel
grasp	…を『しっかり握る』,『ぎゅっとつかむ』 / …を『理解する』,把握する / (…を)捕まえ(捕らえ)ようとする《+『at』(『for』)+『名』》 / 《通例a~》(手などでしっかり)『捕まえること』,『つかむこと』 / 『理解』[『力』],知的把握[力]
grasping	欲深い(greedy) / しっかりつかむ,ぎゅっと握る
grass	〈U〉《集合的に》『草』;牧草;イネ科の植物 / 〈U〉『草地』;牧草地,芝生 / 〈U〉《俗》マリファナ(marijuana) / 〈C〉《英俗》密告者 / 〈人が〉仕事を離れて休養する / 〈人〉を休ませる,に暇を出す
grass widow	夫と別居中の妻,離婚女性
grasshopper	バッタ・キリギリス・イナゴの類の総称
grassland	〈U〉牧草地 / 《複数形で》草原地帯
grassroots	一般人,民衆 / 基本的事実
grassy	草でおおわれた,草の多い / 草のような;(特に)色が草に似た,草色の
grate	(窓などの)格子;(暖炉の)火格子 / 暖炉 / …に格子をつける / (おろし金などで)…をおろす / …をきしらせる / きしる,不快な音を出す / (神経などに)触る,不快感を与える《+『on』(『upon』)+『名』》
grateful	《補語にのみ用いて》『感謝している』,恩を感じている / 《名詞の前にのみ用いて》感謝を表す / 楽しい,快い(agreeable)
grater	おろし金(がね)
gratification	〈U〉(…を)喜ばせること,満足させること《+『of』+『名』》;(…する)喜び,満足[感]《+『of』do『ing』》 / 〈C〉(…に)満足(喜び)を与えるもの《+『to』+『名』》
gratify	〈人・欲望など〉を『満足させる』
gratifying	満足な,喜ばしい
grating	(窓・出口など開口部にとりつける)格子;格子戸(窓) / 不愉快な,いらいらさせる / きしる,キーキーいう;耳ざわりな
gratis	無料で,ただで / ただの
gratitude	(…に対する)『感謝』[の気持ち]《+『to』+『名』〈人〉,+『for』+『名』〈事〉》
gratuitous	無料の,ただの / 理由(根拠)のない
gratuity	チップ / 《特に英》(除隊の際受ける)賜金
graupel	雪状のあられ
gravamen	告訴の主要点 / 苦情,不満, 陳情書, 不平
grave	『墓穴』;(一般に)埋葬所,墓 / 《しばしばthe grave》死(death);滅亡 / 『重大な』,容易ならない(serious) / 『まじめな』,厳粛な(solemn) / (心・記憶に)…を刻みつける,銘記する《+『名』+『on(upon, in)』+『名』》
gravedigger	墓掘り人
gravel	砂利 / 〈道など〉に砂利を敷く / 〈人〉を困惑させる,まごつかせる
gravelly	砂利の多い;砂利のような / (音・声が)ギシギシ(キーキー)いう
gravely	厳粛に,重々しく
graven	graverの過去分詞 / 彫られた / 銘記された
