growler	うなる人(動物)
guffaw	(下品な)ゲラゲラ笑い[擬声語] / ゲラゲラ笑う,ばか笑いをする
guidance	『指導』;『案内』;指揮 / (児童・生徒の)指導,ガイダンス / (宇宙船・ミサイルなどの)誘導[装置]
guide	〈人〉を『案内する』 / (…のことで)〈人〉に『助言する』,を指導する,導く《+『名』+『in』+『名』》 / 〈仕事・行動など〉を『監督する』,管理する;…を思い通りに動かす,支配する / 『指導者』,『案内人』,ガイド / 『指標』,道しるべ;規律 / 『旅行案内』[『書』];(…の)『手引き』,入門書《+『to』+『名』》 / 誘導装置,(外科用探針の)導子 / 《英》Girl Guidesの一員
guidebook	案内書,旅行案内
guided missile	誘導兵器,誘導弾
guideline	(未来の行動の)指針,指標《+『of』(『for』)+『名』》
guidepost	道標,道しるべ / (物事の)指針
guideword	=catchword2
guidon	〈C〉(軍隊の)部隊旗 / 小旗(特に騎兵や部隊の位置を示す旗)/ 〈C〉旗手(特に軍の小旗を持つ兵士)
guild	(中世の)ギルド / (一般に)同業組合,組合,協会
guilder	ギルダ(オランダの銀貨および貨幣単位)
guildhall	(中世の)ギルド集会所;同業者集会所・市公会堂,市ホール;《the G-》ロンドン市庁
guile	悪知恵,ずるさ,こうかつ
guileful	ずるい,悪知恵の働く,こうかつな
guileless	正直な,率直な,素朴(そぼく)な
guillemot	北部海域に住むウミバトの類の海鳥
guillotine	ギロチン,断頭台 / (紙などの)裁断機 / 断頭台で…の首を切る / [紙など]を裁断機で切断する
guilt	『有罪』;『罪』;犯罪[行為] / 罪の意識,やましさ
guiltily	罪を犯して;罪ありげに,心やましく
guiltiness	罪のあること,有罪;やましいこと
guiltless	無罪の,潔白な;(…の)罪のない《+『of』+『名』》
guilty	『罪を犯した』 / 『有罪の宣告を受けた』 / やましい,身に覚えのある
guinea	《英》ギニー金貨(昔の英国金貨で21shillingsの価値があった) / ギニー(21shillingsに当たる英国の計算上の貨幣単位;1971年に廃止)
guinea fowl	ホロホロチョウ
guinea hen	ホロホロチョウの雌 / (雌雄を区別せず)ホロホロチョウ
guinea pig	テンジクネズミ(実験材料;marmotとは別の動物)
guipure	ギピュールレース(リンネル・絹製の大柄模様の厚手のレース)
guise	外観,様子 / 見せかけ,うわべ
guitar	『ギター』
gulch	峡谷
gulden	=guilder
gulf	『湾』 / 《詩》深いふち,深淵(えん) / (地位・立場・教養・感情などの)大きな隔たり,越え難い溝
gull	カモメ / 〈人〉をだます,…をだまし取る;〈人〉をだまして(…)させる《+『名』〈人〉+『into』do『ing』》;〈人〉をだまして(…を)取る《+『名』〈人〉+[『out』]『of』+『名』》 / だまされやすい人,まぬけ
gullet	食道 / のど(throat)
gullibility	だまされやすいこと,まぬけぶり
gullible	だまされやすい;ばか正直な
gully	流水でできた小さな谷 / 溝,側溝,下水
gulp	〈飲み物・食べ物〉を急いでごくりと飲む,ぐっと飲む《+『down』+『名,』+『名』+down》 / あおる,ごくりと飲む / (…を)ごくりと飲むこと;ごくりと飲む音(量)《+『of』+『名』》
gum	〈U〉ガム,ゴム(植物から分泌される乳状の液(水に溶け,空気中で凝固する) / 〈U〉ゴムのり / 〈U〉=chewing gum / =gum tree / 〈U〉目やに / …にゴムを塗る;…をゴムのりでつける / ゴムを分泌する;〈樹木が〉やにを出す / 歯ぐき / ちえっ!畜生!)
gum Arabic	アラビアゴム
gum resin	ゴム樹脂
gum tree	ゴムの木(ユーカリなどゴム質を分泌する木)
gumbo	〈U〉ガンボ(オクラを入れたルイジアナ州のシチュー料理) / 〈C〉オクラ(米での俗称) / 〈U〉ぬかるみ / 泥土(特に粘土質の土壌)
gumboil	歯肉膿瘍
gumboots	ゴム長靴
gumdrop	ガムドロップ(ゼリー菓子の一種)
gummy	ゴムの;ゴムのような / ねばねばする
gumption	独創力,くふうに富むこと / 勇気,元気,胆力
gumshoe	ゴム靴;《複数形で》スニーカー / 《俗》刑事,探偵(たんてい)
