galloping	(病気が)急速に悪化する,進行の速い
garland	花輪,花飾り(名誉・勝利の印に頭や首にかける) / 〈人〉に花輪をかける,を花輪で飾る
garlic	ニンニク
garment	(dressやcoatなど)衣服[のうちの一品]
garner	〈穀物など〉を蓄える,貯蔵する;…を集める
garnet	ザクロ石,ガーネット / 暗紅色 / 暗紅色の
garnish	(花・ひだ・美辞麗句などで)〈部屋・衣服・文章など〉を飾る《+『名』+『with』+『名』》 / (添えもの・つまを)〈料理〉に添える《+『名』+『with』+『名』》 / (料理の)つま,添えもの / 飾り・装飾
garnishee	〈金・財産〉を差し押さえる / 〈人〉に債権差し押さえ通告をする
garnishment	〈C〉(第三債務者に対する)債権差し押さえ通告 / 〈U〉飾り,装飾
garniture	装飾[物],飾り;添え飾り,(料理の)つま
garret	屋根裏部屋(attic)
garrison	守備隊,駐とん軍 / (守備隊がいる)要さい,駐とん地 / 〈都市・要さいなど〉に守備隊を置く
garrote,garrotte	(もと死刑具に用いた)鉄環,絞首用ワイヤー / 《the ~》鉄環による絞首刑 / 〈罪人〉を鉄環で絞首刑にする
garrulity	おしゃべり,多弁
