gravestone	墓石,墓碑
green	『緑の,緑色の』,青々とした / (季節が)新緑の;(木々の緑が残って)温暖な / (果物が)うれていない;(酒・チーズなどが)熟成していない / 未経験の / (食物・木材・皮などが)生の;調理して(乾燥して,なめして)ない / 青野菜の;青草の / 活気のある,元気な;若い / (記憶などが)生々しい / 〈U〉『緑色』;緑色の服[地];〈C〉緑色の絵の具 / 〈C〉草地,緑地,芝;(町・村の)芝の生えた共有地 / 〈C〉《複数形で》《米》装飾用の緑葉(緑枝);野菜,青物 / 〈C〉(ゴルフの)グリーン(芝を短く刈ったパット区域)
green bean	サヤインゲン
green corn	青トウモロコシ(実の柔らかい料理用のトウモロコシ)
green fingers	園芸の才能
green light	(計画実施の)許可,公認
green manure	緑肥(緑草を青刈りして田畑にすき込む)
green onion	=scallion
green pepper	ピーマン,ししとうがらし
green power	〈U〉自然エネルギー(風力・太陽光・水力など環境に優しい再生可能エネルギー) / 〈U〉環境に配慮した電力供給
green tea	緑茶
green thumb	園芸の才能(《英》green fingers)
green-eyed	緑色の目をした / しっと深い
greenback	米ドル紙幣
greenbelt, green belt	(都市周辺の)緑地帯
greenery	青葉;緑樹
greenfly	(野菜などにつく)アブラムシ
greengage	(淡緑色の)西洋スモモ
greengrocer	青物商人,やお屋
greenhorn	経験のない,初心者 / だまされやすい人
greenhouse	温室
greening	青りんご
greenish	緑がかった
greenroom	出演者控室,楽屋
greens fee	ゴルフコースの使用料
greensward	緑の芝生(芝地)
greenwood	(春・夏の)緑林,緑の森
greet	〈人など〉に『あいさつする』 / (喜び・親しみ・悪意などをもって)…を迎える《+『名』+『with』+『名』》 / 〈事物が〉〈人,人の目・耳など〉に入ってくる
greeting	〈C〉(会ったときの)『あいさつ』,あいさつの言葉 / 《複数形で》(手紙などの)『あいさつの言葉』;(…から…への)よろしくとのあいさつ《+『from』+『名』+『to』+『名』》
gregarious	(動物が)群居性の;(植物が)群生の / 社交的な,社交好きの
gremlin	グレムリン(第二次大戦中,飛行機のエンジンに故障を起こさせると言われた小悪魔)
grenade	手りゅう弾;擲(てき)弾筒の弾;消火弾
grenadier	擲(てき)弾兵(昔,手りゅう弾を投げる任務をもっていた兵士) / 《Grenadier》《英》近衛(このえ)歩兵第1連隊の兵
grenadine	グレナディン(ザクロのシロップ)
grew	growの過去形
grey	=gray
greyhound	グレイハウント(大型の猟犬の一種;dog raceに使う)
greyish	=grayish
grid	格子(こうし);焼き網 / グリッド(真空管で陽極と陰極との中間に装置する金属の格子) / 高圧送電線網 / (地図などの)碁盤目
griddle	(食物を焼く)鉄板
griddlecake	(鉄板(griddle)を焼いた)ホットケーキ
gridiron	=grill{名}1 / 《米》フットボール競技場
grief	〈U〉(…についての)『深い悲しみ』,悲嘆《+『at』(『for』,『over』,『about』)+『名』》 / 〈C〉(…にとっての)悲しみのもと,嘆きの種《+『to』+『名』〈人〉》
grievance	(…に対する)不平,苦情《+『against』+『名』》
grieve	(…を)『悲しむ』,嘆く《+『at』(『about,for,over』)+『名』(do『ing』)》 / …を『悲しませる』,悲嘆に暮れさせる
grievous	人を悲しませる / 悲嘆(悲痛)に満ちた / ひどい,はなはなだしい
griffin	グリフィン(ギリシア神話でワシの頭と翼をもち,ライオンの胴体をもった怪獣)
grill	(また『gridiron』)(肉・魚などの)焼き網 / 焼き肉,焼き魚 / =grillroom / 〈肉・魚など〉を焼き網で焼く / 〈容疑者など〉を厳しく尋問する / 〈肉などが〉(火で)焼ける;酷熱に身をさらす
grille, grill	(門・とびら・窓などの普通装飾のある金属製の)格子(こうし) / (切符売り場・銀行の出納口など)格子口
