garrulous	おしゃべりの
gee	(牛などに声をかけて)右へ;前へ / 右へ曲がる / …を右へ曲がらせる / ちぇっ,おやまあ,へえー,驚いた[Jesusの短縮形]
gee up	(馬に)急げ,もっと速く
gee-gee	お馬
geese	gooseの複数形
geezer	風変わりな人,(特に年配の)変人
gefilte fish	魚肉だんご(魚肉に卵を混ぜ丸めて蒸すユダヤの過越祭の料理)
gel	ゲル(コロイド溶液の凝固した状態;ゼラチン・寒天など) / =jell
gelatin,gelatine	ゼラチン,にかわ;食用ゼリー
gelatinous	ゼラチンの;ゼラチン状の
geld	〈動物,特に馬〉を去勢する
gelding	去勢された雄馬
gelignite	ゼリグナイト(ニトログリセリン火薬)
