goodby,goodbye,good-by	『さようなら』,ごきげんよう / 『別れのあいさつ』,いとまごい
gorge	谷間,峡谷 / 通路をふさぐ物 / (胃の中の)食物 / 《古》のど,食道 / (…を)〈自分[の腹]〉に詰め込む《+『on』(『with』)+『名』》 / …をがつがつ食べる(飲みこむ) / (…を)がつがつ食べる《+『on』+『名』》
gorgeous	『豪華な』,きらびやかな,華麗な / 《話》とても美しい,魅力的な
gorgon	〈C〉(ぞっとさせるような)醜い女 / 《G-》ゴルゴン(ギリシア神話で,それを見た者を石に変えるという蛇の頭髪をした三姉妹の一人)
gorilla	ゴリラ
gormandize,gormandise	(楽しみとして)大食する
gormless	愚かな,間抜けな
gorse	ハリエニシダ(黄色い花をつける低木)
gory	《文》(戦い・けんかで)流血の,血みどろの / 暴力の,残虐な
gosh	えっ,おや(軽い喜び・驚きを表す)
gosling	ガチョウのひな
gospel	〈U〉『福音』(ふくいん);キリスト教の教義 / 《G-》『福音書』(新約聖書のMatthew,Mark,Luke,Johnの4福音書の一つ) / 〈U〉〈C〉《おどけて》金科玉条;主義,信条 / 〈C〉安心して信じられるもの
gospel truth	絶対に真実であること,絶対的真理
gossamer	(空中を浮遊していたり草などに掛かっている)クモの糸 / 薄い布地 / 薄くて軽い
gossip	(特に他人の私事についての)『うわさ話』 / 〈U〉(新聞などの)ゴシップ,閑話 / 〈C〉うわさ話の好きな人,おしゃべりな人 / (他人の私事などについて…と)『うわさ話をする』,むだ話をする《+『about』+『名』(do『ing』)+『with』+『名』》
gossipy	(人が)ゴシップ好きの / (会話などが)ゴシップに満ちた
got	getの過去・過去分詞
gotta	have(has) got toの縮約形
gotten	getの過去分詞
gouache	〈U〉(ゴム樹液の)水彩絵の具 / 〈U〉グァッシュ画法(アラビアゴムや樹液で溶いた不透明な水彩絵の具で描く画法) / 〈C〉グァッシュ画
gouge	丸のみ / 丸のみで彫った穴 / 《米話》詐欺[師] / …を丸のみで彫る / …をえぐり出す《+『out』+『名』,+『名』+『out』》 / 《米話》…をだます
goulash	グーラシュ(ハンガリー風の濃厚なシチュー)
gourd	ヒョウタン,フクベなどウリ科の植物 / ヒョウタンの実
gourde	グールド(Haitiの貨幣単位)
gourmand	食い道楽の人,美食家
gourmet	食通
gout	〈U〉痛風
gouty	痛風の,痛風にかかった
govern	(権限をもって)〈国・国民〉を『治める』,統治する / 〈学校など〉を管理する,運営する / 〈行動など〉を『左右する』,に影響を及ぼす / 〈感情など〉を抑制する,抑える / 〈文法で〉〈目的語〉を支配する / 『治める』,統治する,支配する / 管理する,運営する
governance	支配(統治)すること / 支配(統治)されている状態
governess	(住み込みの)婦人の家庭教師
governing	統治する,管理する;支配の
government	〈C〉《集合的に》《しばしば『Government』》(国家・都市・その他の政体を支配する)『政府』,行政府,内閣 / 〈U〉『政体』,政治体制 / 〈U〉(…の)『統治』,政治,行政《+『of』+『名』》 / 〈U〉(…の)管理,運営《+『of』+『名』》 / 〈C〉(各種機関の)理事会,執行部
government issue	政府支給の,官給の
governmental	政治の,政府の
governor	(米国の州の)『知事』 / (植民地・属領などの)『総督』 / (協会・銀行などの)総裁,理事;(公共施設・病院などの)長,管理者 / (燃料の供給を加減してエンジンの速度を調節する)調速機 / 《英話》部(課)長,上役(boss);おやじ
governor-general	(植民地などの)総督
governorship	governorの職(地位・任期)
govt.,Govt.	government
gown	『ガウン』(特に夜会・公式の席などで着用する婦人用の長いドレス) / (裁判官・教授などの職業・身分などを表す)正服 / ガウン,室内着(nightgown, dressing gownなの総称)
gp.	group
gr.	gram[s] / grain[s] / gross
grab	…を『ぎゅっとつかむ』,ひったくる・(…を)ひっつかむ《+『at』+『名』》;(…に)さっと手を伸ばす《+『for』+『名』》・不意{ふい}につかむ・取り込む・横取りする・逮捕{たいほ}する・(人の心)をとらえる・,〈人に〉強い印象を与える・を軽く飲み[食い]する・〈…を〉大急ぎで取る[利用する]・ひっつかみ・ひったくり
grabber	ひったくる人
graben	(地質で)地溝
grace	〈U〉(形・動作などの)『優雅さ』,洗練 / 〈U〉〈C〉食前(食後)の短い祈り / 〈U〉(…する)『思いやり』,親切《+『to』do》 / 〈U〉(神の)恩ちょう,恵み / 〈U〉恩恵,恩典;猶予,(特に負債などの)支払い猶予 / 《複数形で》(人の)美点,長所,魅力 / 〈C〉《G-》《Your,His,Herを伴って》閣下,閣下夫人 / 《the Graces》(ギリシア神話の)美の三女神 / …を優雅にする,美しく飾る
graceful	(姿・態度などが)『優雅な』,『上品な』,しとやかな
graceless	品のない,みっともない / 無作法な,粗野な
gracious	(人・行為が)『思いやりのある』,好意に満ちた / (暮らしなどが)優雅な / 《文》(神・国王が)『慈悲深い』,情け深い
grackle	オオムクドリモドキ(北米産の尾の長い鳥)
grad	(大学の)卒業生
gradation	〈C〉〈U〉少しずつ変化すること / 《複数形で》(少しずつ変化していく途中の)段階
grade	《米》(小・中・高校の)『学年』(小学校から12年まで通算する) / 《おもに米》(学業の)『成績』,評点 / (位階・品質・価値などの)『階級』,『等級』 / 《米》(道路・線路などの)傾斜,勾配(こうばい)(《英》gradient) / …を『等級分けする』,の格づけをする / 《米》…の採点をする / 〈道路など〉の勾配(こうばい)をゆるくする / 等級別になる,徐々に変わる,〈色彩などが〉次第に他の色に移る
grade crossing	(鉄道の)平面交差点,水平踏切(level crossing)
grade school	=elementary school
grader	等級をつける人 / 《米》(小・中・高を通しての)…学年生 / =road grader
gradient	(道路・鉄道などの)勾配(こうばい),傾斜度,グラジエント・斜面
gradual	『段階的な』,漸次の,徐々の / (勾配(こうばい)が)ゆるやかな
gradualism	漸進主義
gradually	『だんだんに』,徐々に
graduate	〈C〉大学卒業者 / 学位取得者 / {動}卒業する(from〜)/ {動}(次の段階に)進む / 昇進する(to〜) / {形}大学院の / 大学院生向けの
graduation	〈U〉『卒業』(《英》では大学の卒業に限る) / 〈C〉《米》卒業式 / 〈C〉(計器などの)目盛り,度盛り
graffito	(特に,壁・便所などの)落書き
graft	(つぎ木の)つぎ穂;つぎ木 / (皮膚・内臓・骨などの)移植片 / (木に)〈つぎ穂〉をつぐ,(体に)〈移植片〉を移植する《+『名』+『on』(『upon』,『in』,『into』)+『名』》 / …を結合させる《+『名』+『together』》 / (…に)つぎ木する,移植する《+『on』(『upon』,『in』,『into』)+『名』》 / 収賄,汚職;贈賄;〈C〉汚職で得たもの / 汚職する,収賄する
grafter	つぎ木する人,つぎ木師 / 汚職をする人,(特に)汚職政治家(役人);贈賄者
graham	(ふすまを除かない)全麦の
grain	〈C〉(穀類の)『粒』《+『of』+『名』》 / 〈U〉《集合的に》『穀物』,穀類 / 〈C〉(砂・塩などの)粒《+『of』+『名』》 / 〈C〉《おもに否定文で》『ごく少量』,ほんの少し(の…)《+『of』+『名』》 / 〈C〉グレーン(最小の重量単位で約0.0648グラム;《略》『gr.』,『g.』) / 〈U〉(木・石などの)きめ,はだ,木目(もくめ),石目
grain alcohol	=ethyl alcohol
grainy	粒状の / 木目(石目)ある
gram atom,gramatom	グラム原子(元素の原子量に等しいだけのグラム単位の質量)
gram,gramme	『グラム』(重量の単位;《略》『g.』,『gm.』,『gr.』)
grammar	〈U〉(学問・学科としての,言語が持っている)『文法』;〈C〉文法書 / 〈U〉(文法的に正しい)言葉遣い,語法
grammar school	《英》グラマースクール(16世紀にラテン文法を教えるために創設され,現在はpublic schoolと並ぶ大学進学者のための中等学校) / 《米》公立初等学校(日本の小学校1年から6年まで,または中学校2年までに相当する)
grammarian	文法学者
grammatical	《名詞の前にのみ用いて》文法上の / 文法にかなった
gramme	=gram
gramophone	=record player
