geometric progression	等比数列
ghetto	ユダヤ人街(昔ヨーロッパでユダヤ人が強制的に居住させられた) / 《米》スラム街,貧民街(黒人・プエルトリコ人などの少数民族が居住する)
ghettoize,ghettoise	…をゲットー(ghetto)に隔離する(閉じ込める)
ghost	『幽霊』,亡霊,死者の霊 / (…の)ほんのわずか《+『of』+『名』》 / (…の)幻,面影《+『of』+『名』》 / =ghost writer / (テレビの画面の)ゴースト / =ghostwrite
ghost town	幽霊都市(鉱山の閉鎖などで住民から見捨てられ廃墟となった町)
ghostly	幽霊の,幽霊のような,幽霊の出そうな / 《名詞の前にのみ用いて》《文》霊的な,宗教的な
ghostwrite	〈著作・演説原稿など〉を代作する / 代作する
ghostwriter	(文学作品などの)代作者
ghoul	イスラム諸国の伝説で墓に埋められた死人の肉を食うという悪霊 / (一般に)墓場荒らし / 残虐な行為(ぞっとするようなこと)を楽しむ人
ghoulish	身の毛のよだつ,むかつくような;墓場荒らしの
ghyll	小峡谷(gorge)
gi.	gill / gills
giant	『大男』;(物語・伝説の)『巨人』 / 『大人物』,偉人 / 『巨大な物』 / 巨大な,ものすごく大きい
giant panda	=panda
giantess	大女,女巨人
gibber	訳の分からぬことをぺらぺらと早口にしゃべる[擬声語]
gibberish	訳の分からぬおしゃべり,たわ言
gibbet	〈C〉(昔の)さらし絞首台 / 〈U〉《the ~》さらし絞首刑 / …を絞首刑にしてさらす / …を物笑いの種にする
gibbon	(東インド諸島・東南アジア産の)テナガザル
gibbous	《名詞の前にのみ用いて》(月が)凸(とつ)状の / せむしの(humpbacked)
gibe	(人・行為などを)ばかにする,あざける《+『at』+『名』〈人〉,+『about』+『名』〈行為など〉》 / …をばかにする,あざける / (人・行為への)あざけり,からかい《+『at』+『名』〈人〉,+『about』+『名』〈行為など〉》
giblets	(ガチョウなどのばらばらにした)臓物
giddily	めまいがして,目が回って / 軽薄に,うわついて
giddiness	めまい / 軽率,軽薄
giddy	(人が)めまいがする / (場所などが)めまいを起こさせる / 軽薄な,うわついた
gift	〈C〉(…への)『贈り物』,寄贈品,寄付金《+『to』(『for』)+『名』》 / 〈C〉(…に対する)『生まれつきの才能』,天賦の才《+『for』(『of』)+『名』(do『ing』)》 / 〈U〉《古》与えること,贈与;(権力者などが持つ地位などを)与える権限
gift-wrap	(装飾紙やリボンなどで)〈物〉を贈物用に包装する
gifted	天分のある,才能豊かな
gig	1頭引きの二輪馬車 / (船長用に船に載せてある)快速ボート / 《俗》演奏家の一定期間の仕事 / (軍隊・学校で)小過失,処罰,罰点 / (短期契約の)ジャズ演奏の仕事 / (魚を突き刺す)やす・〈魚・カエルなどを〉やすでとる・やすで魚[カエルなど]をとる
gigantic	『巨大な』,ものすごく大きな(huge)
gigantically	巨大に,非常に大きく
giggle	〈女の子が〉(…に)くすくす笑う,忍び笑いする;くすくす笑って言う《+『at』+『名』》 / …を笑いながら言う / (女の子の)くすくす笑い,忍び笑い
gigolo	(女性客の相手をする)男性のダンサー・《軽べつして》男めかけ・年上の女に養われる男,若いツバメ,ジゴロ・「売春婦のヒモ」は「pimp」です・ジゴロは「女性客相手の売春夫」
gild	…に金ぱくをかぶせる,金めっきをする;…を金色に塗る / (…で)…を美しく飾る《+『名』+『with』+『名』》
gilded	金めっきした,金をかぶせた / 飾り立てた,うわべだけりっぱな
gilder	金めっき師,金ぱく師
gilding	金めっきすること,塗金 / 金めっきの材料,金ぱく,金粉 / うわべだけの飾り,虚飾
gill	《複数形で》(魚の)えら / 《しばしば複数形で》菌褶(しゅう)(キノコのかさの裏面のひだ) / 《しばしば複数形で》《話》〈人の〉うなじ / ジル(液量の単位;1pintの1/4;《米》約1.2l,《英》約0.14l)
gillie,gilly	(スコットランドの)狩猟(釣り)の案内人
gilt	gildの過去・過去分詞 / 金めっきした,金色に塗った(gilded) / 金ぱく,金粉,金泥(きんでい) / 若い雌ブタ
gilt-edged	(紙・本などが)金縁の / (証券・手形など)一流の,優良の
gimbals	ジンバル(羅針盤などを,主柱が傾いても常に水平に保つ装置)
gimcrack	安ぴか物,うわべだけ飾った安物 / 安ぴかの,見かけ倒しの
gimlet	錐(きり),ねじ錐;コルク抜き
gimmick	いんちきの仕掛け,策略 / (手品などの)仕掛け,種 / (特に売り込みのときの)新くふう,うまい手
gimmicky	見てくればかりの,からくりで人目を引く
gimp	〈C〉脚の悪い人;(一般に)身障者
