saltcellar	(食卓用)塩入れ
sand	〈U〉『砂』 / 《複数形で》砂地,砂浜,砂漠 / 《複数形で》時刻,時間 / …を砂(紙やすり)で磨く《+『down』+『名,』+『名』+『down』》 / 〈道路など〉に砂をまく
sand dollar	カシパンウニ(米国の海浜にいる平たいウニの一種)
sand dune	=dune
sand fly	スナバエ(海岸にいる蚊に似たハエ)
sand trap	(ゴルフの)バンカー(砂を入れた障害の一つ)(《英》bunker)
sandal	『サンダル』[『靴』]
sandalwood	ビャクダン(インド地方に産する芳香のある木材で工芸品を作るのに用いる)
sandbag	砂袋,土のう(水害・銃撃のときの防壁用;また凶器にも用いられる) / (防御手段として)…に砂袋(土のう)を積む(置く) / …を砂袋で打ち倒す / 《米話》〈人〉に(…を)強制する《+『名』〈人〉+『into』+『名』(do『ing』)》
sandbar	(河口・湾口の潮によってできた)州,砂州(さす)
sandblast	砂吹き(噴砂機でガラスや金属を切磨すること)
sandbox	砂箱(中に入って遊べる比較的広い砂場)
sandboy	砂売り小僧 砂売り
sandcastle	子供が砂で作るお城
sander	サンダー(紙やすりのついた円盤を回転させて磨きをかける機具)・研磨する人
sandglass	砂時計
sandhog	砂掘り人夫;潜函(せんかん)作業員
sandlot	(一般の人が楽しむ)スポーツ用の砂地 / スポーツの,アマチュアスポーツの
sandman	眠りの精, 睡魔(子供たちを眠くするために,目に砂を入れるというおとぎ話の人物)
sandpaper	サンドペーパー,紙やすり / …を紙やすりで磨く《+『down』+『名』,+『名』+『down』》
sandpiper	イソシギ(細長いくちばしと脚をした海岸の鳥)
sandpit	砂掘り場,砂坑 / 《英》(子供が遊ぶ)砂場
sandshoes	(砂地に適した)ゴム底のズック靴
sandstone	砂岩
sandstorm	(砂漠の)砂あらし
sandwich	『サンドイッチ』 / サンドイッチのようにはさまれた物 / (…の間に)…をはさむ,(時間的に)…を差し込む《+『名』+『between』+『名』》
sandwich board	(体の前後に下げる)サンドイッチマンの広告板
sandwich course	(英国)技術専門学校などのサンドイッチ課程(理論学習と現場学習を3ヶ月ないし6ヶ月交代で繰り返す教育制度)
sandwich man	サンドイッチマン;ちんどん屋
sandy	『砂の』;砂だらけの / 砂色の,薄茶色の(yellowish brown)
sane	(人が)『正気の』,気の確かな / (考え方・判断などが)『思慮(分別)のある』
sanely	正気で,分別をもって
sang	singの過去
sangfroid	冷静,沈着
sangria	サングリア(赤ぶどう酒を薄めて甘味・香料を加えた清涼飲料)
sanguinary	流血の,血なまぐさい / 《英》口ぎたない
sanguine	希望に満ちた,楽観的な,快活な;(…を)楽観する《+『of』+『名』》 / 血色のよい
sanitarian	[公衆]衛生の / 公衆衛生学者
sanitarium	=sanatorium
sanitary	[公衆]『衛生の』,衛生上の / 『衛生的な』,清潔な(clean)
sanitary napkin	(月経時に使用する)生理用ナプキン
sanitary towel	=sanitary napkin
sanitation	[公衆]衛生;衛生設備(特に下水設備)
sanitize,sanitise	(清掃・消毒などで)…を衛生的にする,清潔にする
sanitorium	=sanatorium
sanity	正気,気の確かさ; / (考え方・判断などの)健全さ,穏健さ《+『of』+『名』》
sank	sinkの過去
sans	なしに(で)
sap	〈U〉樹液 / 〈U〉活力,生気,元気 / 〈C〉《話》ばか,まぬけ / 〈体力など〉を除々に弱らせる;…をしだいに壊す
sapience	知恵,博識
sapiens	(古代化石人類と対照して)現生人類の,現人に関する
sapient	賢い,知恵のある
sapless	樹液のない,ひからびた;元気のない,生気のない
sapling	苗木,若木
sapodilla	サボジラ(樹液がチューインガムの原料となる植物) / サボジラの果実
sapper	工兵;《米》敵前工作兵
sapphire	〈C〉〈U〉サファイア,青玉 / 〈U〉サファイア色,るり色 / サファイア色の
sappy	樹液の多い / 《英話》元気のよい / 《米話》ばかな
saprophyte	寄屍(きし)植物(腐敗物に寄生するかび・バクテリア)
