sherry	シェリー酒(南スペイン原産の強い白ぶどう酒)
shock	〈C〉(衝突・爆発などの)『衝撃』,(地震の)震動,電撃 / 〈C〉〈U〉(精神的)『打撃』,ショック / 〈U〉ショック症 / 《しばしば受動態で》〈人〉を『ぎょっとさせる』,ひどく驚かせる / (治療のため)〈人・動物〉に電気ショックを与える / (乾燥させるために立てかけた)穀類の刈り束 / 〈穀類〉を刈り束にする / (髪の毛の)もじゃもじゃの固まり《+『of』+『名』》
shock absorber	(機械・自動車などの)緩衝装置
shock therapy	ショック療法(精神病治療法の一種)
shock troops	突撃専用部隊
shock-headed	頭髪がクシャクシャ(モジャモジャ)の 乱髪の
shocker	ぞっとさせる人(物) / 扇情的な物語(小説,映画など)
shocking	びっくりさせる,ぞっとする / 全くひどい(very bad),不愉快な(offensive)
shockproof	(時計・機械・装置などが)耐衝撃性の
shockwave	衝撃波
shod	shoeの過去・過去分詞 / 靴をはいた
shoddily	安っぽく,見かけ倒しに
shoddiness	安っぽさ,見かけ倒し
shoddy	再生羊毛製の / 粗製の品質の悪い,安っぽい / ごまかしの / 毛織物のくずなどから作る品質の悪い羊毛;その生地
shoe	『靴』;《英》短靴 / 靴形の物;(馬の)てい鉄(horseshoe);(杖・棒の)石突き;(自動車の)タイヤの外包み;(ブレーキの)輪止め;(そりの)すべり金 / …に靴をはかせる;〈馬〉にてい鉄を打つ / …の先端(表面)に金具をつける
shoeblack	=bootblack
shoehorn	靴べら
shoelace	靴ひも
shoemaker	『靴屋』,靴直し
shoeshine	靴磨き[をすること]
shoestring	靴ひも / 細長い物
shoetree	靴型,足型
shone	shine の過去・過去分詞
shoo	シイ!,シッ!(鳥や動物を追い払う声) / 〈鳥や動物〉をシーッと追い払う《+『名』+『away』(『off』),+『away』(『off』)+『名』》 / シイ(シーッ)と言う[擬声語]
shoo-in	勝利が確実な候補者(競争者),本命
shook	shake の過去
shoot	(…に)〈銃・大砲〉を『撃つ』,発射する,〈弓など〉を射る,〈弾丸・矢など〉を放つ《+『名』+『at』(『toward』)+『名』》・〈人・物〉を『撃つ』,射る・(…に)〈質問・言葉・考えなど〉を矢つぎばやに出す,浴びせかける《+『名』+『at』(『on』)+『名』》 / (…に)〈光・視線・微笑など〉を放つ,向ける《+『名』+『at』(『on』)+『名』》・〈手・足など〉を突き出す,〈芽・枝など〉を出す《『out』+『名,』+『名』+『out』》・〈急流など〉を矢のように下る / 〈かんぬきなど〉をすっとはめる(はずす) ・《おもに受動態で》(違ったものを)…に織り込む・差し込む,すっと入れる《+『名』+『with』+『名』》・〈写真・映画・テレビ〉を撮る,撮影する / 〈ボール・アイスホッケーのパック〉をゴールにシュートする・《英》〈動物〉を銃猟する;〈場所〉を銃猟して歩く・『射撃する』;(…を)ねらって撃つ《+『at』+『名』》・〈銃・大砲などが〉発射される・《副詞[句]を伴って》す早く動く,矢のように走る,勢いよく出る・突き出る;芽(枝)を出す《+『out』》・(ボール・アイスホッケーをパックなどをゴールに)シュートする・《英》銃猟をする・《米話》話し始める・新芽,若枝・射撃試合,競射会;《英》遊猟会 / 射撃,発砲,発射;《米》(ロケット・宇宙船の)打ち上げ
shoot from the hip	腰からピストルを抜くなり撃つ、衝動的に行動する、せっかちにしゃべる、とっさの思い付きで言う、よく考えずに言う
shoot the bird	中指だけを立てて相手を侮辱する
