spurn	〈申し出・人など〉をはねつける,相手にしない
squeak	〈ネズミなどが〉チューチュー鳴く;〈赤ん坊などが〉ギャーギャー泣く;〈車輪・ドア・ベッドなどが〉キーキー鳴る,きしる;〈人が〉キーキー声で言う / 《話》(…に)かろうじて成功する(合格する,勝つ)《+『through』(『by』)+『名』》 / 《英俗》密告する / (ネズミなどの)チューチュー鳴く声;(車輪などの)キーキーきしる音 / 《話》《通例narrow,close,tight,nearなどに修飾されて》間一髪,きわどい逃れ;かろうじての成功
squeaky	チューチューいう,キーキー鳴る
squeal	キャーと叫ぶ,キーッという,悲鳴をあげる / 《話》(…を)密告する《+『on』+『名』》 / キーキーいう声,悲鳴 / 《話》密告
squealer	キーッとなるもの,悲鳴をあげる人(動物) / 《話》密告者
squeamish	すぐ物を吐く / (道徳的に)潔癖すぎる
squeegee	ゴムぞうきん(余分の水をぬぐい取る掃除用具) / スクィージー(写真のネガ・プリントから余分の水気を除くゴムローラー) / …にゴムぞうきんをかける;…にゴムローラーをかける
squeeze	…を『絞る』,圧搾する,押しつぶす / (…から)〈果汁・汁・水分など〉を『絞り取る』,絞り出す《+『from』(『out of』)+『名』》 / 〈手など〉を強く握る;〈人など〉をきつく抱く / (…に)…を押し込む,詰め込む《+『名』+『into』(『in, into』)+『名』》;(…を)押し分けて…を進める《+『名』+『through』+『名』》 / (…から)…をむりに取りたてる,搾取する,強制する《+『名』+『from』(『out of』)+『名』》 / (特に手で)圧力を加える,絞る / 絞れる / 《副詞[句]を伴って》(人ごみなどを)押し分けて進む,(狭い場所などを)むりに通る;割り込む / 〈C〉『絞ること』,圧搾 / 〈C〉少量の絞り汁 / 〈C〉『強く握ること』,きつく抱きしめること / 〈U〉《しばしばa~》《話》雑踏,押し合い / 〈U〉《米話》搾取;強要,ゆすり / 〈U〉《しばしばa~》苦境,窮地
squeeze bottle	(プラスチック製の)絞り出し器(びん)
squeeze play	(野球で)スクイズ[プレー]
squeezer	圧搾器,(レモンなどの)絞り器 / 搾取者
squelch	…を押しつぶす / 〈人〉を黙らせる,やりこめる / (泥水の中を靴で歩くように)ガボガボ(ピシャピシャ)音をたてて歩く / ガボガボ(ピシャピシャ)いう音 / 《話》人をやりこめる言葉
squib	小花火,かんしゃく玉 / (特に政党・政治家への)風刺文,あてこすり
squid	ヤリイカ
squidgy	のり状の,どろりとした
squiffy	ほろ酔いの,一杯きげんの
squiggle	くねった線(形),なぐり書き / のたくる
squiggly	よじれた,くねくね曲がった
squint	斜視,やぶにらみ / 《英話》一べつ,一目 / 斜視である(進行形にできない) / (…を,を通して)横目で見る;(まぶしいとき,狙いをつけるときなどに)細目で見る《+『at』(『through』)+『名』》 / 〈目〉を細める
squint-eyed	やぶにらみの,斜視の / 意地の悪い
squinty	斜視の,横目の
squire	(英国の)郷士(ごうし),地方の名士;(特に,その地方一の)大地主 / (昔の)騎士の従者(騎士になるために修業中の貴族出身の少年) / 婦人に付き添う男子 / 《米》治安判事,地方判事 / (商売人が男の客にむかって)だんな / 〈男子が〉〈婦人〉に付き添う
squirearchy,squirarchy	(1832年までの英国の)地主階級 / 地主政治
squirm	体をよじる,もがく / もじもじする,きまり悪がる / もがく(よじる)こと / もじもじすること
squirrel	〈C〉『リス』 / 〈U〉リスの毛皮 / …を貯蔵する《+『away』+『名』,+『名』+『away』》
squirt	〈液体が〉噴出する,しぶきが飛ぶ / 〈液体〉を噴出させる,ほとばしらせる / …にしぶきを飛ばす,かける / 噴出 / 噴射器 / 《話》生意気な若者
squirt gun	(おもちゃの)水鉄砲
squirter	(液体の)噴出器,噴霧器
squish	…を絞る,押しつぶす / (水・ぬかるみの中で)ビチャビチャ音をたてる / ビチャビチャという音
squishy	ぬれて柔らかい,ぐしょぐしょの
st.	stone(重量名) / street
sta.	station / stationary
stab	(刃物・とがったものなどで)…を『刺す』,突き刺す《+『名』+『with』+『名』〈刃物など〉》 / (…に)〈刃物・とがったものなど〉を突き刺す《+『名』〈刃物など〉+『into』+『名』》stab a fork into meatフォークを肉に突き刺す / (…まで)〈人・心など〉を鋭く傷つける《+『名』〈人・心など〉+『to』+『名』》 / (…に)刃物で突きかかる,(…に)突き刺さる《+『at』+『名』》 / 『突き刺すこと』 / 刺し傷 / 刺すような鋭い痛み / 《話》(…に対する)試み,企て《+『at』+『名』(do『ing』)》
stabbing	(痛みが)突き刺すような,鋭い / しんらつな,痛烈な
stabile	スタビル(金属板や木材で作った見る方向によって形が異なる抽象彫刻)
stability	『安定』,確固,不動;安定性 / (人・意志などの)着実,強固,不変
stabilization, stabilisation	安定(強固)にすること,安定,固定
stabilize,stabilise	…を固定させる,安定させる
stabilizer,stabiliser	安定させる人(物) / (船舶・航空機の)安定装置
stable	『安定した』,しっかりした(steady) / (人・意見などが)『着実な』,堅実な,信頼できる / (物理的に)安定な,復元力のある / (化学的に)安定した,簡単に分解しない / 《しばしば複数形で》《単数扱い》『馬小屋』,家畜小屋;(競馬で)厩舎(きゅうしゃ) / 《集合的に》(競馬で,ある厩舎に属する全部の)競走馬 / 《単数形で》《話》(同一の人の管理下にある)一群(の…)《+『of』+『名』》 / 〈馬〉を馬小屋に入れる;〈家畜〉を家畜小屋に入れる
stable boy	馬屋番(馬小屋・家畜小屋の世話をする男)
stabling	馬小屋の収容設備;《集合的に》馬小屋
stably	しっかりと,不変に
staccato	(音楽で)スタッカートの,断音の / スタッカートで,断音的に / スタッカート奏法;スタッカートの楽節(楽句)
stack	『干し草の山』,麦わらなどの山,いなむら / (一般に,物を積み上げた)『山』,(…の)積み重ね《+『of』+『名』》 / (図書館などの)書架,ラック;《複数形で》(特に,図書館などの)書庫 / 煙突 / 《しばしば複数形で》《話》多数,多量(の)《+『of』+『名』》 / 〈干し草・本・皿など〉を積み重ねる《+『up』+『名,』+『名』+『up』》 / (…を)〈ある場所〉に積み上げる《+『名』+『with』+『名』》 / 《米話》(…に対して)〈カード〉を不正な切り方をする《+『名』+『against』+『名』》 / 〈飛行機〉を空港上空で旋回待機させる / 山に積まれる,山になる / 〈飛行機が〉空港上空で旋回待機する
stacked	(女が)胸が大きい,豊満な肢体をしている
stadium	『競技場』,スタジアム,球場
staff	『つえ』,棒,さお;旗ざお / (職能・権威などを示す)つえ,権標・指揮棒 / (…の)支え[となるもの],頼り[となるもの]《+『of』+『名』》 / 《集合的に》『職員』,社員,局員,スタッフ;幹部 / 《集合的に》幕僚 / (音譜などを記す)譜表,五線(stave) / 〈職場など〉に(…の)職員(部員など)を置く《+『名』+『with』+『名』》
staff notation	(音楽で)譜表記法
staff sergeant	(米軍の)特務軍曹(sergeantのすぐ上の階級の下士官)
staffer	職員,部員,局員;(特に新聞の)編集員,記者
stag	雄ジカ / 《米話》(社交的な集まりに)婦人を同伴しない男 / 男性用の,男性のみ出席する,男性向けの / 女性を同伴しないで
stag party	男だけのパーティー
stage	(劇場・ホールなどの)『舞台』・on stage 舞台上で・《無冠詞》・off stage 舞台の陰で 《無冠詞》:ステージ;演壇;《the~》演劇;俳優業,演劇(舞台)の仕事 / (事件・活動などの)『舞台』,場所 / (発達などの)『段階』,時期 / (駅馬車などの止まる)駅,宿場;休憩地;(旅行における休憩地間の)旅程,行程 / =stagecoach / (多段ロケットの)段 / 〈劇〉を『上演する』,〈試合など〉を公開する / (特に劇的に)…を実行する,やってのける
stage direction	舞台指定,ト書き
stage door	(劇場の)楽屋口
