sapsucker	シルスイキツツキ(くちばしで穴をあけ樹液を吸うキツツキ)
saturation	十分にしみ込むこと,飽和させること / しみ込んだ状態,飽和状態 / (色の)飽和度,彩度
saturation point	飽和点
saturnalia	〈C〉《文》お祭り騒ぎ,どんちゃん騒ぎ / 《the S-》《単数・複数扱い》(古代ローマの)農神祭
saturnine	陰気な
satyr	サチュロス(ギリシア神話で半人半獣の酒色を好んだ森の神;ローマ神話のfaunにあたる)
sauce	〈U〉〈C〉『ソース』 / 〈U〉果物の砂糖煮 / 《話》=sass / …をソースで味つけする;…にソースをかける / 《話》=sass
sauceboat	=gravy boat
saucepan	(長い柄のついた)シチューなべ
saucer	(紅茶・コーヒー用の茶わんの)『受け皿』,台皿
saucy	生意気な,ずうずうしい / 《話》気のきいた,いきな
sauerkraut	サワークラウト(千切りにして酸味が出るまで塩漬けにしたキャベツの漬け物)
sauna	(フィンランドの)蒸しぶろ / サウナぶろ(浴場)
saunter	ぶらつく / ぶらぶら歩き,散歩(stroll)
saunterer	ぶらぶら歩く人,散歩する人
saurian	トカゲ類の動物 / トカゲ類の,トカゲ類動物特有の
sausage	『ソーセージ』,腸詰め
sausage roll	ソーセージ入りロールパン
saute,sauté	(強火で)…をさっと揚げる / 軽く揚げた / (軽く揚げた)ソテー料理
savage	(人・動物・行為などが)『残忍な』,どう猛な / 『野蛮な』,未開の / (動物が)野生の,飼い慣らされていない / 『未開人』,野蛮人 / 残酷(残忍)な人 / 無作法な人 / 〈動物が〉…に襲いかかってかみつく
savagely	残酷に;野蛮に
savageness	残忍;野蛮,未開
savagery	〈U〉野蛮(未開)状態 / 〈U〉残忍,凶暴;〈C〉《複数形で》残酷な行為
savanna, savannah	(亜熱帯地方の)大草原,サバンナ
savant	大学者,博学者
save	(危害・損失・危機などから)を『救う』,救援する《+『名』+『from』+『名』》 / 〈金など〉を『残しておく』,蓄える / …を『節約する』,省く / …を『安全』(『無傷』)『に保つ』,保護する / (神が)…を罪から救う / (…のために)貯金する《+『up for』+『名』》 / (…を)節約する《+『on』+『名』》 / (サッカー・ホッケーなどで)敵の得点を妨げること / …を除いて
saveloy	(豪州)乾製ソーセージ サビロイ
saving	《名詞の前にのみ用いて》欠点を補う,埋め合わせとなる / 節約する,倹約する,つましい / 《複数形で》貯金,(特に,銀行への)預金 / 〈U〉〈C〉節約したもの,節約量 / 〈U〉《時にa~》(…の)節約,倹約《+『of』+『名』》 / …を除いて,…以外は
saving grace	(欠点を補う)とりえ,特質
savings account	預金口座 普通預金(口座)
savings bank	貯蓄銀行 貯金箱
savings certificate	定期預金証書
savior,saviour	〈C〉救助者,救済者 / 〈U〉《the(our) S-》救い主キリスト(Christ)
savoir-faire	〈U〉機転のきくこと,手腕 = savoirfaire
savor,savour	《時にa ~》(固有の)味,かおり / おもしろみ,妙味 / 《時にa ~》(…を)におわせるもの,(…の)ほんの少し,気味《+『of』+『名』》 / …の味(かおり)を楽しんで味わう,を賞味する / …を大いに喜ぶ(楽しむ) / 〈食べ物〉に味付けをする / 《savor of+名》(…の)味(かおり)がする,気味がある
savory	セイバリー(シソ科の植物で料理に用いる)
savory,savoury	味のよい,おいしい;かおりのよい / 《英》(料理などが)塩味の,ピリッとした / 《話》(道徳的に)好ましい / 食後(食前)に出る辛口の料理
savour	=savor
savoury	=savory
savoy	チリメンタマナ(キャベツの一変種)
savvy	知る,分かる(understand) / もの分かり,飲み込み
saw	seeの過去 / 『のこぎり』 / …を『のこぎりでひく』(切る) / (…に)〈ある形・模様など〉をのこぎりでひいて作る《+『名』+『in』+『名』》 / (…に)のこぎりを使う《+『at』+『名』》;のこぎりをひくように動かす / 《副詞を伴って》〈木などが〉のこぎりでひける(切れる) / ことわざ(saying)
sawbones	外科医
sawbuck	(X字形の)木びき台 / 《俗》10ドル紙幣
sawdust	おがくず
sawed-off shotgun	銃身の短い散弾銃(《英》sawn-off shotgun)
sawfish	ノコギリエイ
sawhorse	(X字型の)木びき台
sawmill	製材所
sawn	sawの過去分詞
