silvan	=sylvan
single	《名詞の前にのみ用いて》『たった一つ』(『一人』)『の』,単独の;《否定文で》ただ一つ(一人)(もない) / 《名詞の前にのみ用いて》『一人用の』・『独身の』・《名詞の前にのみ用いて》個々の,別々の / 単一の,単式の;(花が)一重咲きの,単弁の / 《英》(切符が)片道の / 〈C〉一人,1個;独身者 / 〈C〉《話》(ホテルの部屋,船室,列車寝台などの)一人用 / 〈C〉(野球で)シングルヒット,単打 / 《複数形で》(テニスなどの)シングルスの試合,単試合 / 《英》片道切符 / 《複数形で》《話》1ドル(ポンド)札 / …を1人(1個)だけ選び出す《+『out』+『名,』+『名』+『out』》 / (野球で)シングルヒットを打つ
single file	一列縦隊
single lens reflex	一眼レフ[カメラ]
single-breasted	(上着・コートなどの)片前の,シングルの,1列ボタンの
single-decker	一階バス
single-handed	独立の,独力の / 独力で,ひとりで
single-minded	一つの目的をもった;ひたむきな,一途な
single-track	(鉄道が)単線の / 視野の狭い,融通のきかない
singleness	単独;独身 / 専念,専心
singlestick	(昔の剣の代わりに木刀を使って行う)棒試合
singlet	(スポーツ用の)袖なしシャツ(チョッキ)
singleton	1枚札(カードゲームで手持ち札の中のある組札が1枚しかないこと)
singletree	=whiffletree
singly	一つ一つ,個々に(one by one) / ひとりで,単独で(alone) / 独力で
singsong	〈U〉単調な調子(リズム),抑揚のない話し方 / 〈C〉単調な詩[歌] / 〈C〉《英》(一般会衆による)即席合唱会 / 単調な,抑揚のない
singular	『非凡な』,目ざましい / 『奇妙な』,変わった / (文法で)『単数の』 / 単数[形]
singularity	〈U〉特異点 / 〈C〉特異性
sinicize,sinicise	中国化する,中国の影響を受ける
sinister	不吉な,縁起の悪い / 悪意のある,邪悪な(evil)
sink	(水平面下に)〈船・太陽などが〉『沈む』・(…に)『下降する』,落ちる《+『into』(『to』)+『名』》・『量』(『勢い』,『程度など』)『が減る』,弱まる,下がる・〈健康・士気・名声・地位などが〉悪化する,衰える,下がる・(…の状態に)次第に落ち込む,陥る《+『in』(『into』)+『名』(do『ing』)》・(…に)深く入る,しみ込む《+『in』(『into』)+『名』》・〈船など〉を『沈める』・…の水平面の高さを下げる,を低くする・(…まで)…の『量(勢い,程度)を減らす』,を弱める《+『名』+『to』+『名』》・〈井戸・穴など〉を掘る・(…に)…を沈み込ませる《+『名』+『in』(『into』)+『名』》・(…に)〈資本・労力など〉を投ずる《+『名』+『in』(『into』)+『名』》 / …を隠す;…を無視する・《話》《しばしば受動態で》…をだめにする,滅ぼす;失う・(バスケットボールで)〈球〉をバスケットに入れる・(ゴルフで)〈球〉をホールに入れる・(台所・洗濯場・洗面所などの)『流し』・《米》洗面器(washbasin, washbowl) ・下水溝,下水だめ
sinkable	沈めることができる
sinker	(釣り糸などの)おもり / (野球で)沈む球,シンカー / 《米俗》ドーナツ(doughnut) / 沈める人(物),沈む人(物)
sinkhole	(流しなどの)排水口;《米》下水だめ / ドリーネ(石灰岩台地などにできたすりばち穴)
sinking	沈没,陥没;くぼ地 / 衰弱,意気消沈
sinking feeling	無気力
sinking fund	減債基金(公債・社債などの償還資金として積み立てる基金)
sinless	罪のない,潔白な
sinner	(宗教・道徳上の)罪人
sinuosity	〈U〉曲がりくねり,湾曲 / 〈C〉(川・道路などの)湾曲部
sinuous	曲がりくねった,カーブの多い
sinus	洞(どう)(骨や組織の中の穴・くぼみなど);静脈洞
