subornation	教唆,買収 / (法廷における)偽証教唆
substantial	『かなりの』,相当の,十分満足できる / 『がんじょうな』,じょうぶな,堅い / 資産のある / (架空でなく)『実在する』,実体のある / 『実質上の』,実質的な
substantially	概して,本質的に / 十分に,豊富に
substantiate	(証拠・証明によって)…を実証する(prove) / を具体化する,実体化する
substantiation	立証,実証;具体化,実体化
substantival	(文法で)実詞の,名詞の
substantive	名詞;名詞相当語句 / 名詞[相当語句]に用いられた / (動詞が)存在を示す / 現実の,実際の / 独立の,自立の
substantive rank	(軍隊における)正式位階(名誉としての称号だけでなく給与の支払われている位階)
substation	変電所;分署,派出所;分局
substitute	(…の)『代りをする人(物)』,補欠(選手など),代用品《+for+名》 / …を(…の)『代りに用いる』《+名+for+名》 / (…の)『代りをする』《+for+名》
substitution	(…の)『代用』,代理,置き換え《+for+名》
substitutional	代理の,代用の
substratum	土台,根底,基礎 / 下層[土],基層
substructure	(建造物の)基礎,土台
subsume	…を包括する,包含する
subteen	10歳代(teenager)に近づいた子供,思春期間近の子供
subtenant	(家・土地などの)また借り人,転借人
subtend	(幾何で)〈弦・三角形の辺が〉〈弧・角〉に対する,向かい合う
subterfuge	〈C〉いい逃れ,口実;ごまかし / 〈U〉策略,諜略
subterranean	地下の(underground) / 隠れた,秘密の
subtitle	(書物などの)副表題 / 《複数形で》(映画の)説明字幕
subtle	(知覚しにくいほど)『かすかな』,ほのかな,微妙な / (頭脳・感覚などが)鋭い / ずるい,こうかつな / 難解な / 巧みな,精巧な
subtlety	〈U〉微妙さ;〈C〉《しばしば複数形で》微細な点,細かい区別 / 〈U〉鋭敏,敏感;明察 / 〈U〉ずるさ,こうかつ / 〈U〉精巧;難解
subtly	微妙に,微細に / 鋭敏に / ずるく / 精巧に
subtopia	(見苦しい)郊外[新興]住宅地
subtotal	小計
subtract	(数字などについて)(…から)…を『引く』,減じる《+名+from+名》 / 引き算をする
subtraction	引き算;控除
subtractive	引き算の;控除の
subtrahend	(数学で)減数
subtropical	亜熱帯の
subtropics	亜熱帯地方
suburb	〈C〉(都市の近くの住宅地区としての)『郊外』,近郊 / 《the suburbs》《集合的に》(中心街に対して都市の)郊外[住宅地]
suburban	郊外の / 郊外じみた,やぼったい,偏狭な
suburbanite	郊外居住者
suburbia	《集合的に》郊外 / 《集合的に》郊外居住者 / 郊外居住者の生活様式
subvention	(政府などからの)補助金,助成金
subversion	転覆,打倒,破壊
subversive	くつがえす,転覆する,破壊する / 破壊活動分子
subvert	〈政府など〉をくつがえす,破壊する / 《まれ》〈忠誠心・信仰・主義など〉を破壊する,堕落させる,腐敗させる
subway	《米》『地下鉄』(《英》underground, tube) / 地下道(underpass)
subzero	(特に)華氏零度以下の,氷点下の
succeed	〈計画などが〉『成功する』,うまくいく / 〈人が〉(…に)『成功する』《+in+名(doing)》 / 〈人が〉(…を)『継承する』,相続する《+to+名》 / 〈物事が〉続く,後に来る / 〈人〉の『後任となる』 / …に『続く』
success	〈U〉成功,好結果,上首尾 / 〈C〉成功した人(物,事),成功者; うまく行くこと
successful	『成功した』,好結果の,上首尾の / 富(地位,名声)を得た,順調な
successfully	首尾よく,うまく,みごとに,成功して
succession	〈C〉(…の)『連続』(series)《+of+名》 / 〈U〉『続くこと』,連続 / 〈U〉(地位・財産などの)『継承[権]』,相続[権]《+to+名》 / 〈U〉(…に対する)継承(相続)順位《+to+名》
successive	『連続する』
successor	(…の)『後任者』,継承者,相続人;(…に)取って代わる者《+to+名》
succinct	(文章などが)簡潔な,簡明な(concise) / 簡潔さを特徴とする
succor, succour	救助,救援 / …を助ける,救援する(help)
succotash	サッコタシ(とうもろこしと豆を混ぜ,時にピーマン,とうがらしを加えた料理)
succour	=succor
succubus	(睡眠中の男性と情交するという)魔女
succulence	汁の多いこと,多液
succulency	=succulence
succulent	(果物などが)汁の多い,多液の(juicy) / (植物の葉・茎などが)多肉多汁の / 多肉(多汁)植物
succumb	(…に)屈服する,屈する,負ける(yield)《+to+名》 / (…で)死ぬ(die)《+to+名》
such	《特定の種類・程度を示して》『こんな』,あんな / 《類似の種類・程度を示して》『そんな』,そのような / 《名詞の前にのみ用いて,強意的に》『とても』(良い,悪い,ひどい) / 《補語にのみ用いて》『そのような』 / そのような人(物,事)
suchlike	《名詞の前にのみ用いて》《話》このような / こんな人(物)
suck	(…から)〈ミルクなど〉を『吸う』,すする《+名+from(out of)+名》 / …の汁を吸う(すする) / (口の中で)…を『しゃぶる』,なめる / (一般に)…を吸い込む,吸い取る《+in(up)+名》 / (…を)吸う《+at+名》 / 乳を吸う / 吸うこと,吸収 ・フェラチオをする・価値がない、最低だ、最悪だ、ひどくいやったらしい、むかつくほどだ、不快だ、不十分だ、低品質{てい ひんしつ}だ   ・ That company sucks. : あの会社は最低だ。 ・ You suck. : あんた最低ね。
sucker	吸う人(物);乳児 / (動物の)吸盤 / サッカー(北米産の歯のない淡水魚) / (植物の木の根から出る)吸枝,吸根 / 《米話》(棒の先につけた)あめ玉(lollipop) / 《話》だまされやすい人
sucking	吸い込む;乳を吸う;乳くさい,未熟な
sucking pig	離乳前のブタの子(特に,丸焼き料理用)
suckle	…に乳を飲ませる,授乳する / 乳を飲む
suckling	乳児,幼獣 / 若くて未熟な / 乳離れしていない
sucrose	蔗糖(しょとう)
suction	(圧力の差によって気体・液体を)吸い込むこと,吸引;吸引力
sudden	『突然の』,だしぬけの / 急いだ,あわただしい;急な
sudden death	一回勝負(同点どうしの決勝戦で,先に得点した方を勝ちとする方式)
suddenly	『突然に』,だしぬけに
suddenness	突然,不意
