Sumatra	スマトラ(マレー群島第2の大島)
sabbatarian	安息日厳守[主義]者 / 安息日厳守の
sabbatical	〈C〉サバティカル休暇(長期有給休暇) / {形}長期休暇の
sabbatical year	安息年(7年目ごとにイスラエル人が耕作を休んだ年)・研究休暇,サバティカル 《研究や旅行のため本来 7 年ごとに大学教授などに与えられる 1 年または半年の有給休暇》
saber saw	携帯用電気のこぎり(刃が往復運動をする)
saber,sabre	〈U〉(騎兵の)軍刀,サーベル(通例片刃で,湾曲している) / 〈C〉フェンシング用剣(両刃である) / 〈U〉サーベル術 / …をサーベルで切る
saber-toothed tiger	剣歯トラ(ネコ科の哺乳動物。8000年くらい前に絶滅。今のライオンと同じくらいの大きさで、上顎の犬歯が牙のように長く発達していた) サーベルタイガー スミロドン
saberrattling,sabrerattling	サーベルをガチャつかせること,武力の誇示 =saber-rattling sabre-rattling
sable	〈C〉クロテン(北ヨーロッパ・アジア産);〈U〉その毛皮 / 〈U〉黒 / 《しばしば複数形で》喪服 / (紋章で)黒色の / 《詩》黒い,暗黒の
sabot	サボ(フランス・オランダなどで農夫などがはいた木靴,または木底靴)
sabotage	(反乱分子や敵側による)破壊(妨害)行為;(争議中の労働者による)生産妨害 / 〈反乱分子・敵側が〉…を破壊する,妨害する;〈労働者が〉…の生産を妨害する
saboteur	破壊(妨害)行為をする人
sabra	イスラエル生まれのイスラエル人
sabre	=saber
sac	小袋,のう(動植物の内部にあり,特に液を含んだもの)
saccharin	サッカリン(砂糖の500倍の甘さでカロリーのない甘味剤)
saccharine	糖分を含む,砂糖の(ような)・(言葉・態度などが)甘ったるい・=saccharin
sacerdotal	聖職者の,司祭の;聖職制の
sachem	(北米インディアンの)首長
sachet	(たんすの服の間に入れる)におい袋,(アクセサリーになる)香料袋 / (洗剤などの1回分がはいった)袋
sack	〈C〉(丈夫な布(革)製の)『大袋』 / 〈C〉《おもに米》(一般に)袋,(特に,購入した食料を入れる)紙袋 / =sackful / 〈C〉(婦人・子供用の)ゆったりして短い上着 / 《the ~》《米俗》ベッド,寝袋 / 〈U〉《the ~》《俗》(…からの)解雇《+『from』+『名』》 / …を袋に入れる / 《話》〈人〉を解雇する / (軍隊が占領後)〈都市など〉を略奪する / (都市などの)略奪 / サック酒(白ぶどう酒の一種)
sack race	袋競走(袋に両足を入れ跳びはねて進む競走)
sackbut	サックバット(中世の吹奏楽器;トロンボーンの前身)
sackcloth	(ズックなどの)袋地 / (昔,服喪または悔悟のしるしとして着た)粗麻服
sackful	(…の)1袋《+『of』+『名』》
sacking	〈U〉解雇 /〈C〉解雇の行為 / 〈U〉(都市の)略奪・破壊 / 〈U〉〈C〉粗布(の)
sacral	聖礼の
sacral vertebrae	仙椎
sacrament	(キリスト教) サクラメント 《神の恩寵(おんちょう)の印として神聖と考えられる宗教的儀式; カトリックでは「秘跡」といい,洗礼 (baptism)・堅信 (confirmation)・聖体 (the Eucharist)・告解 (penance)・終油 (extreme unction)・叙階 (holy orders)・婚姻 (matrimony)の七つをさす; プロテスタントでは「聖礼典」, 聖公会では「聖奠(せいてん)」といい,洗礼と聖餐だけをさす》・[通例 the ～,the S]聖餐(式), 聖晩餐(式)、聖体; (特に)聖餐用パン 《カトリックでは the Blessed [Holy] Sacrament という》
sacramental	秘蹟の;聖礼典の;聖餐の・準秘跡(聖水を用いたり十字を切ったりすること)
sacred	『神聖な』,神の / 『宗教の』,宗教に関する / 厳粛な;神聖にして侵すことができない / 《補語にのみ用いて》(神に)ささげられた,(…を)祭った,記念する《+『to』+『名』》
sacred cow	(ヒンズー教の)聖牛 / 《おもに皮肉に》神聖視されていて批判や攻撃してはいけない人(集団,組織)
sacrifice	〈U〉〈C〉(神に…の)『いけにえをささげること』;〈C〉(神への…の)『いけにえ』《+『of』+『名』+『to』+『名』》 / 〈C〉〈U〉(人・国家・目的などのために…を)『犠牲にすること』《+『of』+『名』+『for』(『to』)+『名』》,(…のための)犠牲的行為;〈C〉(…のために)犠牲にされるもの《+『for』(『to』)+『名』》 / 〈C〉〈U〉投げ売り[値段];見切品 / 〈C〉(野球の)犠牲バント,犠打 / (神に)〈人・動物など〉を『いけにえにする』《+『名』+『to』+『名』》 / (…のために)…を『犠牲にする』《+『名』+『for』(『to』)+『名』》 / 《話》を投げ売りする / (野球で)〈走者〉を犠打で進める / (神に)いけにえをささげる《+『to』+『名』》 / (野球で)犠打を打つ
sacrificial	犠牲の,献身的な / 見切り売りの,投げ売りの
sacrilege	神聖を汚すこと,神聖冒瀆(ぼうとく)
sacrilegious	神聖を汚す
sacristan	(教会・修道院の)聖具室係
sacristy	聖具室
sacrosanct	《しばしば皮肉に》神聖にして侵すべからざる
sacrum	仙骨(腰椎(ようつい)と尾骨の間の骨)
sad	(人が)『悲しい』 / (表情などが)『悲しそうな』;(物事が)『悲しむべき』,残念な / 《名詞の前にのみ用いて》ひどい,みじめな,悲惨な / (色が)くすんだ
sadden	…を悲しませる / 悲しくなる
saddle	〈C〉(馬や他の動物の背にのせる)『くら』 / 〈C〉(くらを置く)動物の背 / 〈C〉(自転車などの)サドル / 〈C〉(二つの峰の間の尾根の)あん部 / 《おもに英》〈U〉〈C〉(羊などの)くら下肉 / 〈馬など〉にくらを置く(つける)《+『up』+『名』,+『名』+『up』》 / (重荷・責任などを)〈人など〉に負わせる《+『名』〈人など〉+『with』+『名』(do『ing』)》 / (人などに)〈重荷・責任など〉を負わせる《+『名』+『on』+『名』〈人など〉》
saddle horse	乗用馬
saddle shoe	サドルシューズ(甲の部分に飾り紐を用いた靴)
saddle soap	革磨き用石けん
saddle stitch	(製本の)鞍(くら)形とじ / 革具を縫うときのかがり縫い
saddlebag	くら袋(くらの後ろの左右にぶら下げる) / (自転車の)サドルバッグ
saddlebow	くら頭(がしら)(弓形に湾曲したくらの前部)
saddler	馬具屋
saddlery	〈U〉馬具製造業 / 〈C〉馬具類[一式] / 〈C〉馬具店
sadhu	(ヒンズー教の)聖者
sadiron	火のし,こて
sadism	サディズム,加虐(かぎゃく)症(異性を虐待して喜ぶ変態性欲)
sadist	サディスト,加虐症の人
sadistic	サディスト的な
sadistically	加虐的に
sadly	『悲しそうに』 / ひどく
sadness	悲嘆(sorrow)
sadomasochism	加虐被虐性変態性欲
safari	(狩猟・探険などアフリカでの)遠征旅行,サファリ
safari park	サファリパーク(動物を完全に放し飼いにした自然動物園)
safe	安全な,危険のない / 《come,arrive,bring,keepなどの補語にのみ用いて》無事な(に) / 危険を引き起こさない,危害を加えない / 安全を心がける,危険をおかさない / 『確かな』,まちがいのない / (野球で)セーフの / 『金庫』 / (食料などを入れる)安全戸棚,貯蔵容器
safe conduct	〈C〉安全通行許可 / 保護通行証 / 〈U〉安全に行動できる状態
