stark-naked	すっ裸の = stark naked
stateside, Stateside	米国[内]の,米国に向けた / 米国内で,米国に(へ)
statesman	(特に有能で公正な)『政治家』
statesmanship	政治的手腕(statecraft)
stateswoman	婦人政治家
static	静止の,固定した / 動きのない,活気のない / 静止電気の / 静止学の / 空電 / (空電による)ラジオの雑音,テレビの電波障害
statics	静力学
station	〈C〉(人・物の定められた)場所,位置,持ち場,部署 / 〈C〉『駅』,発着所,停留所;駅舎 / 〈C〉(官庁などの)『署』,局,本部 / 〈C〉(テレビ・ラジオの)放送局 / 〈C〉事業所,研究所 / 〈C〉(軍隊の)駐留地,軍港,基地 / 〈U〉〈C〉《文》身分,社会的地位 / …を部署につける,配置する
station break	(ラジオ・テレビの)ステーションブレーク(自局名やスポットを入れる,番組の変わり目の短い時間)
station to station	番号通話の(で)(長距離電話で相手方が受話器を取った時点から料金を課す) =station-to-station
station wagon	ステーションワゴン(折りたたみ・取りはずし式座席のついた自動車)(《英》estate car, shooting brake)
stationary	動かない,静止した / 固定された,不変の / 駐留の,常備の / 一定不変の,増減しない
stationer	文房具商
stationery	《集合的に》文房具 / (特に)便せん及び封筒類
stationmaster	駅長
stations of the Cross	十字架の道[行]の留(りゅう)(キリスト受難を表す14の絵に十字架を付けたもの)
statistic	統計値,統計量
statistical	統計の,統計学上の
statistician	統計家,統計学者
statistics	《複数扱い》『統計』,統計資料,統計表 / 《単数扱い》『統計学』
statuary	〈U〉《集合的に》彫像(statues) / 《古》彫刻家 / 〈U〉彫像術,彫塑(ちょうそ) / 彫像の,立像の
statue	『像』,彫像,立像
statuesque	彫像のような,(彫像のように)優美な,均整のとれた
statuette	(テーブルや棚の上に置く)小像,小立像
stature	『背』(せい),身長(height) / (身体の,また道徳的・知的な)発達,成長,進歩
status	〈C〉〈U〉『地位』,身分;資格 / 〈U〉高い地位 / 〈C〉『状態』,事態
status quo	現状
status symbol	優位(身分)の象徴(所持者の社会的・経済的優位を表すもの)
statute	法令,成文法,法規 / (法人団体の)規則
statute book	法令全書
statute law	成文法,制定法
statute mile	法定マイル(5,280フィート=1,609メートル)
statute of limitations	出訴期限法(訴訟の提起ができる期間を定めた法律)
statutory	法定の,法令による
staunch	堅い,じょうぶな / しっかりした,信頼できる / 防水の / =stanch
stave	おけ板,たる板 / (はしごの)段,横木 / 詩句・節,連(stanza, verse) / (音譜を記入する)譜表,五線(staff) / …に穴をあける,を突き破る《+『名』+『in』,+『in』+『名』》 / 穴があく,突き破られる
staves	staff(つえ)の複数形 / staveの複数形
stay	《副詞[句]を伴って》『とどまる』,いる / (訪問者・客として)(…に)『滞在する』,泊まる《+『at』(『in』)+『名』〈場所〉,+『with』+『名』〈人〉》 / 『じっとしている』《stay+名(形,過分)〈補〉》…のままでいる / …を押しとどめる,引き止める / …の間滞在する / 《おもに文》〈食欲など〉を一時的にいやす(満たす) / 〈判決など〉を延期する,猶予する / …を最後までもちこたえる,がんばり通す《+『名』+『out』》 / 〈C〉《単数形で》『滞在』,とう留 / 〈C〉〈U〉停止,休止 / 〈C〉〈U〉(執行などの)猶予,停止 / 〈C〉《文》支柱,支え / 《複数形で》コルセット / 〈物〉を支える;〈人〉を支持する / 支索(マストを固定するロープ) / 〈マスト〉を支索で支える
stay-at-home	自宅(自国)にばかりいる,出無精の / 自宅(自国)にばかりいる人,出無精者
stayer	根気強い人(動物),がん張り屋
staying power	耐久力,持久力
staysail	支索帆(両マスト間の三角帆など)
std.	standard
stead	代わり;役だち,助け
steadfast	『確固とした』,忠実な
steadily	『着実に』,堅実に,たゆまずに
steadiness	着実,堅実;安定;根気
steady	(速度・動作などが)『むらのない』,規則的な / 『ぐらつかない』,しっかりした,安定した / 『変わらない』,定まった / まじめな,着実な / 動揺しない,落ち着いた / …を安定させる,落ち着かせる / 安定する,落ち着く / (婚約までは進んでいないが)決まった異性の交際相手(恋人)
steady state theory	宇宙恒常説(宇宙はたえず膨張しているが新しく物資が作られて平均密度は変わらないという説)
steak	『ステーキ』,(特に)ビフテキ(beefsteak);(料理用の肉・魚の)厚い切り身
steal	(…から)〈物〉を『盗む』《+『名』〈物〉+『from』+『名』》 / (…から)…をこっそり取る,うまく手に入れる《+『名』+『from』+『名』》 / (野球で)〈塁〉を盗む,に盗塁する / 盗みをする / 《方向・場所を表す副詞[句]を伴って》こっそり動く / 〈U〉《米話》こっそりと盗むこと;〈C〉盗品 / 〈C〉《単数形で》《米話》格安品,掘り出し物 / 〈C〉(野球で)盗塁
stealer	盗む者,どろぼう
stealing	〈U〉盗むこと;(野球で)盗塁,スチール / 〈C〉《複数形で》盗品
stealth	こっそり,内密
stealthily	ひそかに,こっそり
stealthy	ひそかな,人目を忍んだ
steam	『蒸気』,湯気,水蒸気 / 蒸気の力 / 《話》力,精,力,元気 / …を蒸気にさらす,蒸す / 『[水]蒸気を出す』,湯気をたてる《+『away』》 / 《副詞[句]を伴って》蒸気で動く / 《話》怒る,いきまく
steam engine	蒸気機関
steam iron	蒸気(スチーム)アイロン
steam power	汽力,蒸気力
steam shovel	(土木用)蒸気シャベル
steam turbine	蒸気タービン
steamboat	(小型)汽船,蒸気船
steamer	『汽船』(steamship) / (料理用)蒸し器,せいろう
steamfitter	スチームパイプ(蒸気管)
steamroller	(道路をならす)蒸気ローラー / 《話》(有無を言わせない)圧倒的な力,強引な圧迫手段 / 〈地面・道路〉を蒸気ローラーでならす / 《話》…を圧倒する
