sweeper	掃除人;掃除機
swinging	揺れる,揺れ動く / 威勢のよい,活発な / (特に性生活が)当世風の,進んでいる
swinish	(豚のように)意地ぎたない,どん欲な
swipe	大振りの打撃,強打 / …を大振りで打つ,強打する / 《話》…を盗む,かっぱらう / (…を)強打する《+at+名》
swirl	うず巻く,旋回する / …にうず巻きを起こす;…を旋回させる / 旋回すること,回転 / (水・ほこりなどの)大量のうず《+of+名》 / うず巻き形;巻き飾り;巻き毛
swish	(衣擦れの・きぬずれの)シュッシュッという音,サラサラいう音;(むちなどの)ヒュッという音;ヒュッと音のする一振り(動き)・強く振られて,〈むちなどが〉ヒュッと鳴る・〈むち・尾など〉をヒュッ(シュッ)と音をたてて振る・しゃれた,スマートな・《米俗》〈男が〉女性的な同性愛者の.
switch	(特にむち打ち用の)『しなやかな小枝』(棒) / (しなやかな小枝・棒などで)むち打つこと / (…における)『変更』《+in+名》;(…から…への)転換《+from+名+to+名》 / (電気の)『スイッチ』,開閉器 / (電話の)交換台 / (鉄道の)転てつ器,ポイント / (女性の髪用の)入れ毛,かもじ / 〈人・動物〉をむちで打つ,むち打つ(whip) / 〈むちなど〉を振る,(むちを打つように)…をさっと振る / (…に)…を『転換する,』変更する《+名+to+名(doing)》 / …を交換する(exchange) / 〈線路のポイント〉を転換する,転てつする / (ある方向・進路に)変わる,転じる,移る《+to(into)+名》 / 交換する,取り替える
switch hitter	(野球で)左右どちらでも打てる打者
switchback	スイッチバック(急勾配をジグザグに上る線路)・ジグザグの山道・ジェットコースター(roller coaster)・(一般に)変換,変更
switchblade	飛び出しナイフ(《米》flick knife)
switchboard	(電話の)交換器,交換台
switched-on	《話》敏感な,油断のない / 《話》流行の最先端を行く / 《俗》(麻薬によって)幻覚状態にある
switchgear	(発電所の)[電流]開閉装置
switchman	(鉄道の)転轍(てんてつ)手(《英》pointsman) ポインツマン ポイントマン
swivel	さる環(かん),回し継ぎ手(片方が自由に動くように二つの部分をつなぎ合わせる取付け具) / 転環,スイベル(結合された二つの部分が互いに自由に動ける複式リンク) / (回転いすの)回転台 / 回る,旋回する / 〈回転椅子など〉を回す,旋回させる
swiz	失望;詐欺,ぺてん
swizzle	スウィズル(ラム酒・ライムジュース・砕き氷・砂糖などを混ぜたカクテル)
swizzle stick	あわ立て棒(ハイボールやカクテルをかき混ぜるのに使う棒)
swob	swab
swollen	swell の過去分詞 / 膨れた,はれあがった;(…で)膨れた《+with+名》 / 《名詞の前にのみ用いて》誇大な,大げさな
swollen head	=swelled head
swoon	気絶,卒倒(faint) / 《文またはおどけて》無我夢中になる / 気絶する,卒倒する
swoop	(獲物を目がけて)〈鳥などが〉さっと舞い降りる,急襲する《+down on(upon)+名》 / …をひったくる,さっとさらう(snatch)《+up+名,+名+up》 / さっと舞い降りる(襲いかかる)こと,不意の襲撃
swop	=swap
sword	『刀』,剣 / 《the ~》武力,兵力
sword dance	つるぎの舞,剣舞
swordfish	メカジキ(刀に似た鋭い上あごをした魚)
swordplay	剣術(fencing)
swordsman	剣士,剣術家
swordsmanship	剣術の腕前;剣術,剣道
swordstick	(刀を隠した)仕込みづえ
swore	swear の過去
sworn	swear の過去分詞 / 誓った,契った / 宣誓による
swot	〈C〉《英話》がり勉家,猛勉強家(《米》grind) / 〈U〉がり勉 / がり勉する / (試験前に)…を詰め込みで勉強する《+up+名,+名+up》
swum	swim の過去分詞
swung	swing の過去・過去分詞
sybarite	ぜいたく(快楽)にふける人,快楽主義者
sybaritic	ぜいたく(快楽)にふける,遊蕩好きの
sycamore	〈C〉《英》カエデの一種;《米》アメリカスズカケノキ;(中近東産の)イチジクの一種 / 〈U〉その木材(固く良質)
sycophant	おべっかをいう人,へつらう人
sycophantic	おべっか使いの,ごますりの
