safe-deposit	(銀行の)貸し金庫 = safe-deposit box・安全に保管する
salable, saleable	売ることができる,売るのに適した
salacious	(人が)好色の;(本・絵・言葉などが)わいせつな
salacity	好色,わいせつ
salad	〈U〉〈C〉『サラダ』 / 〈U〉(レタスなどの)サラダ菜
salad days	(経験の浅い)青くさい時代,青二才のころ
salamander	サンショウウオ / 火トカゲ(火中に住むといわれる伝説の動物)
salami	サラミソーセージ(ニンニク入りのイタリアふうソーセージ)
salaried	(定期的に)給料を受ける / (地位などが)有給の
salary	『給料』・俸給(を与える、払う)
sale	〈U〉〈C〉(…の)『販売』,売却,売れ行き,需要《+『of』(『for』)+『名』》 / 〈C〉『特売』,安売り / 《複数形で》販売[の仕事];売り上げ[高]
sale of work	手作り品を売る慈善バザー
saleable	=salable
saleroom	=salesroom
sales resistance	(巧妙なセールスマンに対する)売り込みお断り,購買拒否
sales slip	売上伝票
sales talk	売り込み[口上] / 説得力のある議論
sales tax	物品税,売上税
salesclerk	店員,売り子(《英》shop assistant)
salesgirl	女店員
saleslady	女店員
salesman	(通例腕ききの)『男子店員』,販売係 / セールスマン,男子外交販売員
salesmanship	販売の手腕;外交的手腕
salesperson	販売員
salesroom	売り場 / 競売室
saleswoman	(通例腕ききの)女子店員 / セールスウーマン,婦人外交販売員
salicylic acid	サリチル酸
salient	目立った,顕著な(prominent) / 《文》突き出した(projecting) / 凸角;(戦線・要塞などの)突出部
saliferous	塩を含んだ,塩分のある
salify	…を塩化する,塩と化合させる
saline	塩の,塩分のある / (薬用の)塩類,含塩物;〈C〉含塩下剤
salinity	塩分,塩度
salinometer	塩分計,検塩器
saliva	だ液,つば
salivary	だ液の;だ液を分泌する
salivate	だ液を分泌する
salivation	つばを出すこと;だ液分泌過多,流涎(りゅうぜん)
sallow	(顔色などが)土色の,血色の悪い / 〈顔色など〉を土色にする,黄ばんだ色にする / ヤナギ属の植物;(特に)サルヤナギ
sally	(城兵などの)出撃,突撃 / (感情・言動などの)爆発,突発,ほとばしり《+『of』+『名』》 / 《話》ちょっと旅に出ること / (悪意のない)軽い冗談(皮肉) / 出撃する;出かける《+『forth』(『out』)》
salmon	〈C〉(魚の)『サケ』;〈U〉サケの肉 / 〈U〉サケの肉の色,サーモンピンク(黄色がかったピンク色)
salmon trout	(大型の)鱒(マス)
salmonella	サルモネラ菌(食中毒の原因になる)
salon	(上流家庭の)客間,大広間 / (昔のフランスで,上流貴婦人の開いた)招待会;社交界 / 美術品展示場(室),画廊 / 《米》(美容・服飾などの)店
saloon	(客船やホテルなどで)『大広間』 / (特殊な目的で人が出入りする)…場,…所 / 《米》酒場,バー / 《英》=saloon car
saloon bar	(居酒屋の)特別室;高級酒場
saloon car	(またsaloon carriage)(列車の)特別車 / =sedan
salsify	バラモンジン(紫色の花をつける;根は食用)
salt	〈U〉『塩』,食塩 / 〈U〉(化学で)塩(えん) / 《複数形で》薬用塩類(Epsom salt[s],smelling salts) / 〈U〉生気(刺激,興趣)を与えるもの / 〈C〉《話》(特に老練な)水夫 / 塩の,塩を含んでいる;塩気のある,塩辛い / 塩漬けにした / (土地が)塩につかった / 塩水でできた,塩水の中で育つ / 〈食べ物〉を塩で味をつける;〈肉・魚など〉を塩漬けにして保存する《+『名』+『down』,+『down』+『名』》 / 《受動態で》(…で)〈言葉・話など〉をぴりっとさせる,に味をつける《+『名』+『with』+『名』》
salt of the earth	地の塩(社会で最も善良で高潔な人[々];新約聖書「マタイによる福音書」の中の文句)
saltbox	木造建築の一様式;正面が2階で裏面は屋根が傾斜して1階になっている
