scepticism	=skepticism
schoolmarm	(特にいなかの小さな学校の)女教師 / もったいぶった女
schoolmaster	男教師 / 男の校長
schoolmastering	教職
schoolmate	学友,同窓生
schoolmistress	女教師 / 女校長
schoolroom	教室
schoolteacher	(小・中学校・高校の)先生,学校教師
schoolwork	学業,学校の勉強(授業および宿題)
schoolyard	(学校の)運動場,校庭
schooner	スクーナー(2本以上のマストの帆船) / ビール用大型コップ
schuss	(スキーの)直滑降 / 直滑降する
schussboomer	猛スピードで直滑降するスキーヤー
schwa	あいまい母音,シュワー(əで示される弱母音) / あいまい母音の発音記号
sci.	science / scientific
sciatic	座骨の / 座骨神経[痛]の
sciatica	座骨神経痛
science	〈U〉『科学』;(特に)自然科学 / 〈C〉(個々の)学問 / 〈U〉(修練を要する)技術
science fiction	空想科学小説(《略》『SF,sf』)
scientific	(比較変化なし)『科学の』(に関する),学術的な / (科学のように)体系的な,正確な
scientifically	科学的に,学術的に
scientist	『科学者』,自然科学者
scientology	サイエントロジー(精神衛生に関する総合科学に基づいた宗教運動)
scifi	空想科学小説の(に関する) / =science fiction
scil.	scilicet
scilicet	すなわち,換言すれば
scimitar,scimiter	(アラビア人などが使った)三日月形の刀
scintilla	微量(の…);(…の)気味《+『of』+『名』》
scintillate	火花を発する,きらめく,光る / 〈物事が〉(才気などで)光る《+『with』+『名』》
scintillation	火花,きらめき / 才気のひらめき
scion	(またcion)(つぎ木の)若枝,つぎ穂(shoot) / 子孫
scissor	…をはさみで切る,切り取る《+『off』(『out, up』)+『名』,+『名』+『off』+(『out, up』)》
scissors	『はさみ』
scissors kick	(水泳の)あおり足
sclera	鞏膜(きょうまく)(角膜とともに眼球をおおっている堅くて白い膜)
sclerosis	(組織・血管などの)硬化,硬化症
sclerotic	(組織・血管などが)硬化した,硬化症の
scoff	(…を)あざける,嘲笑(ちょうしょう)する《+『at』+『名』》 / (…に対する)嘲笑,あざけり;《単数形で》軽べつ(物笑い)の的(まと)《+『at』+『名』》 / …をがつがつ食べる / 〈C〉がつがつ食べること / 〈U〉食べ物
scoffer	嘲笑する人
scoffingly	あざけって,冷笑して
scofflaw	法律をばかにする人,違反常習者
scold	〈人〉を『しかる』,に小言を言う / しかる;(…に向かって)ののしる《+『at』+『名』(do『ing』)》 / 口やかましい人;がみがみ女
scolder	しかる人
scolding	小言,しかること / 口やかましい,がみがみいう
scollop	=scallop
sconce	(壁などの)突き出し燭台(しょくだい)
scone	(丸い)小型パン,菓子パン(《米》biscuit)
scoop	(小麦粉・砂糖・アイスクリームなどをすくう)ひしゃく,しゃくし,大さじ;(石炭などすくう)シャベル / (…を)1回すくう量(動作)《+『of』+『名』》 / 《話》(新聞の)特種(とくだね),スクープ / (…がら)…をくむ,すくう《+『out』+(『up』)+『名』+『from』(『out of』)+『名』》 / 〈穴など〉を掘る,えぐる《+『out』+『名,』+『名』+『out』》 / 《話》〈他社〉を特種で出し抜く
scoopful	(…の)一すくい分《+『of』+『名』》
scoot	急いで行く,走り去る / スクーターで進む
scooter	スクーター(足板に片足を載せて走る前後2輪の子供用のハンドル付き車) / モータースクーター(=motor scooter)
scope	(物事の及ぶ)『範囲』 / (人の理解・行動する)『能力の限界』,視野 / (表現・発達・活動する)機会,余地《+『for』+『名』》
scopolamine	スコポラミン(麻酔・催眠剤になる)
scorbutic	壊血病,壊血病にかかった
