speciality	=specialty
spice	〈C〉(こしょうなど,個々の)『薬味』;〈U〉《集合的に》『香辛料』,スパイス / 〈U〉ぴりっとするもの,妙味 / 《a ~》(…)気味,(…)らしいところ《+『of』+『名』》 / 〈料理など〉に薬味を加える(薬味で)〈料理〉を調味する《+『名』+『with』+『名』》 / (…で)〈話など〉に趣を添える,おもしろ味を加える《+『名』+『with』+『名』》
spicily	香ばしく / 痛快に
spiciness	香ばしさ / 痛快さ
spick-and-span	真新しい;こぎれいな,こざっぱりした
spicule	針状のもの / (海綿などの)針骨,針片,(植物の)小穂(すい)状花 交接針
spicy	(料理などが)薬味のきいた,風味のある:spicy food・(批評など)ぴりっとした;(言葉など)きわどい
spider	クモ / 《米》フライパン
spidery	クモのような;クモの巣
spiel	(説得のための)多彩なおしゃべり,口先だけの話,客寄せ口上
spiffy	こぎれいな・気のきいた;いきな
spigot	《米》飲み口,蛇口 / (たるなどの)せん
spike	大くぎ;(鉄道用)いぬくぎ / (へいの忍び返しなどの)先のとがった突起 / スパイク(野球・陸上競技用の靴底の金具) / (…に)…を大くぎで打ちつける《+『名』+『to』+『名』》 / …に大くぎ(スパイク)を打ちつける / 〈人〉をスパイクシューズで傷つける;スパイクする / (麦などの)穂 / (オオバコなどの)穂(すい)状花序
spike heel	スパイクヒール(婦人靴の高くてとがったかかと)
spikenard	〈C〉カンショウ(甘松)(根から香料をとる芳香のある植物);〈U〉(その根からとった)甘松香 / 〈C〉(北米産の)ウド
spiky	くぎの先端があちこちに出ている;くぎだらけの / くぎのようにとがった / 《話》がんこな
spill	(特に,うっかりして)〈液体・粉など〉を『こぼす』 / 《しばしば受動態で》《おもに文》(人を傷つけて)〈血〉を流す / 〈馬・車などが〉〈人など〉をほうり出す,振り落す / 《話》〈秘密など〉をもらす;(…に)…をもらす《+『名』+『to』+『名』》 / 〈液体・粉などが〉『こぼれる』,流れ出る / こぼれること,こぼすこと / こぼれたもの / 落ちること;落馬 / (点火用の)付け木,こより
spillover	あふれたもの(量);流出
spillway	(ダムなどの)水はけ口,余水路
