syll.	syllable / syllabus
symphonic	交響楽の,交響楽団の
symphonic poem	=tone poem
symphony	『交響楽』,シンフォニー / =symphony orchestra
symphony orchestra	交響楽団
symposium	シンポジウム(ある特定の問題について何人かがいろいろな角度から意見を述べあう討論会) / (ある問題に関する諸家の)評論(論文)集
symptom	(病気の)徴候,症状《+of+名》 / (一般)に(…の)徴候,きざし,印《+of+名》
symptomatic	徴候となる;(…の)前兆となる,(…を)示す《+of+名》
syn.	synonym / synonymous / synonymy
synagogal	ユダヤ教会堂の;ユダヤ教徒の集会に関する
synagogue	ユダヤ教の礼拝堂 / 《the ~》ユダヤ教徒の集会
synapse	シナプス(神経細胞の連接部)
sync, synch	=synchronization
synchromesh	(自動車の)同期かみ合い変速機[を使うこと]
synchronization, synchronisation	同時であること,同時に起こること,時間を合わせること;同時性 / 同調(映画やテレビの画面と音声の一致);同時録音
synchronize, synchronise	(…と)同時に起こる,同時に動く《+『with』+『名』》 / …を同時に動かす / 〈音声〉を映像と同調させる;〈映画〉を音声と同調させる / 〈時計など〉の時間を合わせる
synchronized swimming	(音楽に合わせて泳ぐ)水中バレエ,シンクロナイズドスイミング
synchronous	同時に起こる / 調子を合わせて動く(進行する)
synchrotron	シンクロトロン(電子加速装置)
syncopate	(音楽で)…に切分音をおく / 〈語中の音〉を消失させて音節を減らす(例えば overをo'erとするなど)
syncopation	(音楽の)切分音,シンコペーション(普通は弱い拍子にアクセントをつけてリズムを変えること) / (文法で)語の中略
syncope	語中音消失(never→ne'erのように語中の音が消えて短縮されること) / (脳貧血などによる)失神,気絶 / (音楽で)切分,区分法
synd.	syndicate / syndicated
syndic	(法人・大学などの)理事,評議員 / 地方行政長官 / ケンブリッジ大学の特別評議員
syndicalism	サンディカリズム(労働組合が生産と分配の手段を握るべきだとする理論)
syndicalist	サンディカリズム主義者 / サンディカリズム主義の
syndicate	企業合同,シンジケート / 通信社(多くの新聞・雑誌に同時発表の記事・写真などを供給する事業) / 〈店・企業など〉を合同組織にする / (通信社を通して)〈記事・写真など〉を売る,供給する / 企業(店)を合同組織する
syndication	企業合同を組織すること
syndrome	(疾患の徴候となる一群の)症徴候,症候群 / (事件・社会的状態などのパターンを示す)徴候形態
synergism	神人協力説(回心には人間の意思と聖霊が協力し合うとする説) / (薬物などの)共力作用,相乗作用
synergistic	神人協力説の / 共働の,相乗作用の
synod	教会会議
synodical	教会会議の = synodic 会議の 相合の
synonym	(…の)同義語,類語(smallとlittle, storeのshopなど)《+of(for)+名》
synonymous	同義の,類語の;(…と)同義の《+with+名》
synonymy	〈U〉同義[性] / 〈U〉同義語(類語)研究 / 〈C〉同義語集,類語表 / 〈U〉(強調のため)同意語を重ねて用いること
synopsis	(特に映画・劇・本などの)概要,粗筋
synoptic	概要の,粗筋の / 《しばしばS-》共観の,共観福音書の
syntactic, syntactical	文章構成[法]の,統語論の
syntax	文章論,統語論,文章構成法,シンタックス(文中における語の配列を扱う文法の一部門)
syntheses	synthesisの複数形
synthesis	〈U〉総合,統合[すること] / 〈C〉総合体,統合されたもの / 〈U〉合成
synthesize, synthesise	(総合して)〈総合体〉をつくる / 〈部分〉を総合する,統合する / 〈人造物〉を合成する
synthesizer, synthesiser	総合(統合,合成)する人(物) / 音を合成する楽器(装置)
synthetic	総合の,統合的な / 合成の,人造の / にせの,作りごとの / (言語が)総合的な(統語的関係を表すのに,独立した語より屈折形を広く用いるもの) / 合成品,人造物
synthetically	総合して,総合的に;合成的に
syphilis	梅毒
syphilitic	梅毒[性]の,梅毒に感染した / 梅毒患者
syphon	=siphon
syringe	注射器 / 洗浄器,かん腸器,スポイト / 〈液〉を注射する;(洗浄器で)〈傷など〉を洗浄する
syrinx	牧羊神パンの笛 / 鳴管(鳥の発声器官)
syrup	シロップ(砂糖や果汁を煮詰めて作る甘い汁) / (薬用の)シロップ剤
syrupy	シロップの;シロップのような / (音楽などが)甘ったるい
syst.	system
system	〈C〉(関連した部分から成る)『体系』,系統,組織[網],装置 / 〈C〉(教育・政治などの)『制度』,機構;《the~》体制 / 〈C〉(思想・学問などの)『体系』,学説 / 〈C〉(…の)『方法』,方式,やり方《+of doing》 / 〈U〉正しい方針(筋道,順序) / 〈U〉《the~》(身体の)組織,系統 / 〈U〉《the~,one's~》身体,全身
systematic, systematical	『系統だった』,組織的な;計画的な,故意の / 規則正しい,きちょうめんな
systematically	系統的に,体系的に,組織的に
systematization, systematisation	組織化,体系化,系統化
systematize, systematise	…を組織化する,体系化する,系統づける
systemic	(身体・言語のように)体系の,組織の / 全身の,全身的
systems analysis	システム分析(能率や正確度を高める科学的・数学的分析)
systems analyst	システム分析者
systems engineering	システム工学
systole	心臓収縮
séance,seance	心霊術の会
