showiness	はで,けばけばしさ
shuffle	〈足〉を引きずる,引きずって歩く / 〈カード〉を混ぜて切る;〈物〉を混ぜる / 《副詞[句]を伴って》〈物〉をあちこちに動かす / 《方向を表す副詞[句]を伴って》足を引きずる,足を引きずって歩く / カードを切る / (…を)無器用に(ぞんざいに,あわてて)する《+『through』+『名』》 / 言い逃れをする,あいまいな態度をとる / 足を引きずること;(ダンスの)すり足 / 〈C〉(カードなどを)切ること;切る権利(順番) / (大臣などの)更迭(こうてつ)
shuffleboard	円盤突き(棒で円盤を突いて得点を競う)
shuffler	足を引きずって歩く人 / (配る前に)カードを切る人
shufty	一べつ,一見
shun	…を『避ける』(avoid)
shunpike	有料(高速)道路を避けて裏道を運転する
shunt	〈人・物〉をわきにどかす;〈話題など〉を他へそらす / (別の軌道に)〈車両〉を入れ換える / 〈電流〉をわきへそらす;〈分路〉を置く / わきへそれる / 〈車両が〉分岐線に移行する / 〈U〉わきへそれること / 〈C〉転てつ器;(電気の)分路
shunter	転轍手(器) 入れ替え用機関車
shush	(沈黙を命じて)シッ(hush)・…にシッと言って黙らせる
shut	(…に対して)〈ドア・窓など〉を『閉める』,閉じる(close)《+『名』+『on』(『to』)+『名』》 / 〈本・ナイフなど〉を『閉じる』,たたむ / (…の中に)…を閉じ込める《+『名』+『in』(『into』)+『名』》;(…から)…を締め出す《+『名』+『from』(『out of』)+『名』》・〈店・事業など〉を閉じる,閉鎖する・(ドアなどに)〈指・服など〉をはさむ《+『名』+『in』+『名』》・閉じる,閉まる
shut-in	(家・病院などに)引きこもった / 病弱で外出できない人,引きこもる人
shutdown	(工場などの一時的または永久的)閉鎖,操業停止
shuteye	眠り(sleep)
shutout	(野球などで) / 〈U〉完封,シャットアウト / 〈C〉完封試合
shutter	『よろい戸』,雨戸 / (写真機の)シャッター / 〈窓など〉のよろい戸を閉める;…によろい戸をつける / 〈カメラ〉にシャッターを付ける
shutterbug	アマチュアの写真狂,写真ファン
shuttle	(織機の)杼(ひ)(縦糸の間を走り横糸を通す器具) / (ミシンの)シャトル(下糸を入れる器具) / (特に短距離の)定期往復列車(バス,飛行機)便 / …を前後(左右)に動かす,往復させる / 行ったり来たりする,左右に動く
shuttlecock	(バドミントンの)羽根
shy	(人が)『恥ずかしがり屋の』,内気な;(態度などが)恥ずかしそうな,引っ込み思案の・(動物が)『おく病な』,びくびくする・《補語にのみ用いて》(…を)用心する,警戒する,ためらう,いやがる《+『of』+『名』(do『ing』)》・《補語にのみ用いて》《米語》(…が)足りない,欠けている(short)《+『of』+『名』》・(…に)〈馬が〉驚いて(おびえて)後ずさりする《+『at』+『名』》;(…から)しりごみする,(…に)おじける《《+『away』『from』+『名』(do『ing』)》 / …をす早く投げる / (…に)す早く投げること《+『at』+『名』》 / 《話》(…の)試み《+『at』+『名』》
shyly	はにかんで;おずおずして
shyness	恥ずかしさ,内気;おく病
shyster	いかさま弁護士,いかさま師
si	=ti
sibilance	シューシュー(シッシッ)いう音
sibilant	シューシュー音がする / 歯擦音
sibilate	シューシュー(シッシッ)いう(hiss) ・歯擦音を発する / …を歯擦音で発音する
sibling	きょうだい[のひとり](兄・弟・姉・妹のどれか)
sibyl	(古代ギリシア・ローマの)みこ,女占い師 / 女予言者
sibylline	sibylの[ような] / 予言的な,神秘的な
sic	原文のまま(疑わしいまたは誤った原文をそのまま引用するときにつける) / …を攻撃する / (…に対して)〈人・犬〉をけしかける《+『名』〈人・犬〉+『on』+『名』》
sick	(人が)『病気の』;(部屋などが)病人の[ための];(顔色などが)病気を示す(思わせる) / 《名詞的に》《the ~;複数扱い》病人 / 《補語にのみ用いて》《おもに英》(…で)むかついて,吐き気を催して,気分が悪い《+『at』(『with』,『from』+『名』(do『ing』)》 / 《補語にのみ用いて》(…に)『うんざりして』,あきあきして,いや気がさして;(…に)しゃくにさわって,腹が立って《+『of』+『名』(do『ing』)》 / 《補語にのみ用いて》(…に)『がっかりして』,落胆して《+『at』(『about』)+『名』(do『ing』)》 / 《補語にのみ用いて》(…を)熱望して,こがれて《+『for』+『名』》 / 病的な,異常心理の;気味の悪い)
sick call	(軍隊で)診療呼集[の時間](《英》sick parade) 患者呼集 往診慰問
sick headache	(吐き気を伴う)偏頭痛(migraine)
sick leave	病気休暇
sick parade	=sick call
sick pay	病気欠勤中の給料
sickbay	(通例船内の)病室
sickbed	病床
sicken	病気になる;(病気の)[初期]症状を表す / むかつく:《『sicken at』》…でむかつく / (…に)うんざりする,あきあきする《+『of』+『名』(do『ing』)》 / …をむかつかせる / …をうんざりさせる,あきあきさせる
sickening	病気にならせる;うんざりする,いやな
sickle	(麦刈り用の三日月形の)小がま
sickly	病弱な(unhealthy);病気の;青白い(pale) / 健康に悪い,病気の多い / 吐き気を催す / 弱い,ほのかな(faint)
sickness	〈U〉『病気でいること』;〈C〉(個々の)『病気』 / 〈U〉吐き気(nausea)
sickness benefit	(健康保険の)疾病(しっぺい)手当
sickout	病気欠勤スト
sickroom	病室
side	(物体)『面』 / (物体の)『側面』,わき / (紙・レコードなど平らな物の)『面』 / (中心線・分離線から見た)『片側』 / (中心部分から見て)…『側』 / (人間・動物の体の右または左の)『側面』,(特に)横腹,わき腹 / 《単数形で》(人の)『そば』,わき / (物の)端,へり;(図形の)辺 / (競技・争いなどの一方の)『側』,味方 / (事柄の持っている)一面,局面 / (父方または母方の)血統,…方(かた) / 側部の,側面の,わきの / 側部(側面)からの(への) / 二次的な,従の / 〈建物など〉に側面を付ける / (…に賛成の(反対の))側につく《+『with(against)』+『名』》
side dish	(主料理に対し)添え料理
side effect	(薬などの)副作用
side horse	(体操競技用の)鞍馬(あんば)(《英》pommel horse)
side order	(レストランで主料理に加える)別(追加)料理注文
side street	わき道,横道,横町
sidearm	横手投げの / 横手投げで / 携帯武器(腰につけるピストル・剣など)
sideboard	(食堂の)食器だな,サイドボード
