sedative	鎮静効果のある,鎮静[作用]の / 鎮静剤
seeing	…ということを考えると;…であるからには,だから《+『that 節』(《話》『as節』)》 / 〈U〉〈C〉見ること / 〈U〉視力,視覚 / 目の見える,目のきく
seek	《文》…を捜し求める,捜す;捜し出す《+『out』+『名,』+『名』+『out』》 / 《『seek to』 do》《おもに文》…しようと努力する / …を手に入れようとする,求める / …へ自然に動く / (…を)捜す,求める《+『for』(『after』)+『名』》
seeker	(…の)追求者,探求者《+『for』(『after, of』)+『名』》
seem	(進行形にできない)(…のように)『見える』,思われる
seeming	うわべの,外観上の(apparent);見せかけの
seemingly	うわべは,表面は(apparently) / 一見したところ,なるほど
seemliness	適切さ,礼儀にかなっていること
seemly	ふさわしい,適切な;礼儀にかなった,たしなみのよい,上品な
seen	seeの過去分詞
seep	〈液体が〉にじみ出る,しみ出る
seepage	しみ出ること,浸出 / しみ出るもの;浸出量
seer	予言者・見る人・ 占い師
seersucker	サッカー(通例しま模様でちぢみを持つ薄地の綿・レーヨン製の布地)
seesaw	(また『teeter-totter』)〈C〉シーソー;〈U〉シーソー遊び / 〈U〉変動;(戦闘・ゲームなどの)一進一退 / シーソー遊びをする;上下(前後)に動く;(両者の間で)変動する
seethe	沸騰する,煮立つ;〈波などが〉あわ立つ,うず巻く / (…で)〈人・場所などが〉騒然とする,沸き返る《+『with』+『名』》
segment	区分,部分 / 切片(円などの一部);(直線の)線分 / …を分ける / 分かれている,分裂する
segmentation	区分,分割,分断
sego	セゴユリ(米西部産のユリの一種,球根は食用;Utah州の州花)
segregate	…を分離する;〈患者など〉を隔離する / 〈特定の宗派・人種・社会団体など〉を差別する,差別待遇する / 分かれる,分離する / (特に人種で)差別する
segregated	人種差別のある / 隔離された
segregation	分離(隔離,差別)すること(された状態) / (特に黒人に対する)人種差別
segregationist	人種差別主義者
seigneur	封建君主
seignior	君主,支配者 / [荘園]領主
seine	地引き網 / 〈魚〉を地引き網でとる / 地引き網で漁をする
seism	地震
seismic	地震の,地震によって生ずる
seismic center	震源(地)
seismogram	震動記象(地震計によって描かれた記録)
seismograph	地震計
seismologist	地震学者
seismology	地震学
seismometer	地震計
seize	(急に)…を『ぐいとつかむ』,ひっつかむ / (力ずくで)…を奪い取る;(合法的に)…を押収する,差し押さえる,逮捕する / 〈機会・申し出など〉をとらえる,利用する / 〈意味・要点など〉を把握する,理解する(grasp) / 《しばしば受動態で》〈痛み・恐怖などが〉〈人〉を襲う / 《通例受動態で》《文》〈人〉に所有させる《+『名』+『of』+『名』》
seizure	〈U〉〈C〉つかむ(つかまれる)こと / 〈U〉〈C〉強奪;差し押さえ;逮捕 / 〈C〉(病気・恐怖などが)襲うこと,発作
sel.	select / selected / selection
seldom	『めったに』…『ない』,まれに
select	(最高・最適のものとして)…を『選ぶ』,選抜する,選出する / (人が)『えり抜きの』,精選された / 《名詞の前にのみ用いて》(製品・産物などが)『品質の良い』,粒よりの,高級(上もの)の / (クラブなどが)人選のやかましい,閉鎖的な
select committee	(英議会の)特別委員会
selectee	(義務兵役による)応召兵 選抜徴兵応召者
selection	〈U〉《時にA~》『選ぶこと』,選抜,選出;(…から)選び出すこと《+『from』(『out of, among』)+『名』》 / 〈C〉(…から)『選び抜かれた人』(『物』);(…の)抜粋,選集《+『from』(『of』)+『名』》 / 〈C〉《単数形で》(商店などの)品揃え / 〈U〉淘汰(とうた):natural selection自然淘汰
selective	{形}選択的な / 選り好みする / 入学などに選抜を行う
selective service	選抜徴兵,義務兵役[制度](《英》national service)
selectivity	選択性,精選;淘汰 / (受信機の)選択度,感度
selectman	(米国New Englandでの)都市行政委員
selector	選択者;選別器 / セレクター(機械の操作を変えるスイッチやダイヤルなどの装置)
selenium	セレン,セレニウム(非金属元素;化学記号はSe)
selenography	(月面の地勢を研究する天文学)
selenology	月学(月の物理的諸特性を扱う天文学)
self	(他人と区別して)『自己』,自分,自身 / 〈C〉(人・物の)本質,個性;性格の一面 / 〈U〉私利,私欲,私心
self determination	(他から強制されない)自主的決定 / 民族自決[権](各民族が自由に自国の政体を決める権利) = self-determination
self discipline	自己鍛練(修養) = self-discipline
self fertilization	自家受精 = self-fertilization
self government	自治;民主政体 =self-government
self respect	自尊,自尊心 = self-respect
self-absorbed	自分のことに夢中の,無我夢中の
self-absorption	自己陶酔;専念
self-abuse	自己非難 / 《遠回しに》=masturbation
self-acting	自動[式]の
self-addressed	自分名あての
self-appointed	ひとり決めの,ひとりよがりの;自認する
self-assertion	自己主張,出しゃばり
self-assertive	自己主張する,出しゃばりの
self-assurance	自信
self-assured	自信のある
self-centered,self-centred	自己中心の,自分のことしか考えない(selfish)
self-colored, self-coloured	単色の,一色の;自然色の
self-command	自制[心]
self-complacent	自己満足の,ひとりよがりの
self-confessed	自認する,自称の
self-confidence	自信
self-confident	自信のある
self-conscious	(特に人前で)自意識過剰の,人目を気にする,恥ずかしがる / 自覚している
self-contained	必要物の完備した,自給式の / 《英》(アパートが)独立した(台所・風呂場などが共有でなく専用の出入り口がある) / (人が)無口な,うちとけない;自制心のある
