stage effect	舞台効果
stall	(1頭を入れる)馬小屋(牛舎)の一仕切り / (部屋の中の)小仕切り / 《おもに英》《しばしば複合語を作って》売店,屋台商,露店;商品陳列台 / (教会の内陣または聖歌隊席にある)聖職者席 / 《通例複数形で》《英》(劇場・映画館の)1階前方の[特別]席 / (飛行機の)失速,(車の)失速,エンスト / (指を保護するゴム製などの)指サック / 《話》(時間かせぎの)口実,ごまかし,引き延ばし / (特に,太らせるために)〈家畜〉を小屋に入れる / 〈障害などが〉…を止める,妨げる / (積み過ぎなどのために)〈エンジン・車など〉を止める,にエンストを起こさせる / (特に,口実・ごまかしなどによって)〈人〉を待たせる,引き止める《+『off』+『名,』+『名』+『off』》 / 〈エンジン・車などが〉止まる;〈飛行機が〉失速する / (特に,口実・ごまかしなどによって)引き延ばす,ごまかす,確答(決定)を避ける
stallholder	(露店・屋台などの)元締め,胴元
stallion	種馬
stalwart	じょうぶな,がっしりした / 決心の固い,きわめて忠実な / がっしりした人 / 愛党心の強い人
stamen	(植物の)雄ずい,おしべ
stamina	スタミナ,精力,忍耐力
stammer	『どもる』,口ごもる / …を『どもりながら言う』《+『out』+『名,』+『名』+『out』》 / 『どもり』,口ごもり
stammerer	どもる人
stammering	どもる,どもりながら言う
stamp	〈地面・床など〉を『踏みつける』;〈足〉を踏み鳴らす;…を踏みにじる,踏みつぶす / …に『印』(『判』)『を押す』;(印などを)…に押す《+『名』+『with』+『名』〈印〉》;(…に)〈印など〉を押す《+『名』〈印〉+『on』+『名』》 / 《しばしば受動態で》(印象などを)〈心など〉に刻みつける《+『名』+『with』+『名』〈印象〉》;(心などに)〈印象など〉を刻みつける《+『名』〈印象〉+『on』(『in』)+『名』》 / …に切手(印紙)をはる / (…であると)〈事が〉〈人〉をはっきり示す《+『名』〈人〉+『as』+『名』(『形』)〈補〉》 / …を押しつぶす,粉砕する;…を粉々にして(…に)する《+『名』+『into』(『to』)+『名』》 / 踏みつける,足を踏み鳴らす;足を踏み鳴らして歩く / 〈C〉『切手』(postage stamp),[収入]印紙,証紙 / 〈C〉『判』,印章;押し型,抜き型 / 〈C〉(判・押し型などで押した)印,スタンプ,消し印,検印 / 〈U〉特質,特徴,印 / 〈U〉種類,型 / 〈C〉足踏み,踏みつけること,じだんだ
stampede	(動物の群れが)驚いてどっと逃げること / (群衆・暴徒が)なだれを打って逃げだすこと;どっと押し寄せること,殺到 / どっと逃げ出す,殺到する / …をどっと逃げ出させる
stamping ground	行きつけの場所,たまり場
stance	態度,立場 / スタンス(ゴルフ・野球などで打球のときの足の位置)
stanch	〈特に血〉の流れを止める / 〈傷〉の血止めをする / 〈血が〉止まる / =staunch
stanchion	柱,支柱 / (牛舎の)仕切り棒 / …を柱で支える / 〈牛〉を仕切り棒につなぐ
stand	〈人・動物が〉『立つ』,立っている / (すわっていたのが)『立ち上がる』,起立する《+『up』》 / 〈物が〉(ある場所に)『立っている』,立てかけてある,置かれている / 《副詞[句]を伴って》『位置する』,ある(進行形にできない) / 〈人物が〉状態(関係)にある / 〈人が〉(…に)(賛成・反対の)態度をとる,主張をする《+『for』(『against』)+『名』》 / 《『stand』+『名』(『形』)〈補〉》〈身長・得点・温度・順位などが〉(…で)ある / 立ち止まる;〈車・機械などが〉停止している / 〈主張などが〉変わらないでいる,ぐらつかない;〈規則などが〉有効である(進行形にできない) / 〈水などが〉よどむ;〈涙・汗などが〉たまる / 《副詞[句]を伴って》(船が)針路をとる / …を『立てる』,立たせる,立てかける;…を置く,すえる / …に『立ち向かう』;…にひるまない;…を守り通す / 《通例否定文で》…に『耐える』,をがまんする(進行形にできない) / 〈検査など〉を受ける;〈運命など〉に従う / 《話》…をおごる / 〈任務など〉を務める / 『立つこと;立ち止まること』,停止 / 防御,抵抗 / 立場,(明確な)態度,意見 / 位置,場所 / 《しばしば複合語を作って》『台』,…立て,…掛け / 《米》=witness stand / 『屋台店』,売店 / (タクシー・バスなどの)駐車場・乗り場 / 《通例the stands》『観覧席』,さじき,スタンド / (同一の地域・種類・樹齢の)立ち木,樹木,草木,作物 / (巡業興行団の)巡業[先],巡回[地]
stand-in	(映画・テレビの)代役,スタンドイン(本番前のテストや危険場面などでスターの代役をする人) / 身代り
standard	〈C〉〈U〉『標準』,基準,水準,規範 / 〈C〉(度量衡の)基本単位 / 〈U〉〈C〉(貨幣制度の)本位 / 〈C〉旗,軍旗;(主義・主張などの)旗じるし / 〈C〉支柱,ランプ台,しょく台 / 『標準の』,標準的な / 定評のある,権威のある
standard candle	標準ろうそく,標準燭(しょく)(ろうそくの光度を表す単位)
standard gauge	(鉄道の)標準軌間(『1.435』m,『56.5』インチ)
standard lamp	フロアスタンド(床に置く背の高い電気スタンド)
standard of living	(社会・階級・個人の)生活水準
standard time	標準時(英国ではGreenwich時,日本では東経『135』°の子午線による時刻)
standard-bearer	(軍隊の)旗手 / (政党・運動の)主導者,主唱者
standardization,standardisation	標準化,規格化,統一
standardize,standardise	…を標準に合わせる,標準化する,規格化する
standby	(緊急の場合)たよりになる人(物),代役 / 交替要員,他の代りをする物,代用品
standee	(劇場・汽車・バスなどで席がなく)立っている人
standing	〈U〉〈C〉『身分』,地位;名声,評伴;立場 / 〈U〉継続,存続(duration) / 『立っている』,立ったままで行う / 動かない,止まった / 絶え間まなく続く,永続的な;固定した,いつもの;常備の,常設の
standing order	継続注文 / 《the standing orders》(議会の)議事規則;軍規 / 《話》=banker's order
standing room	(劇場の)立ち見席 / 立つだけの余地
standoff	〈U〉離れていること / 〈C〉(試合の)同点,引分け / 〈C〉(ラグビーで)スタンドオフ
standoff half	(ラグビーの)ハーフバック
standoffish	冷淡な,よそよそしい(aloof)
standout	傑出している物(人) / 《話》がんこ者
standpipe	給水用パイプ,給(貯)水塔,水力利用の加圧パイプ
standpoint	『見地』,観点
standstill	停止,休止,止まり(stop) / (事態の)行き詰まり
standup	(カラーなど)立っている / 立ちながらの
stank	stinkの過去
stannic	錫(すず)の,(特に)第二錫の
stannous	錫(すず)の(を含む),(特に)第一錫の,2価の錫を含む
stanza	(詩の)節,(詩において一定の形をとり,通例4行以上から成る詩の構成単位)
stapes	(中耳)あぶみ骨
staph	=staphylococcus
staphylococcus	ブドウ状球菌
staple	つぼくぎ(電線などを固定する『U』字形のくぎ) / (書類・製本用の)留め金,ホッチキスの針 / …をつぼくぎで止める;…を留め金でとじる / 〈C〉《複数形で》(ある国・地方の)主要産物,重要商品 / 〈C〉《通例複数形で》基本(必需)食品 / 〈C〉《通例複数形で》主要素,主成分;主題 / 〈U〉繊維;(繊維の)標準品位 / 〈U〉原料 / 主要な,重要な / (ある地域の)特産の
stapler	製本機,針金つづり機,ホッチキス
star	『星』;恒星(fixed star) / 『星形のもの』;星章,星標(*)(asterisk) / 『スター』,花形 / (人の運勢を左右するといわれる)運星;《しばしば複数形で》運勢,運,星回り / (星印で示した)等級 / 《the star》《文》実現不可能な逆標(願望) / 星の / 花形の,主役の;卓越した,すぐれた / …を星(星形の物)で飾る;…に星印をつける;(…を)…に星のようにちりばめる《+『名』+『with』+『名』》 / …を主役にする / 主役を務める,主演する
star-crossed	星回りの悪い,不運な
star-spangled	星を散らした
star-studded	星がいっぱいの / 《話》有名俳優たちがいっぱいの
starboard	(船首に向かって)右舷(うげん),機首に向かって右側 / 右舷の方へ
starch	〈U〉でんぷん / 〈U〉〈C〉でんぷん食品 / 〈U〉のり(糊) / 〈U〉堅苦しさ / …にのりをつける,をのりづけして堅くする
starchy	でんぷん[質]の / のりをつけた,こわばった / 《話》形式ばった;堅苦しい
stardom	スターの地位
stardust	星くず;小星団;宇宙塵(じん) / 《話》うっとりする魅力(glamour),夢見心地
stare	(…を)(目を大きく開いて)『じっと見つめる』,じろじろ見る,凝視する《+『at』(『into』)+『名』》 / 〈色などが〉目見つ / …を『じっと見つめる』,じろじろ見る,凝視する / 〈人〉をにらみつけて(…)させる《+『名』〈人〉+『into』(『to』)+『名』》 / 『じっと見つめること』,凝視
starfish	ヒトデ
stargaze	星を観測する / 空想にふける,夢想する
stargazer	天文学者;占星家 / 空想家,夢想家
stargazing	星を観測すること / 夢想,放心状態
staring	(色・模様などが)ひどく目立つ,けばけばしい
stark	《名詞の前にのみ用いて》全くの,正真正銘の / (景色・場所などが)荒れた,ものさびしい / (気候が)きびしい / (顔・態度が)こわばった,堅い
