stickler	ささいなことにくどくど言う人,やかまし屋
stipendiary	俸給を受けている,有給の / 有給治安判事
stipple	〈U〉点彩(点画,点刻)[法] / 点彩(点画,点刻)による作品 / …を点彩(点描,点刻)する
stipulate	(契約の条件として)…を規定する,明記する
stipulation	〈U〉規定,明記 / 〈C〉(…という)条件《+『that節』》
stir	…を『かき混ぜる』,かき回す;…を(…に入れて)かき混ぜる《+『名』+『into』+『名』》 / 〈物事〉を『かき立てる』;…を扇動する《+『up』+『名,』+『名』+『up』》 / 〈人〉を奮起させる,の心をかき立てる《+『up』+『名,』+『名』+『up』》 / 《話》…の目を覚まさせる《+『up』+『名』》 / …を軽く動かす / (特に,かすかに)『動く』 / 《話》動き回る,起きて働く;目を覚ます / かき回せる,かき混ぜられる / 〈U〉《しばしばa ~》騒ぎ / 〈C〉《a ~》かすかな動き / 〈C〉(スプーンなどで)かき混ぜること / 刑務所
stirrer	騒ぎを起こす人
stirring	感動させる,鼓舞させる・活発な;多忙な,繁華な・(感情などが)湧き起こること、動揺・ 感動的な、奮起させる
stirrup	あぶみ
stirrup cup	(昔,旅に出る前の馬上の人にすすめた)別れの杯;(一般に)別れの杯
stitch	〈C〉(縫い物・外科手術などの)『一針』,(編み物の)一編み / 〈C〉針目,縫い目,編み目 / 〈C〉縫い方,編み方 / 〈U〉《しばしばa~》(わき腹・背などの)激痛,差し込み / 〈C〉《話》ごくわずか(の…)《+『of』+『名』》 / …を縫う,縫い付ける《+『up』+『名』,+『名』+『up』》 / 縫う
stitchery	針仕事,裁縫
stk.	stock
stoat	シロテン(特に夏期,毛色がかっ色の間のテンの呼称)
stock	〈C〉〈U〉(…の)『在庫品』,仕入れ品,ストック《+『of』+『名』》 / 〈C〉〈U〉(…の)貯蔵,蓄え《+『of』+『名』》 / 〈U〉《集合的に》『家畜』 / 〈U〉血統,家系,家柄 / 〈U〉〈C〉(動植物の)種属 / 〈U〉(スープ種・ソース種などに用いる)煮出し汁 / 〈U〉〈C〉《おもに米》(株式会社の)株,株式;〈C〉株券,《英》国債,地方債 / 〈U〉原料 / 〈C〉《複数形で》(刑罰用の昔の)さらし台 / 〈C〉(銃の)台じり / 〈C〉(接ぎ木の)台木 / 〈C〉(接ぎ穂をとる)親株 / 〈C〉(植物の)幹,茎 / 〈C〉(錨(いかり)のリングの下の)横棒 / 〈C〉(劇場の)専属劇団[のレパートリー] / 〈C〉アラセイトウ(春,赤紫色の花を開く) / (商品を)〈店など〉に『仕入れる』,蓄える《+『名』〈店〉+『with』+『名』〈商品〉》 / …を『仕入れている』,貯蔵している / (家畜などを)〈農場など〉に入れる,(…を)〈川・草地など〉に放つ《+『名』〈農場など〉+『with』+『名』》 / (…を)仕入れる,蓄える《+『up with』+『名』》 / 常に仕入れてある,常置の;標準の / ありふれた,陳腐な / 在庫品を扱う
stock company	株式会社 / 専属劇団(一定のレパートリーを専属の劇場で演じる劇団)
stock cube	固形スープ
stock exchange	証券(株式)取引[所]
stock farmer	=stockbreeder
stock in trade, stock-in-trade	手持ち商品;商売道具 / 常套(じょうとう)手段
stock market	株式市場;株式売買
stock-still	じっとしている,動かない
stockade	(太いくいを並べた)防御さく / さく,囲い / 《米》営倉 / …をさくで防ぐ,さくで囲う
stockbreeder	牧畜業者
stockbroker	株式仲買人
stockcar	ストックカー(レース用に改造された乗用車) / 《米》箱型家畜運搬用貨車
stockfish	干し魚,魚の干物
stockholder	=shareholder
stockily	ずんぐりと,がんじょうに
stockiness	ずんぐりしていること,がんじょうさ
stockinet,stockinette	(伸縮性のある機械編みの)メリヤス
stocking	『長靴下』,ストッキング
stocking cap	先に房の付いたジャージーまたは毛糸の円錐形の帽子
stockist	特定商品仕入れ業者(会社)
stockjobber	(業者間だけの取引をする)株式仲買人
stockman	《米・オーストラリア》牧畜業者,牧夫,牧場使用人 / 《米》在庫品係
stockpile	(非常時に備えて原料・弾薬・武器などの)備蓄,貯蔵 / (非常時に備えて)〈物資・兵器など〉を備蓄する,貯蔵する / 備蓄する,貯蔵する
stockpot	スープなべ,ソースなべ
stockroom	(物資・商品などの)貯蔵室,倉庫
stocktaking	在庫調べ,たなおろし / (現状の)調査
stocky	(体が)ずんぐりした,がんじょうな
stockyard	(市場などの)家畜置き場
stodge	こってりした食べ物 / うんざりする書物(文体)
stodginess	つまらなさ;(食べ物が)胃にもたれること
stodgy	(本・文などが)つまらない,うんざりする / (食べ物が)こってりした,胃にもたれる
stoic	(苦しみ・喜びなどに)無関心な人,克己心の強い人;禁欲(克己)主義者 / 《『S-』》ストア派哲学者 / (苦しみ・喜びなどに)無関心な,禁欲(克己)的な
stoical	=stoic
stoicism	(苦しみ・喜びなどへの)無関心,克己;禁欲主義,ストイシズム / 《『S-』》ストア哲学,ストア主義
stoke	〈火〉をかき立てる;〈炉など〉に燃料をくべる《+『up』+『名』,+『名』+『up』》 / 火をかき立てる;火(炉)の番をする《+『up』》
stokehold	(汽船の)機関室,火室
stokehole	=stokehold / (炉の)たき口
stoker	(機関の)火夫 / 給炭機
stole	ストール(牧師が肩からたらす絹のけさ) / (婦人用の)肩掛け,ストール / stealの過去
stolen	stealの過去分詞・盗まれた
