steamship	(蒸気)汽船,商船
step	『一歩』,歩み;一歩の距離,歩幅;短い距離 / (階段・はしごの)『段』,踏み段;《複数形で》『階段』 / (目的・目標への)『一歩』,一段階《+『to』(『toward』)+『名』》 / 足音 / 足跡 / 『歩調』,足取り;(ダンスの)ステップ / (目標に近づく)『手段』,方法,処置 / 階級,昇級 / (音楽で)音程 / (温度計などの)目盛り / 《方向を表す副詞[句]を伴って》(…の方へ)『歩む』,一歩踏み出す,行く / (…を)踏みつける《+『on』+『名』》 / 〈足〉を踏み出す;〈ダンス〉のステップを踏む / …を歩測する《+『off』(『out』)+『名』,+『名』+『off』(『out』)》 / 〈段〉を切り込む
step-down	減少,減速
step-up	増加,増大,加速
stepbrother	腹違いの兄弟,父親違いの兄弟
stepchild	まま子
stepdaughter	まま娘
stepfather	まま父,継父,義父
stepladder	(持ち運びのできる)段ばしご,脚立(きゃたつ)
stepmother	まま母,継母,義母
stepparent	まま親
steppe	〈C〉(樹木の生えない)大草原 / 《the Steppes》ステップ地方(シベリアの大草原)
steppingstone	(川などを渡るための)飛び石,踏み石 / (成功・出世などへの)足がかり,手段,方法《+『to』+『名』》
stepsister	腹違いの姉妹,父親違いの姉妹
stepson	(男の)まま子
ster.	sterling
stere	ステール,1立方メートル
stereo	ステロ版,鉛版(stereotype) / 『ステレオ』(立体音響再生装置)(stereo set) / =stereophonic
stereogram	立体写真、立体画
stereograph	ステレオ写真、立体図
stereography	立体写真術
stereophonic	ステレオの,立体音響(効果)の
stereoscope	立体(実体)鏡
stereoscopic	(写真・映画などが)立体的な,立体感を与える;立体(実体)鏡の
stereotype	ステロ版,鉛版;ステロ版作製(印刷) / 定型;決まり文句,常套手段;型にはまったイメージ / …をステロ版で印刷する / …を固定させる,型にはめる
stereotyped	ステロ版で印刷をした / 固定した,決まりきった
sterile	不妊の,子を生まない(barren) / (土地が)不毛の,やせた(barren) / 無菌の,殺菌した / (考え方・話などが)想像力に乏しい,ありきたりの,陳腐な
sterility	不毛,不作;不妊 / 無菌 / 無味乾燥
sterilization,sterilisation	断種(不妊に)すること;不毛にすること / 殺菌,消毒
sterilize,sterilise	…を殺菌する,消毒する / …を断種する,不妊にする / 〈土地〉を不毛にする / 〈思想・内容など〉を貧弱にする,〈計画・努力など〉を無駄にする,無効にする
sterilizer,steriliser	消毒器;殺菌剤
sterling	英貨の,ポンドの;(英国で)法定純金(銀)を含む / 《名詞の前にのみ用いて》(銀が)法定純度の / 《名詞の前にのみ用いて》(物の品質・人物など)本物の,真正の,確かな / 英貨;純銀[製品]
sterling area	ポンド通用地域
sterling silver	純銀
stern	『厳格な』,断固とした / 手厳しい,容赦のない / (顔つきなどが)『いかめしい』,険しい / 『船尾』,とも / 《話》お尻(しり)
sternly	厳しく,厳格に
sternness	厳しさ,厳格
sternum	(人間・動物の)胸骨
sternwheeler	外輪船(船尾の外輪で推進する)
steroid	ステロイド(脂肪溶解性の有機化合物の総称)
stertorous	(病気のため)高いびきをかく
stet	〈校正で訂正された箇所が〉生きる,もとへもどる / 〈いったん訂正した箇所〉をもとへもどす,生かす,に「イキ」と記す
stethoscope	聴診器
stevedore	沖仲仕,荷役人夫
stew	〈食物〉を『とろ火で煮る』,シチューにする / 《話》…の気をもませる,をいらいらさせる / とろとろに煮える,シチューになる / 《話》やきもきする,気をもむ / 〈C〉〈U〉『シチュー』(肉・野菜などをとろ火で煮込んだ料理) / 〈C〉《話》気をもむこと
steward	(大家の)執事,家令 / (組合・団体などの)支配人,取締役 / (ホテル・病院・学校・クラブなどの)食堂主任 / (汽船・旅客機などの)『スチュワード』,ボーイ,給仕 / (会などの)世話役,幹事
stewardess	(汽船・旅各機・列車などの)『スチュワーデス』,女給仕 / 女家令
stewardship	stewardの職(義務) / 管理,運営
stewed	とろ火で煮込んだ,シチューにした / 《英》(お茶が)出すぎた,苦い / 《補語にのみ用いて》《話》酔っぱらった
stg.	sterling
stibium	アンチモン(antimony)金属元素;化学記号は『Sb』
stick	(とがったもので)…を『刺す』,突く《+『名』+『with』+『名』》 / (…に)〈とがったもの〉を『突き刺す』,突き立てる《+『名』+『in』(『into, through』)+『名』》 / (…で…に)…を『刺して留める』,刺す《+『名』+『on』+『名』+『with』+『名』》 / (のりなどで…に)…を『はる』,くっける《+『名』+『on』+『名』+『with』+『名』》 / 《話》(…に)…を置く,すえる(put)《+『名』+『on』(『in』)+『名』》 / 《受動態で》〈人・車など〉を『動けなくする』,〈仕事など〉を行き詰まらせる / 《話》〈人〉を困惑させる;〈人〉をだます,にたかる / (…に)『突す刺さる』,刺さっている《+『in』+『名』》 / 『くっついて離れない』,はりつく / 動かなくなる,立往生する / 『棒』,棒きれ,枝 / (歩行用)『ステッキ』,つえ,警棒 / 棒状(の…)《+『of』+『名』》 / (ホッケーなどで用いる)スティック / (またcontrol stick)(飛行機の)操縦かん / 《話》でくの棒 / 《話》処罰,せっかん / 《複数形で》《the~》《米話》都会から離れた所,へき地,田舎 / 厳しい処罰,おきゅう
stick insect	ナナフシ(細長く木の小枝に似た昆虫)
stick shift	(自動車の)ギヤ入れ替えレバー;〈U〉ギヤの入れ替え
stick-in-the-mud	古くさい人;ぐず
stick-to-itive	粘り強い,根気のある,たゆみのない
sticker	ステッカー,のり付きラベル / 《米》いが;とげ / 《話》粘り強い人
stickerprice	(メーカーの決める)標準小売希望価格
stickily	粘って,ねばねばと
stickiness	粘ること
sticking plaster	ばんそうこう
stickle	(特に,ささいなことを)くどくど言う / (…に)難色を示す《+『at』+『名』》
stickleback	トゲウオ(ひれにとげのある魚)
