stolid	ぼんやりした,鈍感な
straggler	落後者・連れにはぐれた人
straggly	(家など)散在する / (髪など)ほつれた,ばらばらの / はぐれた,落後した
straight	『まっすぐな』,一直線の / (毛髪などが)まっすぐな / (背などが,曲らずに)『直立した』,まっすぐな / 《補語にのみ用いて》『整理した』,きちんとした / 真実を言う,率直な,正直な / 連続した / 《米》(ある政党に)徹底した,ベッタリの,きっすいの / (比較変化なし)『まっすぐに』,一直線に;『直立して』,垂直に / 『直ちに』,回り道をしないで / 率直に,端的に / 《the~》まっすぐ,一直線;直線コース / (カードゲームで)ポーカーの5枚続き,ストレート
straight and narrow	正直な生き方,堅気の生活
straight angle	平角(180°)
straight face	(感情を抑えた)まじめくさった顔,真顔
straight fight	(選挙などで2候補者あるいは2政党間だけの)一騎打ち
straight man	喜劇役者の引立役
straight time	(会社・工場などで週単位の)標準労働時間;(それに支払われる)基本給
straight up	(質問したり,答えたりするときに用いて)ほんとに
straight-arm	…を腕を張って押しのける,突き飛ばす
straightaway	一直線の / 一直線の道,直線コース / すぐに,直ちに
straightedge	直[線]定期
straighten	…を『まっすぐにする』《+『out』+『名,』+『名』+out》 / …を『きちんとする』,整理する《+『out(up)』+『名,』+『名』+『out(up)』》 / まっすぐになる,きちんとなる《+『out(up)』》
straightforward	正直な,率直な(frank) / (仕事,意味など)簡単な
straightjacket	=strait jacket
straightway	直ちに,即刻(at once)
strain	…を『引っ張る』 / (使い過ぎて)〈体など〉を『痛める』,弱める / …を『最大限に働かせる』,精一杯使う / 〈意味・規則など〉を曲げる,こじつける,拡大解釈する / 〈液体〉を『こす』;(液体から)〈固形分〉をこして取る《+『out(off)』+『名』+『from』+『名』》 / 全力を尽くす,懸命に努力する / ぱんと張る / 〈C〉〈U〉『張りつめること』,張る力 / 〈C〉『筋違い』,ねんざ,くじき / 〈U〉(精神的に,極度に)緊張,重荷,過労 / 〈C〉骨のおれる仕事,激務 / 〈C〉家系,血統,種族 / 〈C〉品種 / 〈U〉《しばしばa ~》(遺伝的な)性質,体質 / 〈C〉《しばしば複数形で》《単数扱い》(音楽の)曲,一節 / 〈C〉口調,言い回し,文体
strained	緊張した;疲れた / 不自然な,わざとらしい;こじつけの
strainer	こし器,ろか器 / 引っ張る人;伸張器
