semiquaver	=sixteenth note
sentimentalize,sentimentalise	(…に対した)感傷(感情)的になる《+『about』(『over』)+『名』》 / …を感傷的(感情的)に見る(扱う)
sentinel	歩哨(ほしょう),番人
sentry	(特に軍隊の)番兵,歩哨;張り番
sentry box	哨舎(しょうしゃ) 番兵小屋
sep.	separate / separated
sepal	(花の)萼片(がくへん)
separable	分離できる・引き離せる・(…から)分離できる《+『from』+『名』》
separably	分離して
separate	…を『分離する』,引き分ける;(…から)…を引き分ける《+『名』+『from』+『名』》 / (…に)〈一つの物〉を『分割する』,分ける《+『名』+『into』+『名』》 / 〈人が〉別れる;別れて(…に)なる《+『into』+『名』》 / (…から)分離する,離れる《+『from』+『名』》 / 『離れた』,分かれた / (関係がなく)別の,異質な(different) / 個々の,個別の(individual)
separately	分かれて;別々に,単独で
separateness	別々になっていること,分離
separation	〈C〉〈U〉『分離』,分割,別離・〈C〉(…の)分離(分割)した箇所《+『of』+『名』》 / 〈C〉〈U〉(合意・判決に基づく)夫婦の別居
separatism	政教分離主義
separatist	分離主義者,分離派
separative	分離性の,分離する傾向のある / 分離を引き起こす
separator	分離する人 / (もみがら・クリームなどの)分離器
sepia	セピア(イカの墨から作る暗かっ色の絵の具) / セピア色,暗かっ色 / セピア色の
sepn.	separation
sepoy	(英国統治時代のインドで編成された)インド現地人兵
sepsis	敗血症
septet	7人(7個)一組のグループ / 七重奏(唱)曲
septic	腐敗性の / 敗血症[性]の
septic tank	腐敗槽(そう),浄化槽(バクテリアを利用して下水などを浄化する)
septicemia	=blood poisoning
septuagenarian	70歳[代]の人 / 70歳[代]の
septum	(動・植物体の)隔膜,隔壁
septuple	7倍の,7重の / …を7倍にする
sepulcher,sepulchre	墓地,墓
sepulchral	墓の / 埋葬の / 墓のような,陰気な
sepulchre	=sepulcher
seq.	sequel / sequens(ラテン語)下記の[もの](=the following [one])
seqq.	sequentia(ラテン語)下記の[もの](=the following [ones])
sequel	(小説・映画などの)続き,続編 / 結果
sequence	〈U〉〈C〉(時間の上の,また因果関係のつながりによる)『連続』,続き / 〈C〉《a~》(…の)一連のもの《+『of』+『名』》 / 〈U〉(起こる)『順序』(order),筋道 / 〈C〉(…に対する)結果《+『to』+『名』》
sequence of tenses	時制の一致(主節の動詞が過去のとき,従節の動詞も過去または過去完了になるという法則)
sequencing	配列,接続;(特に時間の)調整
sequent	(時間的に)次の,次に起こる / (論理的に)結果として生じる
sequential	引き続いて起こる,結果として起こる
sequester	…を隔離する;…を隠退させる / 〈財産など〉を押収する
