scrumptious	(食物が)実にうまい;すばらしい
sea	《通例the~》《しばしば複数形で単数扱い》『海』,海洋 / 〈C〉《固有名詞につけるときはS-》(部分的に陸地に囲まれた)海,…海 / (波の状態から見た)海面,湖面,水面;(海・湖などの)波;大波,高波 / 〈U〉《the ~》船乗り(水兵)の仕事,海上生活 / 《a ~》大量(の…),たくさん(の…)《+『of』+『名』》
sea anemone	イソギンチャク
sea biscuit	=hardtack
sea breeze	海軟風(日中に陸に向かって吹く風) 海風 潮風
sea captain	(商船の)船長
sea cow	カイギュウ(海牛)(カイギュウ(manatee)・ジュゴン(dugong)などの海生哺乳類の総称)
sea cucumber	ナマコ
sea fog	海霧(海から陸へ流れる霧)
sea green	海緑色 = sea-green
sea legs	(特に荒海で)甲板上をよろけずに歩ける能力,船酔いしない体質
sea lion	アシカ,トド
sea mile	海里(かいり)(1828.8メートル)
sea mist	=sea fog
sea otter	ラッコ(太平洋北部産の海獣で毛皮は高価)
sea power	〈U〉海軍力 / 〈C〉海国,海軍国
sea urchin	(海産動物の)ウニ
seabed	海底
seabird	海鳥(カモメ・ウミスズメなど)
seaboard	沿岸,沿岸地方
seaborne	海上[輸送]の
seachange	急激な変化 = sea-change
seacoast	海岸,海辺
seadog	《おどけて》年とった水夫,老練な水夫
seafarer	船乗り
seafaring	海と深くかかわる / 海に生きる,船乗りの / (またseagoing)海上旅行の / 船乗り業 / 海上旅行
seafood, sea food	海産物(魚類・貝類など)
seafront	海岸区域;海岸通り
seagirt	海に囲まれた
seagoing	(またocean-going)遠洋航海用の / =seafaring
seagull	=gull
seahorse	〈C〉タツノオトシゴ(海にすむ小型の魚)
seakale	ハマナ(北ヨーロッパ産の葉の広い植物)
seal	〈C〉アザラシ / 〈U〉アザラシの皮;アザラシのなめし皮 / アザラシ狩りをする / (所有や出所の確実さを示すために押された格式ばった)『印』 / (模様・頭文字などを刻んだ)『印章』,印鑑,判,はんこ / (封書などの)封印,(空気漏れ・水漏れを防ぐ)封 / (紙製で裏面にのりをつけた)装飾シール,ステッカー / (…の)しるし,証拠《+『of』+『名』》 / (認証・証拠として)〈証文など〉に『印を押す』 / …に『封をする』;…を密封する《+『名』+『up,』+『up』+『名』》 / 〈割れ目など〉をふさぐ,〈すき間など〉を埋める / 〈取引き・約束など〉を碓認する,保証する / 〈運命など〉を決める
sealant	密封剤(封ろう・接着剤など)
sealed	密封した;印を押した
sealer	〈C〉アザラシ猟師(猟船) / 〈U〉密封材(パテ・防水・ペンキなど)
sealevel	(満潮時と干潮時の間の)平均海面,海面 海抜 = sea level = sea-level
sealing	アザラシ狩り
sealing wax	封ろう(手紙のとじ目・びんを口につけ封をするのに使う一種のろう)
sealskin	オットセイ(アザラシ)の皮(毛皮)
seam	(服などの)『縫い目』,(れんが・板などの)合わせ目,継ぎ目 / 縫い目のようなひび(しわ,割れ目,手術あとなど) / (岩石などの)薄層《+『of』+『名』》 / …を縫い合わせる;…を継ぎ合わせる / 《通例受動態で》…に(切り傷,きざみ目など)をつける《+『名』+『with』+『名』》 / ひびがはいる,割れ目ができる;しわが寄る
seaman	水夫,船乗り,船員 / (米国海軍および沿岸警備隊の)水兵,(英国の特に下士官以下の)水兵 / 船の操縦のうまい人
seaman apprentice	米海軍兵卒(seamanの下の位)
seaman recruit	米海軍新兵
seamanlike	船乗りらしい;船の操縦が巧みな
seamanship	航海術,操船術
seaminess	(物事の)裏面,いやな面
seamless	縫い目(継ぎ目)のない
seamstress	(女性の)仕立て屋,針子
seamy	いやな,見苦しい / 縫い目のある
seaplane	水上飛行機
seaport	海港;港町
sear	(治療のため)〈傷口〉を焼く;…をやけどする;〈肉など〉を焼く,あぶる / 〈植物〉を枯らす,しなびさせる / …を無感覚にする,〈心など〉を固くする / =sere
search	(…を求めて)〈ある場所・人の体など〉を『くまなく捜す』,徹底的に捜す《+『名』+『for』+『名』》 / …を『綿密に調査する』(probe) / (…を)綿密に調査する《+『into』+『名』》 / (…を求めて…を)『くまなく捜す』《+『through』+『名』+『for』+『名』》 / 『捜索』;調査;(を)捜すこと《+『for』(『of』)+『名』》
search party	捜索隊
search warrant	捜索令状
searcher	捜索者,探求者;捜索具
searching	油断のない,注意深い,鋭い
searchlight	〈C〉サーチライト, 探照灯 / 〈U〉探照灯の光
searing	焦げつく[ような] / 《話》情事に身を焦がす
seascape	海の景色 / 海の絵(写真)
seashell, sea shell	(海辺の)貝殻,貝
seashore	『海岸』,海辺
seasick	船に酔った
