sinusitis	洞炎,(特に)静脈洞炎
situate	(ある場所に)…を置く,位置させる
situated	位置している / 《副詞[句]を伴って》(経済的・社会的に)(…の)状態に置かれた
situation	(人の)『立場』,状態,境遇 / (事の)『事態』,形勢,情況 / 『位置』,環境 / 《文》就職口,勤め口
situation comedy	連続ホームコメディー(同一人物を中心とする連続テレビ・ラジオ喜劇)
situs	あり場所,位置 / (部分・器官の)正常な位置,原位置
sitz bath	腰湯;腰湯用の浴槽
six	〈C〉(数の)『6』;6の記号(6,VIなど) / 〈U〉6時,6分;6歳 / 《複数扱い》6人,6個 / 〈C〉六つ(6人,6個)一組のもの / 〈C〉(カード・さいころなどの)6の札(目) / 『6の』,6人の,6個の / 《補語にのみ用いて》6歳の(で)
six-footer	身長が6フィート[以上]の人
six-shooter	6連発ピストル
sixfold	6倍の,6重の / 6倍に,6重に
sixpack	(ビールやかん詰めなどの)6本入り[パック] = six-pack
sixpence	〈C〉6ペンス[の価・〈C〉6ペンス銀貨(1946年以後は白銅貨;1971年廃止)・〈C〉〈U〉《否定文で》少し(bit),わずかの値
sixteen	〈C〉(数の)『16』;16の記号(16,XVIなど) / 〈U〉(24時間制の)16時,16分,16歳 / 《複数扱い》16人,16個 / 『16の』,16人の,16個の / 《補語にのみ用いて》16歳の(で)
sixteenth	『第16の』,16番目の / 16分の1の / 〈U〉《the ~》『第16』,16番目[のもの],(月の)16日 / 〈C〉16分の1
sixteenth note	16分音符(《英》semiquaver)
sixth	『第6の』,6番目の / 6分の1の / 〈U〉《the ~》『第6』,6番目[のもの],(月の)6日 / 〈C〉6分の1
sixth form	第6学年(public schoolなど中等教育の最高学年)
sixth sense	{名}〈U〉第六感,(five senses(五感)以外の感覚,直感力(intuition))
sixtieth	《the ~》『第60の』,60番目の / 60分の1の / 〈U〉《the ~》『第60』,60番目[のもの] / 〈C〉60分の1
sixty	〈C〉(数の)『60』;60の記号(60,LXなど) / 〈U〉60歳 / 《複数扱い》60人,60個 / 《the sixties》(世紀の)60年代;《one's sixties》(年齢の)60代 / 『60の』,60人の,60個の / 《補語にのみ用いて》60歳の(で)
sixty-fourth note	64分音符
sizable, sizeable	相当な大きさの,かなり大きな
size	〈U〉〈C〉(人や物の)『大きさ』 / 〈U〉大きいこと / 〈U〉数量,規模 / 〈C〉(帽子・靴・シャツなどの)『サイズ』,『寸法』,型 / 〈U〉《話》実情,真相 / …を大きさ(寸法)によって分類する / …をある寸法に作る / サイズ,どうさ(紙や織物の細孔(こう)をふさぐ材料) / …にサイズを塗る
sizeable	=sizable
sizing	サイズ(どうさ)を塗ること,のり付け;サイズ剤,のり剤,どうさ
sizzle	(油で揚げるときのように)ジュージュー(シューシュー)いう / 《話》焼けるように暑い(熱い) / ジュージュー(シューシュー)いう音
sizzler	非常に暑い日
skag	ヘロイン(heroin)
skate	=ice skate / =roller skate / 『スケートをする』,氷滑りをする / ガンギエイ
skateboard	スケートボード(路上などで遊ぶ車輪付きの長方形の板) / スケートボードですべる
skater	スケートをする人
skating rink	ローラースケート場 / 室内スケート場(ice rink)
skedaddle	あわてて逃げる / あわてて逃げること
skeet	スキート射撃
skein	(…の)かせ《+『of』+『名』》 / (…の)もつれ,混乱《+『of』+『名』》 / (飛んでいる野鳥の)群れ
skeletal	骨格に;がい骨の;がい骨のような
skeleton	(人間・動物の)『骨格』,がい骨 / (建物・船などの)『骨組み』 / (文芸作品などの)骨子,粗筋,概要 / 必要最小限のもの / 《話》(骨と皮ばかりに)やせこけた人(動物)
skeleton key	マスターキー(=master key)
skeptic	懐疑論者,疑い深い人;キリスト教不信仰者,無神論者
skeptical	疑い深い,懐疑的な
skepticism	懐疑,懐疑論;無神論
sketch	(…の)『スケッチ』,素描,写生画《+『of』+『名』》 / (…の)『草案』,下書き;(事実などの)概略,大要《+『of』+『名』》 / (文芸作品の)小品,短編,(レビュー・ミュージカルなどの)寸劇 / …を『スケッチする』,写生する / …を略述する《+『in』(『out』)+『名』》 / スケッチ(写生)する
sketch map	略図,見取図
sketchbook	(またsketchpad)(はぎ取り式の)スケッチブック,写生帳 / 小品文集,随筆集
sketcher	スケッチする人,略図(見取図)を書く人
sketchily	スケッチふうに,大ざっぱに
sketchiness	スケッチふう,大ざっぱ
sketchpad	=sketchbook1
sketchy	スケッチふうの;概略の / 不完全な,大ざっぱな;ちょっとした,軽い
skew	斜めの,ゆがんだ / 傾斜,ゆがみ / …を斜めにする,曲解する / それる,曲がる
skew-whiff	斜めの ゆがんだ 一方に傾いた 酔った 千鳥足の 斜めに ゆがんで ひん曲がって 酔って
skewbald	(馬などが)白と茶のまだらの / 白と茶のまだらの馬
skewer	(木製・金属製の)くし,焼きぐし / …をくしに刺す
ski	『スキー』 / 『スキーで滑走する』 / …をスキーで滑る / スキーの,スキー用の
ski jump	(スキー競技の)ジャンプ / スキージャンプ場
ski lift	スキーリフト
ski plane	雪上飛行機(雪上で離着陸できるようにスキーを装備した飛行機)
ski touring	周遊スキー(競技ではなく山中を走破するスキー)
ski tow	スキートー(ロープにつかまらせてスキーヤーを引っ張り上げるリフトの一種)
skibob	スキーボブ(自転車の車輪の代りにスキーが付いた雪上の乗物)
skid	(車・車輪などの)横滑り;スリップ / (坂を下るときの)車の歯止め,滑り止め / 《複数形で》(重いものを上に載せて滑らせる)滑り材;下敷き支材,枕木 / 〈人〉を急がせる / 〈自動車などが〉横滑りする,スリップする / …に滑り止めを掛ける;…を滑り材の上に置く(の上を滑らせる)
skid row	どや街(浮浪者などの集まる場所)
skidlid	(オートバイ乗り用の)ヘルメット
skidpan	車の横滑りコントロールの練習場所
skier	『スキーヤー』,スキーをする人
skiff	スキフ(一人でこぐ,または帆走させる小さな舟)
skiffle	スキッフル(1950年代に英国で流行した通俗音楽)
skiing	(スポーツとしての)『スキー』;スキー術
