skilful	=skillful
slack	(綱などが)『緩んだ』,たるんだ / (規則などが)緩い,甘い,どっかりしていない / (動きなどが)遅い,のろい,ぐずぐずした / (商売などが)忙しくない,活発でない / 不注意な,いいかげんな,怠慢な / 〈U〉《the~》緩んだ(たるんだ)部分 / 〈C〉(商売などが)不振(不景気)の時期 / 〈綱など〉を緩める,たるませる,〈速度・努力など〉を緩める,怠る《+『off』(『up』)+『名,』+『名』+『off』(『up』)》 / なまける,怠る;〈綱などが〉緩る,たるむ;〈勢いが〉弱くなる;〈速力が〉のろくなる《+『off』(『up』)》 / 緩く,たるんで;不注意に,いいかげんに / 粉炭(coal dust)
slacken	…の速度を落とす / 〈綱など〉を緩める / …を減じる / 速度が遅くなる / 〈綱などが〉緩む,たるむ / 勢いが弱くなる
slacker	(仕事・義務・責任・掛かり合いなどを回避する)怠け者,さぼり屋
slacks	スラックス(上着し対になっていない男性(女性)のふだん着用のズボン)
slackwater	潮だるみの時,憩潮[時],潮のよどみ
slag	のろ,鉱滓(こうさい),スラグ
slain	slay の過去分詞
slake	〈渇き〉をいやす / 〈石灰〉を消和する(水を加えて消石灰にすること) / 〈石灰が〉消和する
slaked lime	消石灰
slalom	(スキーで)スラローム,回転競技
slam	〈戸・窓など〉を『ピシャリ(バタン)と閉める』 / 《副詞[句]を伴って》…を『ドシン(ドン)と置く』 / (新聞用語で)…をけなす,攻撃する / 〈戸・窓などが〉ピシャリ(バタン)と閉まる / ドシン(ドン)とぶつかる(動く) / 荒っぽく音を立てて戸を閉めること;ピシャリ(バタン,ドシン)という音 / スラム(ブリッジで全勝(grand slam)または1組を除いて全部勝つこと(little slam))
slam-bang	ドタンバタンと,乱暴な / 向こう見ずの / ドタンバタンと,音をたてて乱暴に / 向こう見ずに
slander	中傷,悪口;(法律用語で)(口頭による)名誉毀損(きそん) / …を中傷する,の悪口を言う
slanderer	中傷者,悪口を言う人
slanderous	中傷的な;(人が)口の悪い
slang	『俗語』,スラング / (特定集団の)『通語』,仲間言葉(jargon) / 〈人〉の悪口を言う,〈人〉をののしる
slanginess	俗語めいていること
slangy	俗語の,俗語的な;俗語を用いる
slant	『傾く,傾斜する』 / …を傾ける,傾斜させる / 《通例受動態で》(特定の立場・読者層に合わせて)〈事実・記事など〉を…向きに書く,ゆがめる《+『名』+『for』+『名』》 / 《a~》『傾斜』,傾き / 観点,見方,見解
slantingly	傾斜して,斜めに
slantways	=slantwise
slantwise	(また『slantways』)斜めに,はすに / 斜めの,はすの
