shameful	『恥ずべき』,けしからぬ(disgraceful)
sharp	(刃・先端が)『鋭い』,よく切れる,よく突きささる / (頂上などが)先がとがっている / (道路などが)『急な』,急カーブの,急こう配の / (言葉などが)『厳しい』,辛らつな / (痛みが)『鋭い』,激しい;(寒さなどが)激しい,身を切るような / (食物が)ぴりっとする,辛い / (音が)鋭い,高い / (輪郭などが)はっきりした,くっきりした / (感覚・頭が)鋭い / 抜け目のない,すばしこい / 油断のない,用心深い / (動作が)速い,機敏な,きびきびした / (身なりの)いきな,スマートな / 《名詞の後にのみ用いて》(音が)シャープの,嬰(えい)音の;調[記]号がシャープ(#)の / 《名詞の後にのみ用いて》(時間を)きっかり,正碓に / 鋭く;急に;油断なく / (音楽で)半音高く / シャープ,嬰音 / シャープ記号(#)
sharp-eyed	目の鋭い,目のきく;すばしっこい
sharpen	…を『鋭くする』,とがらせる;…をとぐ / …を敏感にする,鋭敏にする / 鋭くなる,とがる;敏感(鋭敏)になる
sharpener	とぐ人,削る道具
sharper	詐欺師,ぺてん師
sharpie,sharpy	〈C〉シャープペンシル; =sharpener
sharply	『鋭く』;急に;激しく;明碓に;敏感に;抜け目なく
sharpness	鋭さ;痛烈さ / 鋭敏;利口 / 鮮明 / 強い味
sharpshooter	(特にライフル)射撃の名手 / (米陸軍で)一級射手(expertとmarksmanの間の級)
shatter	〈物〉を『粉々に打ち砕く』,粉砕する / (回復の余地なく)〈計画・健康・希望など〉を『壊す』 / 『粉々になる』
shatterproof	(ガラスなどが)粉々にならない,破砕防止の
shave	〈ひげなど〉を『そる』《+『off』+『名』,+『名』+『off』》 / …を削り落とす,うすく削り取る,〈木板〉にかんなをかける / 《話》…をかする,すれすれに通る / 『ひげをそる』,かみそりをあてる / (…を)かすめる《+『past』+『名』》 / 『ひげそり』 / すれすれに通ること,辛うじて逃れること
shaved ice	かき氷
shaven	shaveの過去分詞・そってある・そった
shaver	そる人;そり道具,削り道具;電気かみそり / 《話》若者,小僧
shaving	〈U〉そること,ひげそり;削ること / 〈U〉《複数形で》削りくず,かんなくず
shaving cream	ひげそり用クリーム
shawl	ショール,肩掛け
she	『彼女は』,『彼女が』 / 《月・船・汽車・都市・国などを指して》それは,それが / 女,婦人;(動物の)雌
she'd	she had, she wouldの短縮形
she'll	she will, she shallの短縮形
she's	she is, she hasの短縮形
sheaf	(稲などの)束《+『of』+『名』》 / (一般に)(…の)束《+『of』+『名』》
shear	〈毛・羊毛など〉を刈り取る,刈る,刈り込む《+『off』(『away』)+『名,』+『名』+『off』(『away』)》;(…から)…を刈り取る《+『名』+『from』(『off』)+『名』》;〈羊など〉の毛を刈る / 《しばしば受動態で》(…を)〈人〉からはぎ取る,奪い取る《+『名』〈人〉+『of』+『名』》 / 大ばさみ,植木ばさみ
shearer	羊毛を刈り込む人,(植木などを)せん定する人
sheath	(刀などの)さや / (動・植物のある部分をおおう)さや;(ケーブルの)鎧装(がいそう)など・体にぴったり合った女性の衣服
sheath knife	(船員用の)さや付きナイフ
sheathe	〈刃物など〉をさやに納める / (保護物で)〈物〉をおおう,包む《+『名』+『with』(『in』)+『名』》
sheathing	さやに納めること / おおい,被覆
sheave	〈穀物など〉を束ねる
sheaves	sheafの複数形
shebang	〈U〉(計画・事件などの)骨組み,仕組み / 〈C〉丸太小屋,掘っ建て小屋
shebeen	もぐり酒屋;安酒場
shed	〈血・液など〉を『流す』,こぼす / 〈葉・毛・外皮など〉を『自然に落とす』;〈衣服〉を脱ぐ / 〈光・香りなど〉を放つ / 〈布などが〉〈水〉をはじく,通さない / 〈動物などが〉脱毛する,脱皮する / 〈葉が〉落ちる / (物をしまうための)『納屋』,物置;(風雨よけの)…置き場,小屋
sheen	光沢,輝き,つや(luster)
sheep	羊 / 気の弱い人,人に引きずられやすい人
sheepdip	洗羊液(羊の皮布についている害虫を除くための洗液) = sheep-dip
sheepdog,sheep dog	羊の番犬(collieなど)
sheepfold	羊を入れるおり(囲い)
sheepherder	羊飼い,牧羊者
sheepish	まごついた,恥ずかしがる / (羊のように)内気な,従順な
sheepskin	〈U〉羊の毛皮(なめし皮);〈C〉その服 / 〈U〉羊皮紙(parchment) / 〈C〉《米話》卒業証書(diploma)
sheer	(織物などが)『透けるほど薄い』 / 『純然たる』,完全な / 『垂直に近い』,切り立った / 完全に,全く / 垂直に,険しく / 〈特に船が〉針路からそれる,向きを変える《+『away』(『off』)》 / (不快なもの・危険から)離れる,(…を)避ける《+『away』(『off』)『from』+『名』》
sheet	『敷布』(しきふ),シーツ / (紙など薄いものの)『1枚』《+『of』+『名』》 / 印刷物;新聞;(切手の)シート / (火・水などの)『一面の広がり』 / …にシーツをかける,を敷布で包む / …を一面におおう / (船の) 帆脚索(ほあしづな)
sheet anchor	(船の)予備アンカー / 最後のよりどころ,頼みの綱(手段)
sheet lightning	幕状電光(雲に反射して空全体が光る稲光)
sheet music	(とじてない)一枚刷りの楽譜
sheeting	シーツ地 / 板金
sheik, sheikh	(アラビアの)家長,族長 / イスラム教の指導者
sheikdom,sheikhdom	アラブ族長の支配地(管轄地)
sheila	(オーストラリア)若い女,少女(girl) 一般的な女性名(Sheila:語源はラテン語で盲目を意味するCecilia)に由来する
shekel	〈C〉(ヘブライ人の)シケル銀貨 / 《複数形で》《俗》金,現なま
shelf	『たな』 / (がけの)岩だな;(海・川の)砂州,岩礁
shelf life	(在庫商品の)貯蔵寿命
shell	『貝がら』,貝;(甲虫・卵などの)堅い殻(から),(カメなどの)こうら / (種子・果実などの)『堅い外皮』,さや / 殻に似た物;建物の外郭,骨組 / 《比喩(ひゆ)的に》(心を閉ざした)殻,打ち解けない態度 / 砲弾;《米》薬きょう / シェル(一人または二,三人でこぐ競漕用ボート) / 〈貝など〉の殻を取る,〈豆〉のさやを取る / …に弾丸(砲弾)を浴びせる,を砲撃するる
shellac, shellack	セラック(ワニスの原料);セラックニス / …にセラックニスを塗る / 《米》完全に敗北させる
shellacking	完敗,大敗 / 殴打
shellfire	砲火,砲弾
shellfish	〈C〉甲殻類(エビ・カニなど)の総称 / 〈U〉(食物としての)貝,甲殻類
shellshock	爆弾性ショック(戦争の衝撃による自制力・記憶力・視覚などの喪失症)
shelter	〈U〉(雨・風,攻撃などからの)『保護』,避難 / 〈C〉(…からの)『避難所』,隠れ場所《+『from』+『名』》 / (…から)…を『おおい隠す』《+『名』+『from』+『名』》 / (…から)…を保護する,かばう《+『名』+『from』+『名』》 / (…から)『避難する』,避ける,隠れる《+『from』+『名』》
sheltered	(害・危険・苦労などから)隔離された,守られた
shelve	〈物〉をたなに載せる / …にたなをつける / 〈問題など〉をたな上げする,延期する(put off) / 〈坂などが〉なだらかに傾斜する
shelves	shelfの複数形
shelving	たな用材料 / 《集合的に》たな(shelves)
shenanigan	1.(通例複数形で)たわごと,ナンセンス;いたずら 2.ごまかし 偽り
shepherd	〈C〉『羊飼い』 / 〈C〉牧師;(精神的)指導者 / 《the good S-》イエスキリスト / 〈羊〉を飼う,の世話をする;…を見張る / 《方向を表す副詞[句]を伴って》を導く,案内する
shepherd dog	= sheep dog = sheepdog 牧羊犬 羊の番犬
shepherd's pie	シェパードパイ(ひき肉をマッシュポテトの衣で包んで焼いたパイの一種)
shepherd's plaid	白黒碁盤じま模様[の織物]
shepherdess	女の羊飼い
sherbet	《英》シャーベット水(果汁(かじゅう)に水・砂糖などを加えた清涼飲料水) / (またsorbet)《米》シャーベット(果汁に牛乳・卵白などを入れて凍らせたもの)
sherd	=shard 破片 かけら
sheriff	(州(county)または都市の)『長官』(行政のほか儀式的な仕事もする) / 《米》『保安官』(郡(county)で法の施行権限を持つ首席役人)
