shoot the finger	中指だけを立てて相手を侮辱する
shoulder	『肩』;《複数形で》(両肩を含む)上背部 / 《複数形で》(責任・重荷を負う)『双肩』,責任を負う能力 / 『肩に似た部分』;(服の)肩[の部分];(山などの)肩;(道路の)肩 / 肩肉 / …を肩で押す / 〈物〉をかつぐ,背負う / 肩で押す,肩で押し分けて進む
shoulder blade	肩胛(けんこう)骨
shoulder strap	(イブニングドレスなどの)肩ひも;(さいふやバッグなどの)肩にかけるひも / (軍服の)肩章
shouldn't	should not の短縮形
shouldst	=should
shout	『叫ぶ,大声を出す』,どなる《+『out』》 / …を大声で言う,叫ぶ《+『名』+『out,』+『out』+『名』》・『叫び』,大きな呼び声
shouting	叫び[声];かっさい
shove	…を強く(乱暴に)押す / ぐいと押す,突く / ぐいと押すこと,突くこと
shove-ha'penny	コイン突きゲーム(shovelboardの元になったゲーム) = shoveha'penny
shovel	『シャベル』;パワーシャベル / (また『shovelful』)シャベル1杯[分](の…)《+『of』+『名』》 / …をシャベルですくう / (…の中に)〈道など〉をシャベルで掘って作る / …をシャベルですくうようにしてすくう / シャベルを使う
shovelboard	円盤突きゲーム(長い棒で点数表示部分に円盤を突いて入れるゲーム;おもに船上で行われる)
shovelful	〈C〉シャベル1杯分(の量)
show	〈物・姿・感情など〉を『見せる』,示す / …を『示して』(『説明して』)『教える』・…を『明らかにする』,証明する;〈計器などが〉…を示す・《副詞[句]を伴って》〈人〉を『案内する』,導く・…を陳列する;…を展示する;〈映画,劇など〉を上映(上演)する / 見える,姿を見せる・(ある状態に)見える《+『形』〈補〉》(進行形にできない) ・《話》〈人が〉展示会(展覧会)を催す;商品を陳列する;〈映画・劇などが〉上映(上演)される・〈U〉《しばしばa show》『見せること』,表示・〈U〉《しばしばa show》見せかけ・〈U〉《しばしばa show》外観,様子;きざし / ・〈U〉《しばしばa show》見せびらかし,見栄・〈C〉『展示会』,『展覧会』,品評会・〈C〉『見せ物』,興行,ショー,芝居,映画;(ラジオ・テレビの)番組・〈U〉《しばしばa show》《話》機会,チャンス;見込み・〈U〉《しばしばa show》光景,ながめ・〈C〉《話》仕事;物,事
show bill	広告ビラ,ポスター
show business	演芸業,芸能業(演劇・映画・テレビ・ラジオなどの娯楽産業)
show jumping	(馬術の)障害飛越
show window	ショーウインドー(店頭で商品を陳列する窓)
showboat	演芸船,ショーボート(舞台設備を持ち,芸人団を乗せて川沿いの町々を巡業する汽船)
showcase	(店や博物館の)陳列ケース,陳列だな
showdown	最終的決着,和解,どたん場;(もくろみなどを)包み隠さず公表すること
shower	《しばしば複数形で》『にわか雨』,にわか雪(あられ) ・(涙・弾丸・祝福・批判などの)『雨』,(…の)洪水《+『of』+『名』》・《米》共同して金を集めてお祝いのプレゼントを贈ること,祝い品贈呈会(特に結婚や出産を控えた婦人を祝って贈物をするパーティー) ・(また『shower bath』) ・『シャワー』・…に『水を注ぐ』・…を『降り注ぐ』・《itを主語にして》にわか雨が降る・(…に)降り注ぐ《+『on』(『upon』)+『名』》 / シャワーを浴びる
shower bath	シャワー装置 シャワー室
showery	にわか雨の多い
showgirl	ショーガール(ミュージカルやナイトクラブに出演する踊り子)
showily	はでに,これ見よがしに,見せかけとして
