spilt	spillの過去・過去分詞
splash	(…に)〈水・泥(どろ)など〉を『はねかける』,はね散らす《+『名』〈水・泥〉+『on』(『over』)+『名』》・(…に)〈水など〉を『まく』,かける《+『名』+『on』(『over』)+『名』》 / (水・泥などを)〈人・物〉に『はねかける』,はねかけてぬらす(汚す)《+『名』+『with』+『名』〈水・泥〉》 / 〈水・泥などが〉〈人・物〉に『はねかかる』,を汚す / 《話》(新聞などが)…をはでに扱う / 『水』(『泥など』)『をはね散らす』 / (…に)しぶきをあげて飛び込む《+『into』+『名』》;水(泥など)をはね散らしながら(…を)進む《+『across』(『down』,『up』,『through』)+『名』》 / (…に)〈液体が〉『飛び散る』,しぶきとなって飛ぶ《+『on』(『over』)+『名』》 / 〈宇宙船が〉(…に)着水する《+『down』+『名』》 / (水などを)『はね散らすこと』;(泥などの)『はね』《+『of』+『名』》 / 『はね散らす音』,バシャン(ザブン,ザブザブ)という音 / (はねてついた泥などの)『しみ』;(黒・白などの)斑点(はんてん)《+『of』+『名』》 / 《話》(新聞などの)はでな扱い / ザブンと音をたてて
splashdown	(宇宙船の)着水
splashy	はねを上げる(上げやすい) / 斑点(はんてん)(しみ)だらけの / 《おもに米》評判の,はでな,目立つ
splat	(いすの背の)薄板,背板 / (水などをはねかえすときの)ジャブジャブ(バチャバチャ)という音
splatter	〈水・泥などが〉はねかかる / 〈水・泥など〉をはねかける / はね散らす(飛び散る)こと(音)
splay	外側へ広がった(開いた) / ぶざまな,ぶかっこうな / 斜面,隅切り(窓や扉の両側面の壁が傾斜した部分) / …を広げる,伸ばす / …を斜めにする;〈窓や扉[の壁面]〉に斜角をつける
splayfoot	扁平(へんぺい)足(flatfoot)
splayfooted	扁平足の
spleen	脾臓(ひぞう) / 〈U〉不きげん,かんしゃく
splendid	『壮麗な』,華やかな,豪華な / (名声・勝利などが)『目ざましい』,りっぱな,輝かしい / 『すてきな』,結構な,申し分ない(excellent)
splendidly	壮麗に,華やかに,豪勢に / 目ざましく,りっぱに / とても,申し分なく(excellently)
splendiferous	すばらしい,豪華な,見かけ倒しの
splendor,splendour	『輝き』,光輝(brilliance) / 『壮麗』,豪華,壮観 / 栄光,栄誉
splenetic	脾臓(ひぞう)の / 気むずかしい,怒りっぽい,意地の悪い
splenic	脾臓(ひぞう)の,脾臓を冒す
splice	〈綱などの端と端と〉を組み(より)継ぎする;〈材木など)を重ね継ぐ,〈フィルム・テープ〉をつなぐ / 《受動態で》《話》〈二人〉を結婚させる / (綱の)より継ぎ;(材木の)重ね継ぎ;(フィルム・テープの)接合 / より(重ね継ぎ目
splicer	スプライサー(フィルム・録音テープなどの接合器)
splint	(接骨用)添え木 / (かごなどを編む)へぎ板
splinter	(木・石などのとがった)裂片,破片(sliver) / 〈木・ガラスなど〉を裂片にする,割って粉々にする《+『名』+『off』,+『off』+『名』》 / 裂片(破片)になる《+『off』》
splinter group	(党からの)分離派
splinter proof	(ガラスなどが)割れない,防弾の
splintery	裂けやすい,割れやすい / 破片の多い;破片のような
split	…を『縦に割る』,裂く / …を分割する,ばらばらに分ける / 〈利益など〉を『分配する』,分け合う;〈費用など〉を分担する《+『up』+『名』,+『名』+『up』》 / 『割れる』,裂ける / 『壊れる』,砕ける,破裂する;(部分などに)分かれる,分裂する《+『up』》;(…と)けんかする《+『with』+『名』》 / (急いで)去る,帰る(leave);姿を消す / (…の)割れ(裂け)目;ひび《+『in』+『名』》 / 仲間割れ,分裂 / 分け前 / 《しばしば複数形で》(曲芸などの)大股(おおまた)開き / (ボウリングで)スプリット(残ったピンが離れていてスペア(spare)を取りにくい形になること) / 《話》(ソーダ・アルコール飲料などの)小びん / (縦に)裂けた,割れた / 分裂した,分割された
split infinitive	分離不定詞(toの付いた不定詞の間に副詞語句がはさまった形)
split personality	二重人格
split ring	(キーホルダー用などの)割りリング
split second	《a ~》一瞬間
split-level	一つの階が段違いになった,中二階のある / 各階が段違いになった建物
splitting	(頭痛などが)割れるような
splotch (splodge)	大きなぶち;しみ,汚れ / …に大きな斑点(はんてん)をつける,汚れ(しみ)をつける
splotchy	汚れ(しみ)のついた;大きな斑点のある
splurge	(…に)湯水のように金を使う《+『on』+『名』》 / やたらに金を使うこと,散財
splutter	(混乱して)早口でしゃべる / 〈物が〉パチパチ(ジュー)と音を立てる / (混乱して)…を早口で言う《+『out』+『名』,+『名』+『out』》 / パチパチ(ジュー)という音
spoil	〈物事〉を『だいなしにする』,損なう / 〈子供など〉を『甘やかしてだめにする』,増長させる / 《古》(…を)…から奪う《+『名』+『of』+『名』》 / 〈物が〉『だいなしになる』,だめになる / 〈C〉《複数形で》『略奪品』,強奪品,戦利品 / 〈C〉《複数形で》《おもに米》(政権をとった政党が支持者に与える)利権,役職 / 〈U〉(採鉱・発掘などの際に廃棄される,土・石などの)くずもの
spoilage	だめにする(なる)こと,損傷;(食物の)腐則 / 損傷した物;損傷した額
spoiler	〈C〉ネタバレ(映画・本などの内容を事前に明かすもの) / スポイラー(車の空力装置) / 邪魔をする人・物
spoils system	猟官制度(政権を取った政党が支持者に利権などを与える慣習)
spoilsport	他人の楽しみをだいなしにする人
spoilt	spoilの過去,過去分詞
spoke	speakの過去 / (車輪の)輻(や),スポーク / 輪止め / (はしごの)段
spoke shave	なんきん鉋(かんな)(曲がった部分を削る大工道具)
spoken	speakの過去分詞 / 『口で言う』,口頭の(oral) / 口語の(colloquial) / 《ハイフンをつけ複合形容詞を作って》口先(話しぶり)が…な
spokesman	スポークスマン,代弁者
spokeswoman	女性スポークスマン
spoliation	強奪,略奪
spondee	(古典詩の)長々格(‐‐);(英詩の)強々格(**)
sponge	〈C〉『海綿動物』 / 〈C〉〈U〉『海綿』,スポンジ;(一般に)海綿(スポンジ)状の物 / 〈C〉《比喩(ひゆ)的に》(海綿のように)何かをふんだんに吸収する人(物) / 〈C〉《話》いそうろう,食客 / 〈C〉〈U〉(外科手術用の)ガーゼ帯 / …を海綿(スポンジ)で洗う(ぬらす,ふく) / 〈液体〉を海綿(スポンジなど)で吸い取る《+『up』+『名,』+『名』+『up』》 / 《話》…をせびり取る;…にせびる / 〈海綿などが〉液体を吸収する / 《話》(人に)たかる《+『on』(『upon, off』)+『名』〈人〉》
