string band	弦楽団
stroke	(こぶし・武器・金づちなどの)『一打ち』,一撃,打刻《+of+名》 / 《単数形で》(運の)巡り合わせ《+of+名》 / 《単数形で》(…の)ひと仕事,ひと働き;みごとな成果《+of+名》 / (鐘・時計などの)『打つ音』《+of+名》 / (時計などが打って示す)時刻 / (繰り返される動作・運動の)『一動作』,一行程 / (ペン・鉛筆・筆などの)ひと筆,ひとなで;筆の運び,筆致 / 卒中 / (ゴルフ・テニスなどの)一打ち,ストローク / (心臓などの)一打ち,鼓動,脈搏 / (ボートの)整調[手] / 〈ボート〉の整調をこぐ / 《副詞[句]を伴って》〈ボール〉を打つ / 〈髪・動物など〉をなでる,さする / 〈人〉をなだめる《+名+down, down+名》 / 一なで,一さすり
stroll	『ぶらぶら歩く』,散歩する / …をぶらぶら歩く,ぶらつく / 『ぶらぶら歩き』,散歩
stroller	散歩する人;放浪者 / 《米》(折りたたみ式)うば車(《英》pushchair)
strolling	ぶらつく;(音楽家・詩人などが)放浪の
strong	(身体的に)『力の強い』 / (身体が)『じょうぶな』,健康な / 勢力(権力)のある,有力な / (物が)『がんじょうな』,堅固な / (精神的・道徳的に)『強い』 / 説得力のある,効果的な / (味・においが)いやな,不快な / (動きが)激しい,速い / (程度が)強い,強烈な,濃い / アルコール分の多い / 《数詞の後に用いて》…の人員の / 強く,強力に;激しく,盛んに
strong form	強勢[形](発音ではっきり・強く発音されたときの形)
strong language	ののしり,悪口
strong room	(銀行などの)金庫室,貴重品室
strong-arm	腕力(暴力)を用いる,力ずくの / …に暴力をふるう / …から力ずくで奪う
strong-minded	(信念・願望など)決然とした,断固とした
strongbox	金庫,貴重品入れ
stronghold	とりで,要さい(fort) / (思想・活動などの)本拠[地],拠点《of+名》
strongly	『強く』,激しく / 熱心に
strongman	強力な政治的指導者,専制者
strongpoint	長所,強み
strontium	ストロンチウム(金属元素;化学記号は Sr)
strontium90	ストロンチウム90(核分裂生成物中に含まれる有害物質)
strop	(かみそりをとぐ)皮砥 / 〈かみそり〉を皮砥でとぐ
strophe	(自由詩の)節,連 / (古代ギリシア悲劇で)舞踊隊が右手から左手に移動するときに歌う合唱歌
strove	strive の過去
struck	strike の過去・過去分詞
structural	構造[上]の,構成[上]の,組織[上]の / 建築[用]の
structuralism	構造主義
structure	〈C〉(建物・橋などの)建造物 / 〈U〉(…の)構造,組成,組織《+of~名》 / 〈C〉構造(構成)体,組織体 / 〈思想など〉を組み立てる,組織化する
strudel	シュトルーデル(果物などを薄いパンに巻いて焼いたドイツ菓子)
struggle	『もがく』,あがく / 『戦う』,奮闘する / 《a~》『非常な努力』,奮闘 / 『戦い』,闘争
strum	〈弦楽器・曲〉を気ままに弾く,つまびく,かき鳴らす / (…を)気ままに弾く,つまびく《+on+名》 / つまびき[の音]
strung	string の過去・過去分詞
strut	(人目を意識して)気どって歩く,そりかえって歩く / 気どり歩き / (建物の)支柱,筋かい / …に支柱をかう
strychnine	ストリキニーネ(有毒の結晶で中枢神経の興奮剤)
stub	(鉛筆・たばこなどの)使い残り;短い切れ端,(木の)切り株 / (小切手帳などの)控え;《米》(入場券などの)半券 / (…に)〈つま先〉をぶつける《+名+against+名》
stubble	《集合的に》(刈り取り後の鼻などの)刈り株 / 刈り株状の物;無精ひげ
stubbly	刈り株の;刈り株のような
stubborn	(人が)『がん固な』,強情な / (意志・行動などが)『断固とした』,不屈の / (物が)『取り扱いにくい』,
stubbornly	がん固に,強情に,確固として
stubbornness	がん固さ,強情,不屈
stubby	短くて太い,ずんぐりした / (毛などが短くて)ごわごわの / 切り株(刈り株)でおおわれた
stucco	〈U〉化粧しっくい / 〈C〉化粧しっくい細工 / …に化粧しっくいを塗る
stuck	stick の過去・過去分詞 / 動かない,固定している,粘着している / 動けない,(支障があって)進行が止まっている・「stuck on 何々」で「何々に夢中になっている・惚れ込んでいる」
stuck-up	つんとしている,思い上がった,うぬぼれた・高慢な
stud	《おもに米》種馬 / 《集合的に》(一群の)繁殖用動物(種馬,種牛など) / (インテリアなどに用いる)飾りびょう / カフスボタン,カラーボタン / (建物の)間柱 / (…を)…にちりばめる《+名+with+名》 / …に点在(散在)している / …に間柱をつける
stud farm	種馬飼育場
stud.	student
studbook	(馬の)血統台帳,血統登録帳
studding	(一つの壁の)間柱 / 間柱用材
student	学生,生徒 / (…の)『研究者』,学者《+of+名》
student activist	学生活動家
student union	(大学などの)学生クラブ / (キャンパス内の)学生会館
studied	熟慮した / わざとらしい,故意の
studio	(画家・写真家などの)『仕事場』,アトリエ / (音楽・ダンス・演技などの)練習場 / 《しばしば複数形で》『映画撮影所』,スタジオ / (ラジオ・テレビの)『放送室』,放送スタジオ
studio apartment	台所・ふろ付きの一部屋のアパート
studio audience	ラジオ・テレビ番組のスタジオの観客
studio couch	寝台兼用ソファー
studious	勉強好きな,学究的な / 慎重な,熟考した,念入りの / 熱心な,努力する
study	〈U〉(一般に)『勉強』,学習すること / 〈C〉(…の)勉強,研究《+of+名》 / 〈C〉〈U〉(…の)『綿密な調査』,検討《+of+名》 / 〈C〉研究対象(問題,事項);学科 / 〈C〉『書斎』,勉強部屋 / 〈C〉(美術・文学などの)習作,試作,スケッチ,(音楽の)練習曲,エチュード / …を『勉強する』,学ぶ,研究する / …を『よく注意して見る』,しげしげと見る / …を『調査する』,検討する / …を考慮する,配慮する / 〈せりふなど〉を覚えようとする / 『勉強する』,学ぶ,研究する
stuff	『材料』,原料,資料 / 《話》(ばく然と)『物』 / 素質,本領 / くだらないもの(こと);ばかげた考え / 《古》布地 / (…を)〈入れ物・車など〉に『詰める』,詰め込む《+名+with+名》 / (入れ物などに)…を『押し込む』《+名+into+名》 / (…で)〈穴など〉をふさぐ《+up+名+with+名》 / 《しばしば受動態で》《話》(食物を)〈自分,自分の腹〉に詰め込む / (料理の材料で)…に詰め物をする《+名+with+名》 / (剥製にするため)〈死んだ動物〉に詰め物をする / 〈投票箱〉に不正票を入れる / たらふく食べる
stuffed shirt	もったいぶった人
stuffily	堅苦しく
stuffiness	風通しの悪いこと,換気の悪さ
stuffing	(枕などの中に入れる)詰め物 / (料理で鳥などの中に入れる)具
stuffy	風通しの悪い,むっとする / (鼻が)詰まった / 堅苦しい,融通のきかない,たいくつな / 《話》不きげんな;すぐ腹を立てる / 《おもに英》古くさい,旧式の
stultification	だいなしにすること;ばからしく(無意味に)見せること / (法律で)精神異常による無能力の申立て
stultify	〈精神など〉をだめにする,鈍らせる / …をばからしく見せる,無意味にする
stumble	(…に)『つまずく』,とろける《+over(on)+名》 / 《副詞[句]を伴って》『よろめきながら歩く』,よろよろする / 『どもる』,とちる;(言葉に)つかえる《+over(at)+名》 / 《文》まちがいをする,へまをする;(道徳的な)過ちを犯す / (…を)偶然見つける《+on(upon, across)+名(doing)》 / つまずき,よろめき / まちがい,へま
stumbler	つまずく人,よろめく人,よろよろ歩く人
stumbling block	障害物,じゃまもの(obstacle)
stumblingly	よろよろしながら / つかえながら
stump	(木の)『切り株』 / (一般に主要部分を除いた)『残部』,残片;(特に手足の)切れ残り / (政治演説の)演壇[米国で開拓時代に切り株を演壇に用いたことから] / 《話》〈人〉を困惑させる,困らせる,閉口させる / 《副詞[句]を伴って》ぎごちなく(重い足どりで)歩く,ドタドタ歩く / 政治演説して回る,遊説する
stumper	切り株を除く人(物) / 難問,難題 / 《米話》選挙演説家,遊説家
stumpy	切り株の多い,切り株だらけの / 太くて短い,ずんぐりした
stun	(殴打などで)…を気絶させる / (驚き・時に喜びなどで)〈人〉の肝をつぶさせる,をぼう然とさせる(amaze)
stung	stingの過去・過去分詞
stunk	stinkの過去・過去分詞
stunner	すばらしいもの;すてきな人(特に,美人)
stunning	気絶させるような / すごくすてきな,すばらしく美しい
stunt	…の発育(成長)を妨げる;〈成長・発展など〉を妨げる / 妙技,離れわざ;曲乗り飛行 / 人気取り / 離れわざをする
