seasickness	船酔い
secure	『安定した』,確実性のある,保証されている / 『安全な』 / 心配(疑い)のない / (土台などが)どっかりした,固定した / 《文》(特に努力して)…を『手に入れる』,獲得する / (危険・被害・損失などから)…を『守る』,保護する《+『名』+『from』(『against』)+『名』》 / (…に)を『固定させる』,しっかり留める《+『名』+『to』+『名』》 / 〈結果など〉をもたらす,確実にする
securely	安全に;安心して;しっかりと
security	〈U〉『安全』,無事(safety) / 〈U〉『安心』 / 〈U〉(犯罪・被害などに対する)警備,防衛(保護)手段《+『against』(『from』)+『名』》 / 〈U〉〈C〉(…に対する)担保,抵当[物件]《+『for』(『against』)+『名』》 / 〈C〉《複数形で》株券,有価証券
security blanket	幼児が安心感を得るためにたえず手にしている毛布(布など)
security risk	(治安上の)危険人物
secy.,secy	secretary
sedan	《米》セダン(2ドアまたは4ドアの箱型の自動車) / =sedan chair
sedan chair	(17‐18世紀の)いすかご(2本の棒がついていて前後でかついで運ぶ)
sedate	落ち着いた,もの静かな,穏やかな / (鎮静剤で)〈人〉を落ち着かせる,眠らせる
sedation	(鎮静剤で)落ち着かせること,鎮静状態
