archeologist	=archaeologist
armor,armour	『よろい』,よろいかぶと / (軍艦・戦車などの)装甲,装甲用鋼板 / (うろこ・殻などの)保護器官 / …によろい[かぶと]をつける,装甲する
armor-clad, armour-clad	装甲したよろいに身を固めた
armored car	(軍用の)装甲車
armored,armoured	武装した,装甲の
armorer,armourer	(昔の)武具師;(今の)兵器工 / 兵器係,武器管理係
armorial	紋章の
armory	兵器庫 / 《米》造兵廠(しょう),兵器工場 / (特に予備役・州軍の)部隊本部
armour	《英》=armor
armpit	わきの下《形容詞的に》『armpit hair』 / わき毛
armrest	(いすなどの)ひじ掛け
arms	兵器, 武器, 火器
arms race	(国家間の)軍備拡大競争
army	《ときにA-》『陸軍』 / 《the~;the A-》軍隊;(一国の全)軍隊 / (共通の主義・主張のために組織された)(…の)『団体』,集団《+『of』+『名』》 / (人・動物などの)大群《+『of』+『名』》
army ant	軍隊アリ(熱帯に生息し,大群をなして移動し節足動物を捕食する)
army corps	軍団
army list	英軍の任官将校公簿
armyworm	ヨトウムシ(夜盗蛾の幼虫;農作物害虫)
arnica	〈C〉アルニカ(キク科の植物) / 〈U〉アルニカチンキ(アルニカの花・根を原料とする打撲・捻挫(ねんざ)の治療液)
