actualize	…を実現する;…を行動に表す
adlib	〈楽譜にないもの〉を即興的に歌う(演奏する),〈台本にないせりふ〉を即興的にしゃべる / 即興的に歌う(演奏する,しゃべる) / 《名詞の前にのみ用いて》即興の,アドリブの / アドリブで,即興で / アドリブ,即興的な演奏(演技,せりふ)
adman	広告業者,広告会社社員
admass	(社会悪となっている)マスコミ広告;(その影響下の)マスコミ社会
administer	…を管理する / (薬・援助など)を与える / (罰・非難など)を加える / …を施行する
administrate	=administer
administration	〈U〉『行政』,統治 / 〈U〉『管理』,経営 / 〈C〉行政機関(省,庁,局など);《the A-》《米》連邦政府(《英》the Government) / 《総称して》(大学・団体などの)管理者側,当局者,教務部 / 〈U〉(裁き・処罰・法令・儀式などの)執行,施行
administrative	『行政上の』;『管理の』,経営の
administrator	為政者,行政官 / (遺産としての不動産の)管理者
admirable	賞賛に値する,感心する,りっぱな
admirably	りっぱに,みごとに
admiral	(海軍・艦隊の)『司令長官』 / 海軍将官,提督 / アカタテハチョウ
admiralty	《the A-》《英》海軍省 / 〈U〉海事法
admiration	〈U〉(…に対する)『賞賛』,感嘆,賛美《+『for』(『of』)+『名』》 / 《the ~》(…の)賞賛(感嘆)の的《+『of』+『名』》
admire	…に『感嘆する』,感嘆して見とれる,を賞賛する
admirer	(…の)賞賛者;(特に美人を)敬慕する人《+『of』+『名』》
admiring	感嘆する,賞賛する
admissibility	《しばしばthe ~》許容,容認;許容できること
admissible	(理由・計画・証拠などが)受け入れられる / (地位に)つく資格がある《+『to』+『名』》
admission	〈U〉(場所・学校・会などへ)『入ることを許すこと』,入場(入学,入会)許可,(…へ)入る権利《+『to』+『名』》 / 〈U〉(…への)入場料,入学(入会)金《+『to』+『名』》 / 〈C〉(事実・誤りなどを)認めること,白状,容認
admission office	入学事務室または入学者募集事務室
