ampere	アンペア(電流の強さの単位;《略》amp.)
analogue, analog	類似物,相似物
analogy	(…間の)類似《+『between』+『名』》,(…との)類似《+『to』(『with』)+『名』》 / (論理・言語などの)類推
analysand	精神分析を受けている患者
analyse	=analyze
analysis	(内容・状況などの)『分析』,分解;(詳細な)検討 / (化学・物理で)分析;《米》(心理学で)[精神]分析;(数学で)解析
analyst	(状況などの)分析者,解説者 / (科学・経済・政治の)分析者 / 《米》精神分析家(医)(psychoanalyst)
analytic geometry	解析幾何学
analytic, analytical	分析的な,分解的な,解析的
analyze,analyse	〈状況など〉を『分析する』,詳細に検討する / 〈物質など〉を(…に)『分析する』,分解する《+『名』+『into』+『名』》;(数学で)…を解析する / 《米》〈人〉を精神分析する(psychoanalyze) / 〈文〉を[文法的に]分解する
anapest,anapaest	(英詩の韻律で)弱弱強格(弱音節二つのあとに強音節一つがくる)
anapestic	(英詩の韻律で)弱弱強格の;(古典詩で)短短長格の
anarchic, anarchical	無政府の;無政府主義的な,無政府状態の
anarchism	無政府主義
anarchist	無政府主義者(国家権力や強制を否定する政治思想を持つ人)
anarchistic	無政府主義[者]の;《軽べつして》破壊主義[者]の
anarchy	無政府[状態] / 無秩序,混乱(disorder)
anastomosis	(血管・神経の)吻合(ふんごう),接合 / (葉脈の)網状連絡
anat.	anatomical / anatomist / anatomy
anathema	(宗教上の)破門 / 呪(のろ)い;呪われた人(物);ひどくきらわれる人(物)
anathematize,anathematise	〈人・物〉を呪う / (教会で)…に破門を申し渡す
anatomic, anatomical	解剖の;解剖学上の;解剖組織上の
anatomist	解剖学者
anatomize	〈動植物〉を解剖する(dissect) / 〈状況など〉を詳細に分析する,分析検討する
anatomy	〈U〉解剖学,解剖論 / 〈U〉〈C〉(動植物の)解剖 / 〈C〉(動植物の)構造,組織;人体
anc.	ancient
ancestor	(一人の)『先祖』,祖先(forefather) / (事物の)原型,先駆 / (生物の)原型種
ancestral	祖先の;先祖伝来の
ancestress	(女性の)祖先
ancestry	《集合的に》先祖,祖先(ancestors) / 家系,家柄(lineage) / (事物の)起源,発達史
anchor	『いかり』(錨) / (いかりのような)固定装置 / 頼みの綱 / (またanchorman)リレーの最終走者(泳者),アンカー / 〈船〉をいかりで留める,停泊させる / (一般に)(…に)…を留める,固定する《+『名』+『to』+『名』》 / (…に)〈希望など〉をつなぐ《+『名』+『in』(『on』)+『名』》 / 〈船が〉いかりを降ろして停泊する;〈人が〉いかりを降ろして船を停泊させる
anchorage	〈C〉停泊地,投びょう地 / 〈C〉〈U〉留める(固定する)もの / 〈C〉停泊料(税)
anchoress	女性隠者
anchorite	隠者,世捨て人,隠世者(hermit)
anchorman	=anchor4 / (テレビ・ラジオで)多元ニュース解説者 / 頼みになる人,大黒柱
anchovy	アンチョビー(地中海で取れる小魚で,食用)
ancien régime	(フランス革命以前の)旧体制,旧制度
ancient	『古代の』,大昔の(特に476年の西ローマ帝国滅亡以前をいう) / 古来の / 古代人
ancillary	付属の,補助の;(…に)付随する《+『to』+『名』》
and	《語・句・節を対等に結んで》…『と』…,…や…,および / 《数詞を結合して》…『足す』…,…に加えて / …『しかも』…,…して,同時に… / 《時間的に》『そして』,それから,すると(and then) / 《当然の帰結として》…『ので』,…だから(and so) / 《おもに話》《命令文などの後で》『そうすれば』,そうしたら / 《追加・強調して》それに,しかも / 《対照的な内容を導いて》ところが,しかし(but) / 《譲歩的に》それなのに,それでいながら / 《A and Bで一体の関係を表して》《単数扱い》 / 《同一語を反復して多数・継続などを表して》 / 《同一の複数名詞を結合して変化・種類などを表して》 / 《話》《「形容詞+and+形容詞」の形で前の形容詞が後に副詞的に働く》 / 《話》《「動詞come, goなど+and+動詞」の形でandとその後の動詞が不定詞の働きをして》 / 《「動詞+and+動詞」の形で後の動詞が現在分詞の意を表して》 / 《話》《文頭において前の質問・意見などに同意を示して》そうとも,そして(Yes! and) / 《話》《文頭に置いて驚き・疑念・非難などを表して》ほんとうに;…なのに
and/or	…および…またはいずれか
andante	(音楽の演奏の指示で)アンダンテ,ゆるやかに(な) / アンダンテの楽章(楽曲)
andantino	(音楽の演奏の指示で)アンダンティーノ(アンダンテ(andante)よりやや速い) / アンダンティーノの楽章(楽曲)
andiron	(炉の)まき載せ台
androgen	アンドロゲン(男性ホルモン)
androgenic	アンドロゲンの
androgynous	(植物が)雌雄両花のある / 雌雄両性の
androgyny	雌雄同性(同体)
