Anglophobia	(外国人の)英国ぎらい
Aryan	アーリア人の;アーリア語族の / アーリア人(印欧語を話した先史時代の民族の一員) / アーリア語族(インドヨーロッパ語族の古称) / (ナチス用語で)非ユダヤ系のコーカソイド人
As	arsenicの化学記号
Ascension Day	キリスト昇天祭(復活祭から40日目の木曜日)
Ash Wednesday	聖灰水曜日,灰の水曜日(四旬節(Lent)の第1日;カトリックではこの日にざんげする者の頭に灰をまいた)
Asia	『アジア』
Asia Minor	小アジア(黒海と地中海の間の半島地域で,トルコの大部分を占める)
Asian	『アジアの』,アジアに住む人々の / 『アジア人』
Asiatic	=Asian
Assyria	アッシリア(アジア南西部にあった古代帝国)
At	astatineの化学記号
Atalanta	アタランタ(ギリシア神話の足の速い女性で,彼女と競走して負けた求婚者は皆殺されたという)
Athena,Athene	アテネ(ギリシア神話の知識・芸術・戦争の女神;ローマ神話のミネルバ(Minerva)にあたる)
Athenian	アテネの;古代アテネ文化の / アテネ人
Athens	アテネ(ギリシアの古代都市;現在は首都)
Atl.	Atlantic
Atlanta	アトランタ(米国Georgia州の州都)
Atlantic	『大西洋の』 / 《the ~》『大西洋』
Atlantic Ocean	《the ~》『大西洋』
Atlas	アトラス(天を肩にになうという罰を受けた大力のギリシア神話の神;メルカトルの地図書の巻頭に,この神の絵をつけたことから地図書をatlasと呼ぶようになった) / 〈C〉アトラス(米空軍の大陸間誘導弾)
Atropos	アトロポス(ギリシア神話の運命の三女神のひとり)
Att.Gen.	Attorney General
Attic	アッチカ(Attica)の,アテネ(Athens)の / 古典ふうの,典雅な / アッチカ人,アテネ人;〈U〉アッチカ方言
Attica	アッチカ(古代ギリシアの一地方;その中心はAthensであった)
Atty.Gen.	Attorney General
Au	goldの化学記号
Aug.	August
August	『8月』(《略》『Aug.』) / 《形容詞的に》『August heat wave』{名}〈C〉8月の熱波『August vacation』{名}〈C〉8月の休暇
Augusta	オーガスタ(米国Maine州の州都)
