aerodrome	《英》=airdrome
aftermost	(船の)最後部の / 最後の
afternoon	『午後』(正午から日没まで) / 午後の
afternoons	《米》午後,昼下がり(の時間)
afters	《英話》食後のデザート(菓子など)
aftershave	ひげ剃り後につける化粧水(ローション)
aftertaste	(口に残る)あと口,あと味 / (特に不快な経験・でき事などの)あと味
afterthought	後から思いついた考え,付け足しの考え,補足
afterward, afterwards	『あとで』,以後,その後
again	『再び』,もう一度(once more);《否定語とともに用いて》二度と(…しない) / 『また元の所へ』,元のように / さらにそれだけ,…の倍も / 《しばしばthen, and thenに続いて》その上に(besides),さらに(furthermore) / 《しばしばand, and thenに続いて》また一方,ところが
against	…『に対して』,に逆らって(in opposition to);…に不利に / 《保護を表す動詞と共に》…『から』 / …『にぶつかって』,に向かって / …『にもたれて』,に寄りかかって / (災難・事故・万一の場合など)『に備えて』,を避けるように / …『を背景として』,と対照して / …と交換に,と引き換えに
agape	(驚き・不信などで)あっけにとられて,唖然(あぜん)として / 《補語にのみ用いて》あっけにとられた,ぽかんとした / (神の)愛;(キリスト教徒間の)兄弟愛
agar	寒天;(細菌の培養などに用いる)寒天培地,寒天培養基
agate	〈U〉メノウ(石英の一種;美しい模様がある) / 〈C〉メノウ製の(またはメノウに似せた)ビー玉
agave	アガベ(竜舌蘭の一種)
agcy.	agency
age	〈U〉(一般に)『年齢』,寿命;〈C〉(個々の)『年齢』,年 / 〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳) / 〈U〉『老齢』;《集合的に》老人たち / 〈U〉(人生の)『一時期』;〈C〉世代(generation) / 〈U〉〈C〉《しばしばA-》(歴史上の)『時代』 / 〈C〉《話》長い間 / 年をとる,ふける;〈物が〉古くなる / 〈年〉をとらせる;〈物〉を古びさせる
