accustomed	慣れた,〜に慣れる
acorn squash	どんぐり形をした冬カボチャ。形がどんぐりに似ており,アメリカ原産の品種。
acoustic	音響の;聴覚の / (特に楽器が電気的に増幅・変化されていない)自然音を出す
acoustics	《単数扱い》音響学 / 《複数扱い》(劇場などの)音響効果
acquaint	〈人〉に…を知らせる,告げる《acquaint 人 with … / acquaint 人 of …》
acquaintance	〈C〉(それほど親密ではない)『知り合い』,知人 / (またacquaintanceship)〈U〉《時にa~》( …を)『知っていること』,(…の)知識《+『with』+『名』》
acquaintanceship	=acquaintance 2
acquiesce	(…に)いやいやながら従う,黙従する《+『in』+『名』》
acquiescence	黙認,甘んじて受け入れること
acquiescent	黙認の,甘受する
acquirable	取得(習得)できる
acquire	(不断の努力・習慣などで)…を『習得する』,身につける / 〈財産・権利など〉を手に入れる,取得する
acquired taste	《通例単数形で》習い性となったもの,後天的な好み
acquirement	〈U〉(不断の努力・習慣などによって)(…を)取得(習得)すること《+『of』+『名』》 / 〈C〉《しばしば複数形で》(身につけた)学識,技能
acquisition	〈U〉(…を)取得(習得)すること《+『of』+『名』》 / 〈C〉取得したもの;(…に)加わったもの(人)《+『to』+『名』》
acquisitive	欲ばりの;(…を)ほしがる,得たがる《+『of』+『名』》
acquit	(…について)〈人〉に無実(無罪)を宣告する,〈人〉を放免する《+『名』〈人〉+『of』(『on』)+『名』》
acquittal	無罪放免,釈放,免訴
acre	『エーカー』(面積の単位;約4,047平方メートル) / 《複数形で》田畑,土地
acreage	エーカー数,面積
acrid	(舌・鼻に)刺激のある,ひりひりする / (言葉・態度・気質が)しんらつな,とげとげしい
acrimonious	(言葉・態度・気質が)厳しい,しんらつな
acrimony	(言葉・態度・気質などの)厳しさ,しんらつさ
acrobat	軽業師,曲芸師,綱渡り芸人
acrobatic	軽業的な,曲芸的な
acrobatics	軽業(曲芸)の演技 / 《単数扱い》軽業(曲芸)の技術
acronym	かしら文字語(数語の最初の1字を組み合わせた語;通例は普通の名詞のように発音される;『NATO』=North Atlantic Treaty Organization)
acrophobia	高所恐怖症
acropolis	〈C〉(古代ギリシア都市の)城さい / 《the A-》アクロポリス(アテネの昔の城さいでパルテノン(Parthenon)神殿その他の遺跡がある)
across	《come,go,swimなどの移動を表す動詞と共に》 / (川・道路など幅があって長いもの)『を横断して』 / (線など比較的幅のない長いもの)『を越えて』 / 《be動詞や状態を表す動詞と共に,1における移動後の位置や状態を表して》…『の向こう側に』 / …『と交差する形で』,と交差するように / 『横断して』;越えて / 向こう側に / 《文》『交差して』 / (通例幅のある長いものの)『さし渡し』…,幅…
across-the-board	全員に行き渡る(適用される) / (競馬で)どれかに当たるようにかける
acrostic	折り句(行の初めの文字を並べるとある意味をなすもの)
acrylic	=acrylic resin / (画家用の)アクリル絵の具
acrylic fiber, acrylic fibre	アクリル繊維
acrylic resin	アクリル樹脂(熱可塑性の透明な樹脂)
act	『行い』,『行為』 / 《しばしばA-》法令,条令 / 《しばしばA-》(芝居の1つの)『幕』;(演芸などの)出し物の一つ / (見せかけの)お芝居,演技 / 『行動する』,行う / 《様態を表す副詞[句]を伴って》わざとふるまう,見せかける / 〈人・物が〉(…として)動く,役割をはたす《+『as』+『名』》 / 〈薬が〉『作用する』,きく / 舞台に立つ,出演する / 〈…の役〉を『演ずる』;〈劇〉を上演する / …にふさわしくふるまう / …に見せかける,のふりをする
actin	アクチン(筋肉生成に役立つ純蛋白質の一種)
acting	代理の,臨時の / 演出用の / 演出,演技
actinic	(日光の)紫外線に関する; (化学的に)作用する
actinide series	《the ~》アクチニド系列(原子番号89から103までの放射性元素)
actinium	アクチニウム(放射性元素;化学記号Ac)
action	〈U〉『行動』,活動;精力的な活動 / 〈C〉『行為』,行い;《複数形で》『日常の行動』,ふるまい / 〈U〉〈C〉(人間・馬などの)身ぶり,動作,所作 / 〈U〉(身体諸器官の)働き / 〈U〉(機械などの)『働き』,機能;(薬・化学薬品などの)『作用』 / 〈U〉〈C〉戦闘(battle) / 〈C〉(銃・ピアノなどの)アクション,作動装置 / 〈C〉訴訟 / 〈U〉(劇・物語の)本筋,筋の運び
action painting	無形象画(絵具をカンバスなどに投げたり流したりして表現する前衛的な抽象絵画)
action stations	(兵士・水兵などへの命令で)戦闘配置につけ
actionable	起訴できる
activate	…を活動的にする / …に活性化する
activated carbon	活性炭(脱色・防毒・げり止めなどに用いる)
activation	活動化 / (物質の)活性化(化学反応を起こしやすくすること)
active	『活動的な』,活発な,活気のある / 『有効な』,(薬の効力などが)まだ働いている,機能している / (軍務で)現役の / 『積極的な』,実際的な / 能動態の
active voice	《the ~》能動態
actively	活発に;積極的に
activism	(社会的・政治的な)積極的行動主義,活動主義
activist	(特に政治信条の)積極行動主義者,実践主義者
activity	〈U〉『活動』,働き;活力 / 《しばしば複数形で》(種々の)『活動』,行事;(学生の)学内(外)活動,クラブ活動 / 〈U〉(商況・市場などの)活発,活気
actomyosin	アクトミオシン(筋収縮を起こす複合体蛋白質)
actor	(男の)『俳優』,『男優』 / 行為者
actress	〈C〉女優
actual	『現実の』,実際上の(real) / 現在の,現存の
actuality	〈U〉現実,実在,現実性 / 《複数形で》現状;事実
